# 
Scope_Frequency	A2r	f2	scope_rms	scope_dBm	scope_pkpk	scope_thd	Delay	a	b	
6000000.0	25500.0	6000000.0	0.008379943351364112	-28.524878387396974	0.023702059078834752	0.0737257423398861	0.5	6000000.0	0	07-06-24 13:49:18.833477
6000000.0	25505.0	6000000.0	0.008267386434974579	-28.642335284624206	0.023383700043440807	0.07332496053454093	0.5	6000000.0	0	07-06-24 13:49:21.545140
6000000.0	25510.0	6000000.0	0.008163413263131363	-28.752264389362182	0.023089619503953555	0.07440862263189696	0.5	6000000.0	0	07-06-24 13:49:24.226198
6000000.0	25515.0	6000000.0	0.008051321637996359	-28.87235651556452	0.02277257651096483	0.0753687526649815	0.5	6000000.0	0	07-06-24 13:49:26.908134
6000000.0	25520.0	6000000.0	0.007944716923848853	-28.98813149166294	0.022471052845844205	0.07391834556879741	0.5	6000000.0	0	07-06-24 13:49:29.639739
6000000.0	25525.0	6000000.0	0.007857155136978836	-29.084393478696498	0.02222339071276981	0.07449582886920571	0.5	6000000.0	0	07-06-24 13:49:32.326302
6000000.0	25530.0	6000000.0	0.00774852983347444	-29.20531385330408	0.02191615195790419	0.07910057038429721	0.5	6000000.0	0	07-06-24 13:49:35.090770
6000000.0	25535.0	6000000.0	0.007611709614120252	-29.36005581046874	0.02152916593826908	0.0730686620267637	0.5	6000000.0	0	07-06-24 13:49:37.834166
6000000.0	25540.0	6000000.0	0.007470829621564031	-29.522323401801174	0.021130697145989023	0.07241046556352924	0.5	6000000.0	0	07-06-24 13:49:40.526521
6000000.0	25545.0	6000000.0	0.007420168525638933	-29.58142466305214	0.020987405928105107	0.07428386293619621	0.5	6000000.0	0	07-06-24 13:49:43.228326
6000000.0	25550.0	6000000.0	0.007318863085014395	-29.70082758681741	0.020700870871958297	0.07703372682013573	0.5	6000000.0	0	07-06-24 13:49:46.117381
6000000.0	25555.0	6000000.0	0.007185160871689914	-29.860970119619623	0.020322703905152735	0.07646984562944813	0.5	6000000.0	0	07-06-24 13:49:48.824629
6000000.0	25560.0	6000000.0	0.007076592178481647	-29.993216681596845	0.020015625268384223	0.07294107681152759	0.5	6000000.0	0	07-06-24 13:49:51.554812
6000000.0	25565.0	6000000.0	0.006994079019839895	-30.095089349247218	0.019782242812333404	0.0752210353198828	0.5	6000000.0	0	07-06-24 13:49:54.243921
6000000.0	25570.0	6000000.0	0.006906949315709108	-30.20397466144086	0.019535802793798778	0.07363707544282262	0.5	6000000.0	0	07-06-24 13:49:56.960642
6000000.0	25575.0	6000000.0	0.006785911763495803	-30.35753587816263	0.019193456898005785	0.07547724164351508	0.5	6000000.0	0	07-06-24 13:49:59.855649
6000000.0	25580.0	6000000.0	0.0067129771973014705	-30.451396603916102	0.018987166792650136	0.07687531912370053	0.5	6000000.0	0	07-06-24 13:50:02.562901
6000000.0	25585.0	6000000.0	0.006614877171785018	-30.57926435516112	0.01870969801954111	0.07626785457482667	0.5	6000000.0	0	07-06-24 13:50:05.263450
6000000.0	25590.0	6000000.0	0.006500198436903935	-30.731167745158686	0.018385337575171877	0.07659920220242268	0.5	6000000.0	0	07-06-24 13:50:07.940601
6000000.0	25595.0	6000000.0	0.006366837227763188	-30.911225103529176	0.018008135113849237	0.07730078210683632	0.5	6000000.0	0	07-06-24 13:50:10.616847
6000000.0	25600.0	6000000.0	0.006318438793602929	-30.9775043861997	0.01787124366987512	0.0782256475215002	0.5	6000000.0	0	07-06-24 13:50:13.302763
6000000.0	25605.0	6000000.0	0.0061143386678870985	-31.262710238381395	0.017293961338136356	0.0760273119008944	0.5	6000000.0	0	07-06-24 13:50:16.022892
6000000.0	25610.0	6000000.0	0.006078356778648244	-31.31397628165487	0.01719218918661357	0.07595785795865403	0.5	6000000.0	0	07-06-24 13:50:18.690163
6000000.0	25615.0	6000000.0	0.005913225826292744	-31.55321074262706	0.0167251283218361	0.0784401520557162	0.5	6000000.0	0	07-06-24 13:50:21.492409
6000000.0	25620.0	6000000.0	0.005929999055220468	-31.52860755992846	0.016772570177504855	0.08196600591690292	0.5	6000000.0	0	07-06-24 13:50:24.202761
6000000.0	25625.0	6000000.0	0.005798047085569392	-31.724065285140213	0.01639935364738006	0.08024973027710398	0.5	6000000.0	0	07-06-24 13:50:26.893152
6000000.0	25630.0	6000000.0	0.005664264010035598	-31.926830292983375	0.01602095796770831	0.0818651625403419	0.5	6000000.0	0	07-06-24 13:50:29.647782
6000000.0	25635.0	6000000.0	0.0055765468535983595	-32.06239293433365	0.015772856383135622	0.0830801598928643	0.5	6000000.0	0	07-06-24 13:50:32.325197
6000000.0	25640.0	6000000.0	0.005469449934848031	-32.23082701677362	0.015469940553165454	0.08037034249792518	0.5	6000000.0	0	07-06-24 13:50:35.090272
6000000.0	25645.0	6000000.0	0.005386349719187328	-32.36380909533503	0.015234897649118463	0.0790281453111182	0.5	6000000.0	0	07-06-24 13:50:37.847333
6000000.0	25650.0	6000000.0	0.005267620706397682	-32.55741012018052	0.014899081288849893	0.07942418709981428	0.5	6000000.0	0	07-06-24 13:50:40.532024
6000000.0	25655.0	6000000.0	0.005128883704984276	-32.789243008257635	0.014506673790846261	0.0813050024850826	0.5	6000000.0	0	07-06-24 13:50:43.230232
6000000.0	25660.0	6000000.0	0.005127087332337623	-32.7922857420291	0.01450159288172632	0.08469742293036533	0.5	6000000.0	0	07-06-24 13:50:46.114880
6000000.0	25665.0	6000000.0	0.004987468978628599	-33.03209589433555	0.014106692542983306	0.08518679212595258	0.5	6000000.0	0	07-06-24 13:50:48.791426
6000000.0	25670.0	6000000.0	0.004852160681089967	-33.27099655826889	0.013723982884021813	0.0869896818629202	0.5	6000000.0	0	07-06-24 13:50:51.564313
6000000.0	25675.0	6000000.0	0.0047324478778258605	-33.487983254657316	0.013385383944090208	0.08507339113691836	0.5	6000000.0	0	07-06-24 13:50:54.246096
6000000.0	25680.0	6000000.0	0.004603386196974781	-33.72815181995655	0.01302034238520568	0.08253953005722278	0.5	6000000.0	0	07-06-24 13:50:57.008246
6000000.0	25685.0	6000000.0	0.004561995317777208	-33.80660333934183	0.012903271299766173	0.08938907812866483	0.5	6000000.0	0	07-06-24 13:50:59.749809
6000000.0	25690.0	6000000.0	0.0044396853261755185	-34.042656253448676	0.012557326401892475	0.09018947721850928	0.5	6000000.0	0	07-06-24 13:51:02.456297
