# 
A1	f1	A2	f2	Amax	Delay	a	
0	0	5.0	1000000.0	0.010471285480509003	0.1	0	10-04-24 20:24:24.332679
0	0	5.0	1292929.292929293	0.02398832919019493	0.1	0	10-04-24 20:24:30.853823
0	0	5.0	1585858.5858585858	0.028840315031266068	0.1	0	10-04-24 20:24:37.351630
0	0	5.0	1878787.878787879	0.028840315031266068	0.1	0	10-04-24 20:24:43.849337
0	0	5.0	2171717.1717171716	0.027542287033381702	0.1	0	10-04-24 20:24:50.346998
0	0	5.0	2464646.4646464647	0.027542287033381702	0.1	0	10-04-24 20:24:56.844734
0	0	5.0	2757575.757575758	0.027542287033381702	0.1	0	10-04-24 20:25:03.342498
0	0	5.0	3050505.0505050505	0.027542287033381702	0.1	0	10-04-24 20:25:09.840107
0	0	5.0	3343434.3434343436	0.027542287033381702	0.1	0	10-04-24 20:25:16.337836
0	0	5.0	3636363.6363636362	0.026302679918953836	0.1	0	10-04-24 20:25:22.835507
0	0	5.0	3929292.9292929294	0.026302679918953836	0.1	0	10-04-24 20:25:29.333502
0	0	5.0	4222222.222222222	0.026302679918953836	0.1	0	10-04-24 20:25:35.830891
0	0	5.0	4515151.515151516	0.026302679918953836	0.1	0	10-04-24 20:25:42.328537
0	0	5.0	4808080.808080808	0.025118864315095843	0.1	0	10-04-24 20:25:48.826213
0	0	5.0	5101010.101010101	0.025118864315095843	0.1	0	10-04-24 20:25:55.324028
0	0	5.0	5393939.3939393945	0.025118864315095843	0.1	0	10-04-24 20:26:01.821853
0	0	5.0	5686868.686868687	0.025118864315095843	0.1	0	10-04-24 20:26:08.319969
0	0	5.0	5979797.97979798	0.025118864315095843	0.1	0	10-04-24 20:26:14.817019
0	0	5.0	6272727.2727272725	0.02398832919019493	0.1	0	10-04-24 20:26:21.314846
0	0	5.0	6565656.565656565	0.02398832919019493	0.1	0	10-04-24 20:26:27.812204
0	0	5.0	6858585.858585859	0.02398832919019493	0.1	0	10-04-24 20:26:34.310161
0	0	5.0	7151515.151515151	0.02398832919019493	0.1	0	10-04-24 20:26:40.807975
0	0	5.0	7444444.444444444	0.02290867652767774	0.1	0	10-04-24 20:26:47.305553
0	0	5.0	7737373.737373738	0.02290867652767774	0.1	0	10-04-24 20:26:53.803102
0	0	5.0	8030303.03030303	0.02290867652767774	0.1	0	10-04-24 20:27:00.301118
0	0	5.0	8323232.323232324	0.02290867652767774	0.1	0	10-04-24 20:27:06.798599
0	0	5.0	8616161.616161617	0.021877616239495554	0.1	0	10-04-24 20:27:13.296022
0	0	5.0	8909090.909090908	0.021877616239495554	0.1	0	10-04-24 20:27:19.793788
0	0	5.0	9202020.202020202	0.02089296130854041	0.1	0	10-04-24 20:27:26.291392
0	0	5.0	9494949.494949495	0.02089296130854041	0.1	0	10-04-24 20:27:32.789104
0	0	5.0	9787878.787878789	0.01995262314968883	0.1	0	10-04-24 20:27:39.286875
0	0	5.0	10080808.08080808	0.01905460717963249	0.1	0	10-04-24 20:27:45.784464
0	0	5.0	10373737.373737374	0.01819700858609984	0.1	0	10-04-24 20:27:52.282320
0	0	5.0	10666666.666666666	0.017378008287493776	0.1	0	10-04-24 20:27:58.780619
0	0	5.0	10959595.95959596	0.016595869074375616	0.1	0	10-04-24 20:28:05.277453
0	0	5.0	11252525.252525253	0.015135612484362097	0.1	0	10-04-24 20:28:11.775178
0	0	5.0	11545454.545454545	0.01445439770745928	0.1	0	10-04-24 20:28:18.272816
0	0	5.0	11838383.838383839	0.01318256738556408	0.1	0	10-04-24 20:28:24.770667
0	0	5.0	12131313.13131313	0.011481536214968833	0.1	0	10-04-24 20:28:31.268350
0	0	5.0	12424242.424242424	0.010964781961431865	0.1	0	10-04-24 20:28:37.766051
0	0	5.0	12717171.717171717	0.01	0.1	0	10-04-24 20:28:44.263743
0	0	5.0	13010101.010101011	0.008709635899560818	0.1	0	10-04-24 20:28:50.761339
0	0	5.0	13303030.303030303	0.007943282347242816	0.1	0	10-04-24 20:28:57.259122
0	0	5.0	13595959.595959596	0.007244359600749903	0.1	0	10-04-24 20:29:03.756859
0	0	5.0	13888888.888888888	0.006309573444801933	0.1	0	10-04-24 20:29:10.254461
0	0	5.0	14181818.181818182	0.005754399373371571	0.1	0	10-04-24 20:29:16.752155
0	0	5.0	14474747.474747475	0.00524807460249773	0.1	0	10-04-24 20:29:23.249871
0	0	5.0	14767676.767676767	0.004570881896148752	0.1	0	10-04-24 20:29:29.747499
0	0	5.0	15060606.06060606	0.004168693834703358	0.1	0	10-04-24 20:29:36.245285
0	0	5.0	15353535.353535354	0.0038018939632056157	0.1	0	10-04-24 20:29:42.742933
0	0	5.0	15646464.646464648	0.0034673685045253184	0.1	0	10-04-24 20:29:49.240589
0	0	5.0	15939393.93939394	0.003162277660168382	0.1	0	10-04-24 20:29:55.738276
0	0	5.0	16232323.232323233	0.0028840315031266072	0.1	0	10-04-24 20:30:02.235918
