# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	time	Delay	a	
0.125	0.0	250	250	-7427884.0	-7441699.0	-7448868.0	-7446990.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8682605	9.9e+37	24.6090797	1711453830.7011313	6	14.0	26-03-24 12:50:30.701197
0.6	0.002	250	250	-7153681.0	-7166318.0	-7172711.0	-7170301.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3764598	9.9e+37	24.5276862	1711453838.532536	6	14.0	26-03-24 12:50:38.532599
1.201	0.005	250	250	-6778701.0	-6790594.0	-6796658.0	-6794434.0	-8123311.0	-8114313.0	-8113374.0	-8109291.0	-10.77994	-1.1605539	24.4899036	1711453846.3314161	6	14.0	26-03-24 12:50:46.331470
1.8	0.008	250	250	-6402843.0	-6413969.0	-6419733.0	-6417694.0	-7672906.0	-7664388.0	-7663521.0	-7659606.0	-10.1822115	-1.09619768	24.4594933	1711453854.402886	6	14.0	26-03-24 12:50:54.402940
2.401	0.011	250	250	-6025585.0	-6035991.0	-6041394.0	-6039560.0	-7220545.0	-7212506.0	-7211692.0	-7207997.0	-9.58236694	-1.03156252	24.3980502	1711453862.4092865	6	14.0	26-03-24 12:51:02.409344
3.001	0.014	250	250	-5649000.0	-5658632.0	-5663729.0	-5662085.0	-6769289.0	-6761662.0	-6760914.0	-6757424.0	-8.98359523	-0.967109826	24.2530714	1711453870.2351866	6	14.0	26-03-24 12:51:10.235239
3.6	0.018	250	250	-5272514.0	-5281411.0	-5286163.0	-5284717.0	-6318138.0	-6310943.0	-6310307.0	-6306968.0	-8.38494315	-0.90265689	24.2026866	1711453878.293778	6	14.0	26-03-24 12:51:18.293826
4.2	0.021	250	250	-4895595.0	-4903771.0	-4908206.0	-4906930.0	-5866709.0	-5859908.0	-5859295.0	-5856225.0	-7.78570122	-0.838170706	24.1252784	1711453886.1060379	6	14.0	26-03-24 12:51:26.106092
4.8	0.024	250	250	-4518995.0	-4526411.0	-4530531.0	-4529441.0	-5415735.0	-5409401.0	-5408892.0	-5405945.0	-7.18693294	-0.773749129	24.0494141	1711453893.946923	6	14.0	26-03-24 12:51:33.946976
5.4	0.027	250	250	-4141922.0	-4148563.0	-4152356.0	-4151478.0	-4963864.0	-4957906.0	-4957506.0	-4954791.0	-6.58739391	-0.709196723	24.0048816	1711453901.7464478	6	14.0	26-03-24 12:51:41.746537
6.0	0.03	250	250	-3765324.0	-3771221.0	-3774711.0	-3773980.0	-4512653.0	-4507152.0	-4506773.0	-4504255.0	-5.9886086	-0.644738024	24.0844321	1711453909.8102708	6	14.0	26-03-24 12:51:49.810323
