# 
VDC	Voltage 1	Current 1	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	a	
-11.8934844	0.068	0.0	-11.82984	-7465728.0	-7472522.0	-7469954.0	-11.82419	-7443077.0	-7441976.0	-7439255.0	7.0	9.0	11-12-23 16:25:14.697622
-11.4870579	0.5	0.002	-11.46791	-7237421.0	-7244190.0	-7241475.0	-11.50251	-7240692.0	-7239588.0	-7236912.0	7.0	9.0	11-12-23 16:25:22.412921
-10.9912641	1.0	0.004	-10.97284	-6924882.0	-6931359.0	-6928810.0	-11.0059	-6928040.0	-6927004.0	-6924415.0	7.0	9.0	11-12-23 16:25:30.194192
-10.4933115	1.499	0.007	-10.47571	-6611084.0	-6617234.0	-6614887.0	-10.50731	-6614056.0	-6613106.0	-6610592.0	7.0	9.0	11-12-23 16:25:37.726543
-9.993614	2.0	0.01	-9.976686	-6296058.0	-6301983.0	-6299749.0	-10.00693	-6299030.0	-6298118.0	-6295710.0	7.0	9.0	11-12-23 16:25:45.350897
-9.49454111	2.499	0.012	-9.47842	-5981484.0	-5987143.0	-5985089.0	-9.507205	-5984346.0	-5983561.0	-5981228.0	7.0	9.0	11-12-23 16:25:53.030486
-8.99446046	3.0	0.015	-8.979151	-5666292.0	-5671630.0	-5669779.0	-9.006271	-5669097.0	-5668329.0	-5666066.0	7.0	9.0	11-12-23 16:26:00.717854
-8.49556722	3.5	0.017	-8.480906	-5351871.0	-5356906.0	-5355248.0	-8.506802	-5354558.0	-5353842.0	-5351706.0	7.0	9.0	11-12-23 16:26:08.326758
-7.99581135	4.0	0.02	-7.982001	-5036875.0	-5041627.0	-5040106.0	-8.006342	-5039440.0	-5038783.0	-5036767.0	7.0	9.0	11-12-23 16:26:16.046255
-7.49611254	4.5	0.022	-7.483101	-4721919.0	-4726406.0	-4725036.0	-7.505936	-4724368.0	-4723789.0	-4721859.0	7.0	9.0	11-12-23 16:26:23.648384
-6.99620288	5.0	0.025	-6.983891	-4406823.0	-4411034.0	-4409828.0	-7.005355	-4409197.0	-4408698.0	-4406838.0	7.0	9.0	11-12-23 16:26:31.329399
-6.49667308	5.5	0.027	-6.485185	-4091990.0	-4095896.0	-4094876.0	-6.505071	-4094273.0	-4093817.0	-4092052.0	7.0	9.0	11-12-23 16:26:38.942308
-5.99771339	5.999	0.03	-5.987105	-3777483.0	-3781146.0	-3780265.0	-6.005442	-3779669.0	-3779269.0	-3777624.0	7.0	9.0	11-12-23 16:26:46.585472
-5.49797101	6.499	0.032	-5.487993	-3462494.0	-3465866.0	-3465155.0	-5.504974	-3464545.0	-3464204.0	-3462645.0	7.0	9.0	11-12-23 16:26:54.200311
-4.99870886	6.999	0.035	-4.989505	-3147816.0	-3150912.0	-3150358.0	-5.004972	-3149784.0	-3149525.0	-3148038.0	7.0	9.0	11-12-23 16:27:01.742249
-4.49819927	7.5	0.038	-4.489672	-2832337.0	-2835123.0	-2834762.0	-4.503695	-2834193.0	-2834008.0	-2832606.0	7.0	9.0	11-12-23 16:27:09.320227
-3.99915793	7.999	0.04	-3.991359	-2517788.0	-2520320.0	-2520086.0	-4.004053	-2519553.0	-2519431.0	-2518151.0	7.0	9.0	11-12-23 16:27:16.996665
-3.49940853	8.499	0.043	-3.492429	-2202788.0	-2205016.0	-2204981.0	-3.503571	-2204450.0	-2204404.0	-2203198.0	7.0	9.0	11-12-23 16:27:24.529444
-3.0005765	8.999	0.045	-2.994335	-1888357.0	-1890313.0	-1890447.0	-3.003995	-1889918.0	-1889944.0	-1888820.0	7.0	9.0	11-12-23 16:27:32.259478
-2.50045995	9.499	0.048	-2.495014	-1573125.0	-1574796.0	-1575093.0	-2.503151	-1574581.0	-1574670.0	-1573657.0	7.0	9.0	11-12-23 16:27:40.147437
-2.00060097	9.999	0.05	-1.995861	-1258073.0	-1259470.0	-1259925.0	-2.002542	-1259431.0	-1259584.0	-1258667.0	7.0	9.0	11-12-23 16:27:47.920250
-1.50117944	10.499	0.053	-1.497195	-943269.9	-944376.5	-944992.8	-1.502444	-944515.0	-944751.9	-943914.6	7.0	9.0	11-12-23 16:27:55.708404
-1.00152902	10.999	0.056	-0.9983218	-628345.5	-629170.5	-629963.4	-1.002092	-629495.5	-629801.5	-629039.4	7.0	9.0	11-12-23 16:28:03.347983
-0.502445833	11.499	0.058	-0.5000142	-313767.2	-314316.3	-315273.3	-0.5023348	-314822.3	-315204.1	-314542.7	7.0	9.0	11-12-23 16:28:10.994058
-0.00261740062	11.999	0.061	-0.001022543	1236.6	965.45	-150.6	-0.00187014	272.65	-168.15	405.7	7.0	9.0	11-12-23 16:28:18.580702
0.49631708	12.499	0.063	0.4972104	315706.3	315708.8	314443.8	0.4978438	314867.4	314344.1	314817.8	7.0	9.0	11-12-23 16:28:26.118339
0.996419353	12.999	0.066	0.9965561	630919.6	631204.5	629768.2	0.9986053	630164.6	629596.4	629974.5	7.0	9.0	11-12-23 16:28:33.654283
1.49535185	13.498	0.068	1.494746	945409.6	945975.2	944377.8	1.498287	944750.6	944118.0	944388.2	7.0	9.0	11-12-23 16:28:41.378762
1.99554751	13.999	0.071	1.994265	1260691.0	1261540.0	1259776.0	1.999205	1260133.0	1259436.0	1259618.0	7.0	9.0	11-12-23 16:28:48.993721
