# 
DCA	Source_Voltage	Source_Current	Delay	
-2.23927221e-09	0.0	1.152941e-05	3.0	05-12-23 14:29:51.882288
-2.31391411e-09	2.0	1.155294e-05	3.0	05-12-23 14:29:54.948518
-2.23927221e-09	4.0	1.146667e-05	3.0	05-12-23 14:29:58.020273
2.91327342e-07	6.0	1.182745e-05	3.0	05-12-23 14:30:01.093920
1.86940651e-06	8.0	1.331765e-05	3.0	05-12-23 14:30:04.164385
2.94887774e-06	10.0	1.432941e-05	3.0	05-12-23 14:30:07.236827
4.53509288e-06	12.0	1.589804e-05	3.0	05-12-23 14:30:10.268650
5.61635552e-06	14.000000000000002	1.684706e-05	3.0	05-12-23 14:30:13.381159
7.20734773e-06	16.0	1.838431e-05	3.0	05-12-23 14:30:16.452519
8.29353674e-06	18.0	1.945882e-05	3.0	05-12-23 14:30:19.524812
9.88743999e-06	20.0	2.105882e-05	3.0	05-12-23 14:30:22.596676
1.09522814e-05	22.0	2.201569e-05	3.0	05-12-23 14:30:25.668637
1.25682787e-05	24.0	2.355294e-05	3.0	05-12-23 14:30:28.741097
1.36360311e-05	26.0	2.454902e-05	3.0	05-12-23 14:30:31.813403
1.52342636e-05	28.000000000000004	2.618823e-05	3.0	05-12-23 14:30:34.885123
1.63123913e-05	30.0	2.716862e-05	3.0	05-12-23 14:30:37.957726
1.79429437e-05	32.0	2.868235e-05	3.0	05-12-23 14:30:41.028979
1.9012189e-05	34.0	2.974902e-05	3.0	05-12-23 14:30:44.104262
2.06218417e-05	36.0	3.126275e-05	3.0	05-12-23 14:30:47.174949
2.16945952e-05	38.0	3.221961e-05	3.0	05-12-23 14:30:50.245578
2.33184298e-05	40.0	3.370196e-05	3.0	05-12-23 14:30:53.317332
2.43842416e-05	42.0	3.421176e-05	3.0	05-12-23 14:30:56.348412
2.72969927e-05	44.0	0.000237247	3.0	05-12-23 14:30:59.461891
2.83869884e-05	46.0	0.0002052392	3.0	05-12-23 14:31:02.533810
3.00253782e-05	48.0	1.237647e-05	3.0	05-12-23 14:31:05.605285
3.1088279e-05	50.0	1.355294e-05	3.0	05-12-23 14:31:08.678541
3.27112926e-05	52.0	1.734902e-05	3.0	05-12-23 14:31:11.750068
3.37406791e-05	54.0	6.03451e-05	3.0	05-12-23 14:31:14.822122
3.53003217e-05	56.00000000000001	0.0001042118	3.0	05-12-23 14:31:17.894237
3.63506826e-05	57.99999999999999	1.561569e-05	3.0	05-12-23 14:31:20.966416
3.79129377e-05	60.0	1.272941e-05	3.0	05-12-23 14:31:24.037705
3.89391892e-05	62.0	8.062745e-05	3.0	05-12-23 14:31:27.110060
4.04945026e-05	64.0	1.29098e-05	3.0	05-12-23 14:31:30.182460
4.15655393e-05	66.0	0.0001812078	3.0	05-12-23 14:31:33.354760
4.31201063e-05	68.0	2.568627e-05	3.0	05-12-23 14:31:36.428323
4.41765132e-05	70.0	1.196863e-05	3.0	05-12-23 14:31:39.499978
4.57519052e-05	72.0	1.290196e-05	3.0	05-12-23 14:31:42.571847
4.67842028e-05	74.0	1.217255e-05	3.0	05-12-23 14:31:45.644636
4.83407851e-05	76.0	0.0002369098	3.0	05-12-23 14:31:48.716943
4.9399058e-05	78.0	1.47451e-05	3.0	05-12-23 14:31:51.788308
5.0963403e-05	80.0	1.463529e-05	3.0	05-12-23 14:31:54.860617
5.1984355e-05	82.0	1.252549e-05	3.0	05-12-23 14:31:57.933791
5.35453412e-05	84.0	0.0002263686	3.0	05-12-23 14:32:01.006347
5.45908504e-05	86.0	2.270588e-05	3.0	05-12-23 14:32:04.086036
5.61448202e-05	88.0	1.310588e-05	3.0	05-12-23 14:32:07.149660
5.71776402e-05	90.0	1.793726e-05	3.0	05-12-23 14:32:10.238583
5.87491509e-05	92.0	0.0001912549	3.0	05-12-23 14:32:13.292649
5.97953319e-05	94.0	0.0001739451	3.0	05-12-23 14:32:16.364060
6.13661708e-05	96.0	1.934118e-05	3.0	05-12-23 14:32:19.438213
6.24429549e-05	98.0	1.688627e-05	3.0	05-12-23 14:32:22.508451
6.40281997e-05	100.0	1.755294e-05	3.0	05-12-23 14:32:25.582364
6.50894583e-05	102.0	2.324706e-05	3.0	05-12-23 14:32:28.656635
6.66957521e-05	104.0	3.015686e-05	3.0	05-12-23 14:32:31.725637
6.77437245e-05	106.0	0.0002577961	3.0	05-12-23 14:32:34.797360
6.93151605e-05	108.0	3.571764e-05	3.0	05-12-23 14:32:37.868793
7.03777627e-05	110.00000000000001	1.403921e-05	3.0	05-12-23 14:32:40.941411
7.19718152e-05	112.00000000000001	0.0002362196	3.0	05-12-23 14:32:44.027523
7.29946332e-05	113.99999999999999	1.534902e-05	3.0	05-12-23 14:32:47.277149
7.45735334e-05	115.99999999999999	0.0001034196	3.0	05-12-23 14:32:50.362315
7.56224015e-05	118.0	2.987451e-05	3.0	05-12-23 14:32:53.435296
7.71990625e-05	120.0	2.649412e-05	3.0	05-12-23 14:32:56.519971
7.82388989e-05	122.0	0.0002368078	3.0	05-12-23 14:32:59.578210
7.98075731e-05	124.0	1.650196e-05	3.0	05-12-23 14:33:02.655724
8.08347204e-05	126.0	1.822745e-05	3.0	05-12-23 14:33:05.735048
8.24112321e-05	128.0	4.409412e-05	3.0	05-12-23 14:33:08.793938
8.3461593e-05	130.0	4.946667e-05	3.0	05-12-23 14:33:11.867588
8.50296701e-05	132.0	4.378039e-05	3.0	05-12-23 14:33:15.041791
8.60799564e-05	134.0	0.0001597176	3.0	05-12-23 14:33:18.130227
8.76607973e-05	136.0	0.0002487059	3.0	05-12-23 14:33:21.200846
8.8696603e-05	138.0	2.650196e-05	3.0	05-12-23 14:33:24.257190
9.02785636e-05	140.0	0.0002360079	3.0	05-12-23 14:33:27.328311
9.13472117e-05	142.0	4.806275e-05	3.0	05-12-23 14:33:30.401054
9.29059586e-05	144.0	2.888627e-05	3.0	05-12-23 14:33:33.473055
9.39570659e-05	146.0	6.857255e-05	3.0	05-12-23 14:33:36.544101
9.55334283e-05	148.0	0.0002769019	3.0	05-12-23 14:33:39.616004
9.65826696e-05	150.0	3.879216e-05	3.0	05-12-23 14:33:42.688420
9.81435811e-05	152.0	0.0001222118	3.0	05-12-23 14:33:45.760661
9.92489531e-05	154.0	2.460392e-05	3.0	05-12-23 14:33:48.832787
0.000100796952	156.0	0.0002048	3.0	05-12-23 14:33:51.904743
0.000101845596	158.0	0.0001888392	3.0	05-12-23 14:33:54.977028
0.000103430691	160.0	9.359216e-05	3.0	05-12-23 14:33:58.048278
0.000104463362	162.0	0.0002651765	3.0	05-12-23 14:34:01.118759
0.000106020317	164.0	0.0002792627	3.0	05-12-23 14:34:04.192727
0.0001070609	166.0	0.0002510902	3.0	05-12-23 14:34:07.264676
0.000108648235	168.0	3.620392e-05	3.0	05-12-23 14:34:10.343985
0.000109705538	170.0	7.632941e-05	3.0	05-12-23 14:34:13.408173
0.000111264807	172.0	0.0002599373	3.0	05-12-23 14:34:16.587323
0.000112331515	174.0	0.0001902745	3.0	05-12-23 14:34:19.655430
0.000113900189	176.0	6.464314e-05	3.0	05-12-23 14:34:22.727281
0.000114951595	178.0	4.738824e-05	3.0	05-12-23 14:34:25.799702
0.000116528778	180.0	4.347451e-05	3.0	05-12-23 14:34:28.871394
0.000117578467	182.0	6.301176e-05	3.0	05-12-23 14:34:31.944214
0.000119146768	184.0	4.628235e-05	3.0	05-12-23 14:34:35.016302
0.000120188545	186.0	6.987451e-05	3.0	05-12-23 14:34:38.088470
0.000121766251	188.0	0.0002324	3.0	05-12-23 14:34:41.160507
0.000122821613	190.0	6.026667e-05	3.0	05-12-23 14:34:44.193836
0.000124384018	192.0	3.910589e-05	3.0	05-12-23 14:34:47.303839
0.000125445575	194.0	8.53098e-05	3.0	05-12-23 14:34:50.376344
0.000127002008	196.0	3.679216e-05	3.0	05-12-23 14:34:53.448157
0.000128064088	198.0	5.706667e-05	3.0	05-12-23 14:34:56.520391
0.000129665455	200.0	0.0002457333	3.0	05-12-23 14:34:59.592868
0.000130723877	202.0	3.883922e-05	3.0	05-12-23 14:35:02.664267
0.000132311361	204.0	4.17098e-05	3.0	05-12-23 14:35:05.736345
0.000133419047	206.0	0.0002623843	3.0	05-12-23 14:35:08.808210
0.000135022504	208.0	6.131765e-05	3.0	05-12-23 14:35:11.879619
0.000136098841	210.0	8.141177e-05	3.0	05-12-23 14:35:14.911137
0.000137715137	212.0	0.0002651922	3.0	05-12-23 14:35:18.028043
0.000138786696	214.0	5.171765e-05	3.0	05-12-23 14:35:21.096775
0.000140365596	216.0	0.0002645177	3.0	05-12-23 14:35:24.168311
0.000141451412	218.00000000000003	0.0002193177	3.0	05-12-23 14:35:27.242766
0.000143038672	220.00000000000003	7.080784e-05	3.0	05-12-23 14:35:30.274188
0.000144087988	222.00000000000003	0.0002067137	3.0	05-12-23 14:35:33.384551
0.000145705926	224.00000000000003	5.108236e-05	3.0	05-12-23 14:35:36.456649
0.000146763602	225.99999999999997	5.527843e-05	3.0	05-12-23 14:35:39.528648
0.000148340934	227.99999999999997	6.421177e-05	3.0	05-12-23 14:35:42.599982
0.000149394356	229.99999999999997	0.0001920235	3.0	05-12-23 14:35:45.666287
0.000151016847	231.99999999999997	0.0002052157	3.0	05-12-23 14:35:48.744536
0.000152077732	234.0	8.736471e-05	3.0	05-12-23 14:35:51.816545
0.000153676114	236.0	0.000150251	3.0	05-12-23 14:35:54.888795
0.000154745956	238.0	0.0001015294	3.0	05-12-23 14:35:57.960621
0.000156334336	240.0	9.464313e-05	3.0	05-12-23 14:36:01.032225
0.00015741418	242.0	0.0002591686	3.0	05-12-23 14:36:04.104712
0.000159023833	244.0	9.689412e-05	3.0	05-12-23 14:36:07.169491
0.000160084793	246.0	6.247843e-05	3.0	05-12-23 14:36:10.248868
0.000161665485	248.0	0.0002585098	3.0	05-12-23 14:36:13.320595
0.000162739134	250.0	0.0002126275	3.0	05-12-23 14:36:16.393574
0.000164341397	252.0	0.0002041961	3.0	05-12-23 14:36:19.464575
0.00016540176	254.0	9.147452e-05	3.0	05-12-23 14:36:22.536362
0.000167030073	256.0	0.0001078118	3.0	05-12-23 14:36:25.609061
0.000168071402	258.0	0.0002282039	3.0	05-12-23 14:36:28.680875
0.000169666798	260.0	0.0001112549	3.0	05-12-23 14:36:31.857137
