# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	time	Delay	a	
0.093	0.0	250	250	-7448763.0	-7462227.0	-7468884.0	-7467031.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8841563	9.9e+37	15.2898385	1711457736.7050893	6	25.999999999999996	26-03-24 13:55:36.705154
0.6	0.002	250	250	-7154208.0	-7166722.0	-7172753.0	-7170686.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.376982	9.9e+37	15.2796006	1711457744.7097647	6	25.999999999999996	26-03-24 13:55:44.709831
1.2	0.005	250	250	-6779102.0	-6790875.0	-6796638.0	-6794714.0	-8126406.0	-8117785.0	-8116649.0	-8112264.0	-10.7803108	-1.16106866	15.2975864	1711457752.552091	6	25.999999999999996	26-03-24 13:55:52.552147
1.8	0.008	250	250	-6403147.0	-6414201.0	-6419663.0	-6417880.0	-7675652.0	-7667500.0	-7666463.0	-7662276.0	-10.1824808	-1.09667245	15.2575655	1711457760.41772	6	25.999999999999996	26-03-24 13:56:00.417777
2.401	0.011	250	250	-6025935.0	-6036233.0	-6041387.0	-6039785.0	-7223436.0	-7215743.0	-7214737.0	-7210768.0	-9.5827786	-1.03205394	15.1930438	1711457768.2403543	6	25.999999999999996	26-03-24 13:56:08.240410
3.001	0.015	250	250	-5649316.0	-5658861.0	-5663719.0	-5662298.0	-6771844.0	-6764545.0	-6763619.0	-6759863.0	-8.98396902	-0.967531492	15.2566348	1711457776.098327	6	25.999999999999996	26-03-24 13:56:16.098388
3.6	0.018	250	250	-5272793.0	-5281603.0	-5286164.0	-5284889.0	-6320243.0	-6313359.0	-6312497.0	-6308987.0	-8.38529384	-0.903017905	15.2445354	1711457783.9247215	6	25.999999999999996	26-03-24 13:56:23.924779
4.2	0.021	250	250	-4895947.0	-4904031.0	-4908250.0	-4907165.0	-5868486.0	-5861985.0	-5861237.0	-5857930.0	-7.7861195	-0.838483492	15.3220872	1711457791.9950912	6	25.999999999999996	26-03-24 13:56:31.995149
4.8	0.024	250	250	-4519425.0	-4526788.0	-4530687.0	-4529778.0	-5417379.0	-5411299.0	-5410643.0	-5407564.0	-7.18744847	-0.77403186	15.265942	1711457799.8104897	6	25.999999999999996	26-03-24 13:56:39.810540
5.4	0.027	250	250	-4142281.0	-4148887.0	-4152522.0	-4151764.0	-4965317.0	-4959629.0	-4959061.0	-4956170.0	-6.58780162	-0.709424023	15.2836256	1711457807.8170938	6	25.999999999999996	26-03-24 13:56:47.817151
6.0	0.03	250	250	-3765713.0	-3771562.0	-3774891.0	-3774305.0	-4513821.0	-4508554.0	-4508074.0	-4505418.0	-5.98910527	-0.644943629	15.3180622	1711457815.8729973	6	25.999999999999996	26-03-24 13:56:55.873054
6.6	0.033	250	250	-3388649.0	-3393754.0	-3396774.0	-3396358.0	-4061951.0	-4057104.0	-4056744.0	-4054285.0	-5.38961919	-0.580404876	15.3273694	1711457823.7330458	6	25.999999999999996	26-03-24 13:57:03.733103
7.2	0.036	250	250	-3012114.0	-3016476.0	-3019200.0	-3018955.0	-3610866.0	-3606434.0	-3606139.0	-3603868.0	-4.7909945	-0.515958647	15.3580831	1711457831.5324106	6	25.999999999999996	26-03-24 13:57:11.532468
7.8	0.039	250	250	-2634705.0	-2638339.0	-2640740.0	-2640668.0	-3158652.0	-3154627.0	-3154414.0	-3152364.0	-4.19095175	-0.451347659	15.3068936	1711457839.3364189	6	25.999999999999996	26-03-24 13:57:19.336475
