# 
ch2a	ch2a avglen	Delay	a	
-1369062.0	10.0	0.1	10.0	12-12-23 19:21:59.233319
-1369062.0	19.166666666666664	0.1	10.0	12-12-23 19:21:59.368924
-1369062.0	28.333333333333332	0.1	10.0	12-12-23 19:21:59.503783
-1369062.0	37.5	0.1	10.0	12-12-23 19:21:59.637414
263152.2	46.666666666666664	0.1	10.0	12-12-23 19:21:59.773968
263152.2	55.833333333333336	0.1	10.0	12-12-23 19:21:59.909972
263152.2	65.0	0.1	10.0	12-12-23 19:22:00.045494
263152.2	74.16666666666667	0.1	10.0	12-12-23 19:22:00.181388
263152.2	83.33333333333333	0.1	10.0	12-12-23 19:22:00.318270
1064141.0	92.5	0.1	10.0	12-12-23 19:22:00.454175
1064141.0	101.66666666666667	0.1	10.0	12-12-23 19:22:00.590166
1064141.0	110.83333333333333	0.1	10.0	12-12-23 19:22:00.725309
1064141.0	120.0	0.1	10.0	12-12-23 19:22:00.861074
