# 
VDC	Amplitude	Frequency	Offset	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	
0.0496743405	0.0	1000000.0	-11.0	0.05252209	35102.4	34848.2	33697.95	0.04990152	32821.6	32362.5	32850.45	0.1	08-12-23 17:14:10.257140
0.0496444421	0.0	1000000.0	-8.555555555555555	-10.82078	-6828638.0	-6835146.0	-6832825.0	-10.85667	-6788358.0	-6635282.0	-6404480.0	0.1	08-12-23 17:14:10.580855
-5.31491529	0.0	1000000.0	-6.111111111111112	-8.407804	-5151135.0	-5003930.0	-4850007.0	-6.012768	-4549642.0	-4320413.0	-4166265.0	0.1	08-12-23 17:14:10.872428
-9.08383421	0.0	1000000.0	-3.666666666666667	-3.926255	-3470064.0	-3321157.0	-3168316.0	-3.594347	-2787724.0	-2635430.0	-2405958.0	0.1	08-12-23 17:14:11.177691
-5.9179326	0.0	1000000.0	-1.2222222222222232	-1.141864	-1946411.0	-1795295.0	-1566067.0	-1.163287	-1189618.0	-1036706.0	-882994.0	0.1	08-12-23 17:14:11.485728
-4.27279871	0.0	1000000.0	1.2222222222222232	1.256245	-416814.5	-264439.2	-35963.75	1.265594	333333.1	485800.2	639074.3	0.1	08-12-23 17:14:11.795109
-1.16897367	0.0	1000000.0	3.666666666666666	3.327482	1098523.0	1252224.0	1403563.0	3.699328	1786879.0	1939027.0	2091982.0	0.1	08-12-23 17:14:12.097114
0.406810857	0.0	1000000.0	6.111111111111111	3.691579	2331944.0	2334088.0	2331849.0	3.700779	2331010.0	2329893.0	2329572.0	0.1	08-12-23 17:14:12.307754
1.90812966	0.0	1000000.0	8.555555555555554	8.403637	4156475.0	4313186.0	4463011.0	8.549668	4806470.0	5034344.0	5186261.0	0.1	08-12-23 17:14:12.612604
5.21206475	0.0	1000000.0	11.0	10.89504	7485307.0	6885317.0	7482648.0	11.88046	6884062.0	7479282.0	7477638.0	0.1	08-12-23 17:14:13.126172
