# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	
0.022	0.0	250	250	22.4059253	1714470247.7151442	-11.9545759	-7453160.0	-7466151.0	-7472787.0	-7470306.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	901.0089100891008	30-04-24 11:44:14.145481
0.6	0.003	250	250	22.1308108	1714470274.182689	-11.3804103	-7156086.0	-7168654.0	-7175131.0	-7172604.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	901.0089100891008	30-04-24 11:44:40.612364
1.2	0.006	250	250	21.8094127	1714470300.6506069	-10.7816343	-6779499.0	-6791341.0	-6797498.0	-6795160.0	-1.16084401	-8124849.0	-8115877.0	-8114878.0	-8110851.0	20	901.0089100891008	30-04-24 11:45:07.085394
1.799	0.009	250	250	21.611725	1714470327.1222985	-10.1832007	-6403150.0	-6414235.0	-6420064.0	-6417930.0	-1.09650666	-7674488.0	-7665931.0	-7665068.0	-7661199.0	20	901.0089100891008	30-04-24 11:45:33.563823
2.4	0.012	250	250	21.295214	1714470353.5992029	-9.58312292	-6025764.0	-6036118.0	-6041559.0	-6039660.0	-1.03198371	-7222909.0	-7214815.0	-7214025.0	-7210357.0	20	901.0089100891008	30-04-24 11:46:00.041909
3.0	0.015	250	250	21.2319692	1714470380.079064	-8.98400578	-5648942.0	-5658547.0	-5663672.0	-5661950.0	-0.967512514	-6771621.0	-6763961.0	-6763168.0	-6759723.0	20	901.0089100891008	30-04-24 11:46:26.521166
3.6	0.018	250	250	21.4238116	1714470406.559155	-8.38528108	-5272419.0	-5281286.0	-5286088.0	-5284560.0	-0.903114335	-6320835.0	-6313598.0	-6312903.0	-6309619.0	20	901.0089100891008	30-04-24 11:46:52.999916
4.2	0.021	250	250	21.4890686	1714470433.0410647	-7.78601496	-4895521.0	-4903675.0	-4908124.0	-4906773.0	-0.838623484	-5869434.0	-5862655.0	-5862019.0	-5858959.0	20	901.0089100891008	30-04-24 11:47:19.482186
4.799	0.024	250	250	21.678132	1714470459.520164	-7.18717694	-4518925.0	-4526310.0	-4530411.0	-4529288.0	-0.774163221	-5418193.0	-5411840.0	-5411328.0	-5408422.0	20	901.0089100891008	30-04-24 11:47:45.960526
5.399	0.027	250	250	21.813054	1714470485.9964807	-6.5875042	-4141774.0	-4148411.0	-4152214.0	-4151251.0	-0.709598163	-4966277.0	-4960346.0	-4959893.0	-4957211.0	20	901.0089100891008	30-04-24 11:48:12.435871
5.998	0.03	250	250	21.9998176	1714470512.4740245	-5.98872664	-3765183.0	-3771098.0	-3774577.0	-3773779.0	-0.645123292	-4514994.0	-4509499.0	-4509126.0	-4506643.0	20	901.0089100891008	30-04-24 11:48:38.916172
6.599	0.033	250	250	22.0911391	1714470538.9590766	-5.38923409	-3388123.0	-3393267.0	-3396444.0	-3395856.0	-0.580552666	-4062998.0	-4057940.0	-4057639.0	-4055369.0	20	901.0089100891008	30-04-24 11:49:05.400669
7.199	0.036	250	250	22.3150829	1714470565.4583843	-4.79054005	-3011590.0	-3016016.0	-3018822.0	-3018440.0	-0.51608194	-3611764.0	-3607166.0	-3606902.0	-3604857.0	20	901.0089100891008	30-04-24 11:49:31.900552
7.799	0.039	250	250	22.4787526	1714470591.9569068	-4.1905263	-2634213.0	-2637880.0	-2640392.0	-2640177.0	-0.451445263	-3159283.0	-3155123.0	-3154959.0	-3153071.0	20	901.0089100891008	30-04-24 11:49:58.399288
8.399	0.042	250	250	22.6888017	1714470618.4580114	-3.59187419	-2257691.0	-2260612.0	-2262791.0	-2262779.0	-0.386963861	-2707922.0	-2704185.0	-2704108.0	-2702389.0	20	901.0089100891008	30-04-24 11:50:24.897884
8.998	0.046	250	250	22.6821898	1714470644.9564328	-2.99329023	-1881249.0	-1883408.0	-1885282.0	-1885447.0	-0.322483503	-2256588.0	-2253271.0	-2253292.0	-2251745.0	20	901.0089100891008	30-04-24 11:50:51.397933
9.598	0.049	250	250	22.5925931	1714470671.456714	-2.39407882	-1504361.0	-1505788.0	-1507337.0	-1507702.0	-0.257911855	-1804664.0	-1801781.0	-1801855.0	-1800535.0	20	901.0089100891008	30-04-24 11:51:17.899739
10.198	0.052	250	250	22.4025715	1714470697.9373636	-1.79455309	-1127292.0	-1127976.0	-1129202.0	-1129750.0	-0.193323359	-1352590.0	-1350100.0	-1350279.0	-1349139.0	20	901.0089100891008	30-04-24 11:51:44.379553
10.799	0.055	250	250	22.2290318	1714470724.4183464	-1.19476843	-750086.9	-750016.9	-750917.2	-751665.4	-0.128702322	-900224.4	-898199.2	-898425.4	-897468.4	20	901.0089100891008	30-04-24 11:52:10.859338
