# 
Scope_Frequency	base_freq	A2	f2	scope_rms	scope_dBm	scope_pkpk	scope_thd	Pmax_dBm	Pmax_lin	base_P	base_dB	base_V	thd	lin_thd	timestamp	Delay	a	
3000000.0	3000000.0	1	3000000.0	3.4564604777601926	23.78293186442392	9.776346570910105	0.033138841204877686	None	None	3.981071705534985e-05	-13.999999999999986	0.04461542169214018	-29.678109441497384	0.0010769339194441967	1716978495	0.5	3000000.0	29-05-24 12:28:15.950129
4888888.888888889	4888888.888888889	1	4888888.888888889	3.411774112611768	23.669905348555762	9.649954443617988	0.03951662885120679	None	None	3.6307805477010215e-05	-14.399999999999991	0.0426073969382138	-27.926908626930043	0.0016117925249664608	1716978506	0.5	4888888.888888889	29-05-24 12:28:26.767058
6777777.777777778	6777777.777777778	1	6777777.777777778	3.4628194305341693	23.798896871849664	9.794332405421	0.028009676688337693	None	None	3.6307805477010215e-05	-14.399999999999991	0.0426073969382138	-31.42624566208124	0.0007200711877060537	1716978516	0.5	6777777.777777778	29-05-24 12:28:36.582078
8666666.666666666	8666666.666666666	1	8666666.666666666	3.446323654778721	23.75742117560638	9.74767530583056	0.011062255853643097	None	None	3.6307805477010215e-05	-14.399999999999991	0.0426073969382138	-38.8	0.00013182567385564085	1716978526	0.5	8666666.666666666	29-05-24 12:28:46.190422
10555555.555555556	10555555.555555556	1	10555555.555555556	3.106593011551063	22.855987175488373	8.786771939417982	0.01941706163619833	None	None	3.0199517204020236e-05	-15.199999999999989	0.03885840784439079	-41.65801768898541	6.826502146207918e-05	1716978535	0.5	10555555.555555556	29-05-24 12:28:55.867400
12444444.444444444	12444444.444444444	1	12444444.444444444	2.235455367480687	19.99762002224304	6.322822597541838	0.027493927066609455	None	None	1.3182567385564081e-05	-18.799999999999997	0.02567349546279595	-70.0	1e-07	1716978545	0.5	12444444.444444444	29-05-24 12:29:05.337217
14333333.333333332	14333333.333333332	1	14333333.333333332	1.354148944353883	15.643628666863751	3.830111605156942	0.017293698745525783	None	None	5.754399373371578e-06	-22.39999999999999	0.01696231023972203	-29.908073866219276	0.0010213923796680178	1716978564	0.5	14333333.333333332	29-05-24 12:29:24.141079
16222222.222222222	16222222.222222222	1	16222222.222222222	0.8047139312836772	11.123130355423347	2.2760747109038943	0.019035370644233045	None	None	1.9054607179632521e-06	-27.19999999999999	0.009760790741439066	-25.191212894048206	0.0030260681922487423	1716978574	0.5	16222222.222222222	29-05-24 12:29:34.854725
18111111.111111112	18111111.111111112	1	18111111.111111112	0.49693228648435117	6.936244246007027	1.4055367582544835	0.02562535061470594	None	None	7.585775750291859e-07	-31.19999999999999	0.006158642606245251	-22.448695719581227	0.005690237953590093	1716978592	0.5	18111111.111111112	29-05-24 12:29:52.413015
20000000.0	20000000.0	1	20000000.0	0.3192530208205409	3.0930002629438524	0.9029839037459781	0.012737973168678182	None	None	3.0199517204020255e-07	-35.19999999999999	0.0038858407844390803	-18.11539900377332	0.015433346244638454	1716978612	0.5	20000000.0	29-05-24 12:30:12.113079
