# 
ch1a avglen	ch1_10V	ch2_1V	time	Delay	a	
1.0	0.0	0.0	1717761906.2342315	1.0	63.0	07-06-24 14:05:06.234252
1.0	0.0	0.0	1717761907.2860065	1.0	64.0	07-06-24 14:05:07.286022
1.0	0.0	0.0	1717761908.3339832	1.0	65.0	07-06-24 14:05:08.334001
1.0	0.0	0.0	1717761909.3830767	1.0	66.0	07-06-24 14:05:09.383113
1.0	0.0	0.0	1717761910.4343708	1.0	67.0	07-06-24 14:05:10.434395
1.0	0.0	0.0	1717761911.4835818	1.0	68.0	07-06-24 14:05:11.483603
1.0	0.0	0.0	1717761912.5352597	1.0	69.0	07-06-24 14:05:12.535278
1.0	0.0	0.0	1717761913.5859966	1.0	70.0	07-06-24 14:05:13.586055
1.0	0.0	0.0	1717761914.6347117	1.0	71.0	07-06-24 14:05:14.634754
1.0	0.0	0.0	1717761915.6865468	1.0	72.0	07-06-24 14:05:15.686561
1.0	0.0	0.0	1717761916.7365046	1.0	73.0	07-06-24 14:05:16.736528
1.0	0.0	0.0	1717761917.7839153	1.0	74.0	07-06-24 14:05:17.783939
1.0	0.0	0.0	1717761918.834336	1.0	75.0	07-06-24 14:05:18.834361
1.0	0.0	0.0	1717761919.8855414	1.0	76.0	07-06-24 14:05:19.885558
1.0	0.0	0.0	1717761920.939497	1.0	77.0	07-06-24 14:05:20.939515
1.0	0.0	0.0	1717761921.9863255	1.0	78.0	07-06-24 14:05:21.986346
1.0	0.0	0.0	1717761923.0339248	1.0	79.0	07-06-24 14:05:23.033950
1.0	0.0	0.0	1717761924.087103	1.0	80.0	07-06-24 14:05:24.087140
1.0	0.0	0.0	1717761925.1356068	1.0	81.0	07-06-24 14:05:25.135645
1.0	0.0	0.0	1717761926.1841526	1.0	82.0	07-06-24 14:05:26.184175
1.0	0.0	0.0	1717761927.2365205	1.0	83.00000000000001	07-06-24 14:05:27.236541
1.0	0.0	0.0	1717761928.2894595	1.0	84.0	07-06-24 14:05:28.289496
1.0	0.0	0.0	1717761929.339872	1.0	85.0	07-06-24 14:05:29.339886
1.0	0.0	0.0	1717761930.3873434	1.0	86.0	07-06-24 14:05:30.387376
1.0	0.0	0.0	1717761931.4377828	1.0	87.0	07-06-24 14:05:31.437815
1.0	0.0	0.0	1717761932.4898927	1.0	87.99999999999999	07-06-24 14:05:32.489915
1.0	0.0	0.0	1717761933.5413275	1.0	89.0	07-06-24 14:05:33.541352
1.0	0.0	0.0	1717761934.5867534	1.0	90.0	07-06-24 14:05:34.586773
1.0	0.0	0.0	1717761935.634873	1.0	91.0	07-06-24 14:05:35.634927
1.0	0.0	0.0	1717761936.6861517	1.0	92.0	07-06-24 14:05:36.686186
1.0	0.0	0.0	1717761937.7343845	1.0	92.99999999999999	07-06-24 14:05:37.734404
1.0	0.0	0.0	1717761938.785598	1.0	94.0	07-06-24 14:05:38.785631
