# 
Voltage 1	Current 1	Voltmeter 1	Delay	
0.856	0.0	0.378666	1.0	04-12-23 12:18:48.495130
0.5	0.0	0.4996217	1.0	04-12-23 12:18:49.624185
1.0	0.0	1.000153	1.0	04-12-23 12:18:50.748820
1.499	0.0	1.49969	1.0	04-12-23 12:18:51.825870
2.0	0.0	2.000827	1.0	04-12-23 12:18:52.899102
2.499	0.0	2.500693	1.0	04-12-23 12:18:54.025574
3.0	0.0	3.001799	1.0	04-12-23 12:18:55.150799
3.499	0.0	3.501546	1.0	04-12-23 12:18:56.278572
4.0	0.0	4.002046	1.0	04-12-23 12:18:57.496134
4.5	0.0	4.50272	1.0	04-12-23 12:18:58.643968
5.0	0.0	5.003298	1.0	04-12-23 12:18:59.759586
5.5	0.0	5.503517	1.0	04-12-23 12:19:00.885767
6.0	0.0	6.003427	1.0	04-12-23 12:19:01.993946
6.499	0.0	6.503754	1.0	04-12-23 12:19:03.139306
6.999	0.0	7.003785	1.0	04-12-23 12:19:04.264776
7.499	0.0	7.505128	1.0	04-12-23 12:19:05.392128
7.999	0.0	8.004794	1.0	04-12-23 12:19:06.608225
8.5	0.0	8.505427	1.0	04-12-23 12:19:07.753897
8.999	0.0	9.005141	1.0	04-12-23 12:19:08.873585
9.499	0.001	9.505834	1.0	04-12-23 12:19:09.932495
9.999	0.001	10.00677	1.0	04-12-23 12:19:11.023802
10.499	0.001	10.5069	1.0	04-12-23 12:19:12.150519
11.0	0.001	10.93285	1.0	04-12-23 12:19:13.276776
11.499	0.001	10.93129	1.0	04-12-23 12:19:14.402673
11.999	0.001	10.91911	1.0	04-12-23 12:19:15.529815
