# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	Delay	a	
0.106	0.0	250	250	-7434304.0	-7447945.0	-7455118.0	-7452813.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8772202	9.9e+37	34.7264048	6	24.0	19-03-24 16:59:14.714938
0.601	0.002	250	250	-7153808.0	-7166517.0	-7173071.0	-7170488.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3772606	9.9e+37	34.7901404	6	24.0	19-03-24 16:59:23.757065
1.201	0.005	250	250	-6778828.0	-6790753.0	-6797019.0	-6794617.0	-8126519.0	-8117144.0	-8116286.0	-8112628.0	-10.7806453	-1.16101879	34.9264382	6	24.0	19-03-24 16:59:33.225022
1.8	0.008	250	250	-6402949.0	-6414130.0	-6420053.0	-6417824.0	-7675799.0	-7666884.0	-7666090.0	-7662629.0	-10.1828499	-1.09659937	35.0481	6	24.0	19-03-24 16:59:41.351330
2.401	0.011	250	250	-6025665.0	-6036110.0	-6041712.0	-6039696.0	-7223277.0	-7214833.0	-7214130.0	-7210817.0	-9.58299624	-1.03197989	34.9569219	6	24.0	19-03-24 16:59:49.747116
3.001	0.015	250	250	-5649015.0	-5658702.0	-5663961.0	-5662160.0	-6771875.0	-6763861.0	-6763205.0	-6760098.0	-8.98410226	-0.967464875	34.9404564	6	24.0	19-03-24 16:59:57.734598
3.601	0.018	250	250	-5272572.0	-5281541.0	-5286449.0	-5284858.0	-6320644.0	-6313087.0	-6312517.0	-6309555.0	-8.38551638	-0.903010134	34.9916824	6	24.0	19-03-24 17:00:05.567125
4.201	0.021	250	250	-4895637.0	-4903829.0	-4908427.0	-4907007.0	-5868712.0	-5861639.0	-5861138.0	-5858346.0	-7.78613461	-0.838451471	35.0279755	6	24.0	19-03-24 17:00:14.540170
4.8	0.024	250	250	-4519103.0	-4526556.0	-4530832.0	-4529604.0	-5417482.0	-5410873.0	-5410408.0	-5407806.0	-7.18741554	-0.774002344	34.9880234	6	24.0	19-03-24 17:00:23.070573
5.401	0.027	250	250	-4142077.0	-4148750.0	-4152700.0	-4151664.0	-4965775.0	-4959597.0	-4959235.0	-4956791.0	-6.58787347	-0.709456679	34.9145464	6	24.0	19-03-24 17:00:32.252836
