# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	
0.022	0.0	250	250	22.6065836	1714466990.1550133	-11.9549149	-7453095.0	-7466094.0	-7472660.0	-7470219.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	601.0059400594006	30-04-24 10:49:56.585531
0.6	0.003	250	250	22.4733864	1714467016.623815	-11.3806407	-7156257.0	-7168838.0	-7175249.0	-7172765.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	601.0059400594006	30-04-24 10:50:23.053386
1.2	0.006	250	250	22.3420098	1714467043.0912051	-10.7819089	-6779706.0	-6791486.0	-6797638.0	-6795302.0	-1.16080656	-8124550.0	-8115625.0	-8114638.0	-8110658.0	20	601.0059400594006	30-04-24 10:50:49.534311
1.799	0.009	250	250	22.3102917	1714467069.570691	-10.1833807	-6403277.0	-6414377.0	-6420180.0	-6418019.0	-1.09644164	-7673968.0	-7665498.0	-7664581.0	-7660808.0	20	601.0059400594006	30-04-24 10:51:16.011408
2.4	0.012	250	250	22.1282235	1714467096.0514858	-9.58329991	-6025887.0	-6036208.0	-6041710.0	-6039728.0	-1.03192844	-7222479.0	-7214485.0	-7213585.0	-7210009.0	20	601.0059400594006	30-04-24 10:51:42.492848
3.0	0.015	250	250	21.9007342	1714467122.5389342	-8.98428427	-5649174.0	-5658725.0	-5663876.0	-5662130.0	-0.96750678	-6771523.0	-6763957.0	-6763170.0	-6759736.0	20	601.0059400594006	30-04-24 10:52:08.979139
3.6	0.018	250	250	21.7201035	1714467149.0392954	-8.38551173	-5272557.0	-5281408.0	-5286185.0	-5284666.0	-0.903088702	-6320641.0	-6313504.0	-6312786.0	-6309518.0	20	601.0059400594006	30-04-24 10:52:35.482526
4.199	0.021	250	250	21.5920808	1714467175.5387695	-7.7861867	-4895661.0	-4903778.0	-4908213.0	-4906881.0	-0.838599258	-5869273.0	-5862523.0	-5861901.0	-5858816.0	20	601.0059400594006	30-04-24 10:53:01.978608
4.799	0.024	250	250	21.361046	1714467202.0384243	-7.18737681	-4519068.0	-4526418.0	-4530576.0	-4529406.0	-0.774131866	-5418012.0	-5411728.0	-5411183.0	-5408321.0	20	601.0059400594006	30-04-24 10:53:28.487520
5.399	0.027	250	250	21.304509	1714467228.5357397	-6.58769758	-4141922.0	-4148517.0	-4152344.0	-4151367.0	-0.709605154	-4966346.0	-4960483.0	-4960018.0	-4957299.0	20	601.0059400594006	30-04-24 10:53:54.977151
5.999	0.03	250	250	21.1282862	1714467255.0374506	-5.98892328	-3765344.0	-3771207.0	-3774683.0	-3773917.0	-0.645144981	-4515145.0	-4509691.0	-4509302.0	-4506821.0	20	601.0059400594006	30-04-24 10:54:21.478280
6.599	0.033	250	250	21.2775821	1714467281.5347059	-5.38937267	-3388219.0	-3393342.0	-3396502.0	-3395921.0	-0.580572652	-4063209.0	-4058167.0	-4057866.0	-4055552.0	20	601.0059400594006	30-04-24 10:54:47.975721
7.199	0.036	250	250	21.3896019	1714467308.0762851	-4.79070028	-3011714.0	-3016104.0	-3018957.0	-3018546.0	-0.51609944	-3611846.0	-3607266.0	-3607049.0	-3604898.0	20	601.0059400594006	30-04-24 10:55:14.519490
7.799	0.039	250	250	21.5927516	1714467334.5760512	-4.19058837	-2634287.0	-2637942.0	-2640457.0	-2640244.0	-0.451456053	-3159315.0	-3155171.0	-3155023.0	-3153075.0	20	601.0059400594006	30-04-24 10:55:41.017540
8.399	0.042	250	250	21.7946556	1714467361.0753684	-3.59201724	-2257820.0	-2260726.0	-2262920.0	-2262912.0	-0.386969849	-2707986.0	-2704285.0	-2704199.0	-2702446.0	20	601.0059400594006	30-04-24 10:56:07.516275
8.998	0.045	250	250	21.9280444	1714467387.5753827	-2.99345609	-1881361.0	-1883525.0	-1885399.0	-1885564.0	-0.322495735	-2256690.0	-2253381.0	-2253383.0	-2251833.0	20	601.0059400594006	30-04-24 10:56:34.016274
9.598	0.049	250	250	22.1417349	1714467414.0754156	-2.39421505	-1504467.0	-1505882.0	-1507433.0	-1507790.0	-0.257937075	-1804797.0	-1801935.0	-1802004.0	-1800667.0	20	601.0059400594006	30-04-24 10:57:00.517395
10.199	0.052	250	250	22.2921807	1714467440.5547645	-1.79457908	-1127325.0	-1128003.0	-1129229.0	-1129780.0	-0.193336061	-1352585.0	-1350146.0	-1350294.0	-1349156.0	20	601.0059400594006	30-04-24 10:57:26.996476
10.799	0.055	250	250	22.4119623	1714467467.0345547	-1.1948581	-750139.0	-750071.2	-750971.0	-751715.8	-0.128722687	-900302.0	-898293.3	-898526.3	-897550.4	20	601.0059400594006	30-04-24 10:57:53.483344
11.399	0.058	250	250	22.5825314	1714467493.5202134	-0.595799221	-373375.3	-372567.6	-373140.9	-374085.9	-0.0641764772	-448547.7	-446964.9	-447280.1	-446503.7	20	601.0059400594006	30-04-24 10:58:19.960217
11.999	0.061	250	250	22.7884601	1714467519.999407	0.00340181559	3465.272	5013.828	4760.408	3638.632	0.000387338196	3374.524	4500.42	4106.52	4730.864	20	601.0059400594006	30-04-24 10:58:46.440851
12.598	0.064	250	250	22.8715406	1714467546.4780624	0.60241878	380181.4	382468.1	382536.8	381236.3	0.0649065625	454967.1	455648.4	455180.2	455606.8	20	601.0059400594006	30-04-24 10:59:12.921125
13.199	0.067	250	250	22.7265569	1714467572.9589205	1.2018157	757155.3	760180.0	760584.5	759085.6	0.129481043	906961.8	907232.0	906676.7	906880.8	20	601.0059400594006	30-04-24 10:59:39.400880
13.798	0.07	250	250	22.5260903	1714467599.4405124	1.80043379	1133657.0	1137423.0	1138149.0	1136464.0	0.193973282	1358427.0	1358220.0	1357633.0	1357687.0	20	601.0059400594006	30-04-24 11:00:05.881824
14.398	0.073	250	250	22.2871019	1714467625.9213161	2.3997293	1510584.0	1515090.0	1516142.0	1514279.0	0.25851957	1810168.0	1809587.0	1808911.0	1808732.0	20	601.0059400594006	30-04-24 11:00:32.362346
14.998	0.076	250	250	22.0122749	1714467652.399224	2.9984655	1887173.0	1892431.0	1893798.0	1891737.0	0.323019627	2261676.0	2260669.0	2259861.0	2259530.0	20	601.0059400594006	30-04-24 11:00:58.841440
15.598	0.079	250	250	21.7437723	1714467678.9012918	3.59840243	2264507.0	2270514.0	2272200.0	2269961.0	0.387634546	2713963.0	2712466.0	2711651.0	2711131.0	20	601.0059400594006	30-04-24 11:01:25.343118
16.198	0.083	250	250	21.3079587	1714467705.3803446	4.19773732	2641452.0	2648194.0	2650215.0	2647785.0	0.452195284	3165899.0	3164011.0	3163100.0	3162397.0	20	601.0059400594006	30-04-24 11:01:51.821758
16.798	0.086	250	250	21.1491762	1714467731.8614008	4.79651611	3018067.0	3025556.0	3027902.0	3025277.0	0.516679583	3617350.0	3614999.0	3614052.0	3613122.0	20	601.0059400594006	30-04-24 11:02:18.303274
17.398	0.089	250	250	21.2596628	1714467758.340389	5.39566731	3394931.0	3403172.0	3405823.0	3402999.0	0.581220692	4069095.0	4066384.0	4065317.0	4064188.0	20	601.0059400594006	30-04-24 11:02:44.782768
17.998	0.092	250	250	21.3257822	1714467784.8202581	5.99490043	3771806.0	3780775.0	3783769.0	3780761.0	0.645742653	4520775.0	4517610.0	4516465.0	4515149.0	20	601.0059400594006	30-04-24 11:03:11.260426
18.598	0.095	250	250	21.4443182	1714467811.3196216	6.59413107	4148724.0	4158434.0	4161752.0	4158543.0	0.710253273	4972387.0	4968778.0	4967565.0	4966064.0	20	601.0059400594006	30-04-24 11:03:37.762417
19.198	0.098	250	250	21.6432516	1714467837.799408	7.19269527	4525202.0	4535623.0	4539258.0	4535890.0	0.774694271	5423528.0	5419510.0	5418121.0	5416502.0	20	601.0059400594006	30-04-24 11:04:04.239750
19.798	0.101	250	250	21.8091252	1714467864.2791047	7.79216728	4902216.0	4913422.0	4917385.0	4913789.0	0.839245422	5875337.0	5870856.0	5869494.0	5867583.0	20	601.0059400594006	30-04-24 11:04:30.720336
20.398	0.105	250	250	21.9062921	1714467890.7571864	8.39131328	5279077.0	5291022.0	5295305.0	5291530.0	0.903718885	6326750.0	6321873.0	6320359.0	6318365.0	20	601.0059400594006	30-04-24 11:04:57.200889
20.998	0.108	250	250	22.1022549	1714467917.2385569	8.9900748	5655637.0	5668362.0	5672970.0	5668991.0	0.968144036	6777726.0	6772407.0	6770839.0	6768654.0	20	601.0059400594006	30-04-24 11:05:23.680781
21.598	0.111	250	250	22.344693	1714467943.733124	9.58884125	6032234.0	6045693.0	6050662.0	6046454.0	1.0326025	7228876.0	7223159.0	7221501.0	7219114.0	20	601.0059400594006	30-04-24 11:05:50.175385
22.197	0.114	250	250	22.4563295	1714467970.2139647	10.1866344	6408306.0	6422470.0	6427727.0	6423387.0	1.09696226	7679433.0	7673288.0	7671539.0	7668996.0	20	601.0059400594006	30-04-24 11:06:16.655493
