# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	
0.023	0.0	250	250	22.310675	1714483278.5177047	-11.953432	-7453516.0	-7466506.0	-7473055.0	-7470683.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	2101.020790207902	30-04-24 15:21:24.950027
0.599	0.003	250	250	22.5836813	1714483304.9883163	-11.3797674	-7155680.0	-7168259.0	-7174672.0	-7172211.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	2101.020790207902	30-04-24 15:21:51.417805
1.2	0.006	250	250	22.7017381	1714483331.455628	-10.7810468	-6779146.0	-6790915.0	-6797082.0	-6794790.0	-1.16108868	-8126440.0	-8117471.0	-8116548.0	-8112578.0	20	2101.020790207902	30-04-24 15:22:17.897888
1.799	0.009	250	250	22.701834	1714483357.9351475	-10.1825491	-6402740.0	-6413802.0	-6419601.0	-6417522.0	-1.09671718	-7675924.0	-7667377.0	-7666556.0	-7662765.0	20	2101.020790207902	30-04-24 15:22:44.376967
2.4	0.012	250	250	22.5601083	1714483384.4143498	-9.58258418	-6025375.0	-6035691.0	-6041157.0	-6039301.0	-1.03216554	-7224098.0	-7216017.0	-7215228.0	-7211601.0	20	2101.020790207902	30-04-24 15:23:10.857882
3.0	0.015	250	250	22.4311274	1714483410.8953333	-8.98357354	-5648657.0	-5658264.0	-5663408.0	-5661698.0	-0.967750578	-6773285.0	-6765643.0	-6764956.0	-6761507.0	20	2101.020790207902	30-04-24 15:23:37.337120
3.599	0.018	250	250	22.3809149	1714483437.3756073	-8.38493067	-5272157.0	-5281021.0	-5285857.0	-5284312.0	-0.903289399	-6322012.0	-6314832.0	-6314179.0	-6310925.0	20	2101.020790207902	30-04-24 15:24:03.818602
4.199	0.021	250	250	22.194918	1714483463.8693898	-7.785459	-4895176.0	-4903295.0	-4907764.0	-4906420.0	-0.838768966	-5870462.0	-5863692.0	-5863096.0	-5860066.0	20	2101.020790207902	30-04-24 15:24:30.311514
4.798	0.024	250	250	22.0347938	1714483490.3696682	-7.1867775	-4518679.0	-4526048.0	-4530183.0	-4529038.0	-0.774300779	-5419224.0	-5412908.0	-5412390.0	-5409481.0	20	2101.020790207902	30-04-24 15:24:56.813891
5.399	0.027	250	250	21.7502884	1714483516.8696876	-6.5872024	-4141586.0	-4148214.0	-4152024.0	-4151068.0	-0.709751578	-4967407.0	-4961508.0	-4961060.0	-4958364.0	20	2101.020790207902	30-04-24 15:25:23.313170
5.998	0.03	250	250	21.5024841	1714483543.3711793	-5.9883906	-3764984.0	-3770865.0	-3774341.0	-3773601.0	-0.645259268	-4515971.0	-4510547.0	-4510165.0	-4507690.0	20	2101.020790207902	30-04-24 15:25:49.813843
6.599	0.033	250	250	21.3524217	1714483569.8680143	-5.38900882	-3388007.0	-3393147.0	-3396303.0	-3395740.0	-0.580673377	-4063890.0	-4058901.0	-4058589.0	-4056282.0	20	2101.020790207902	30-04-24 15:26:16.309025
7.199	0.036	250	250	21.342935	1714483596.3680182	-4.79031081	-3011477.0	-3015860.0	-3018711.0	-3018333.0	-0.516191119	-3612462.0	-3607901.0	-3607671.0	-3605540.0	20	2101.020790207902	30-04-24 15:26:42.809695
7.799	0.04	250	250	21.3071921	1714483622.86784	-4.19017621	-2634025.0	-2637689.0	-2640192.0	-2640003.0	-0.451536916	-3159911.0	-3155778.0	-3155590.0	-3153693.0	20	2101.020790207902	30-04-24 15:27:09.309869
8.399	0.043	250	250	21.5328608	1714483649.3676813	-3.591625	-2257550.0	-2260459.0	-2262638.0	-2262648.0	-0.387032787	-2708417.0	-2704721.0	-2704607.0	-2702923.0	20	2101.020790207902	30-04-24 15:27:35.808262
8.998	0.046	250	250	21.6461263	1714483675.8689585	-2.99305896	-1881108.0	-1883276.0	-1885142.0	-1885322.0	-0.322536895	-2256942.0	-2253646.0	-2253684.0	-2252091.0	20	2101.020790207902	30-04-24 15:28:02.311848
9.598	0.049	250	250	21.8182286	1714483702.3677132	-2.3939227	-1504264.0	-1505689.0	-1507237.0	-1507620.0	-0.257973529	-1805049.0	-1802169.0	-1802264.0	-1800919.0	20	2101.020790207902	30-04-24 15:28:28.811201
10.198	0.052	250	250	22.0011592	1714483728.849059	-1.79437765	-1127189.0	-1127872.0	-1129104.0	-1129663.0	-0.193352661	-1352740.0	-1350263.0	-1350441.0	-1349302.0	20	2101.020790207902	30-04-24 15:28:55.291015
10.799	0.055	250	250	22.2089085	1714483755.3339672	-1.19457672	-749951.0	-749884.7	-750788.5	-751539.0	-0.128718343	-900291.4	-898302.3	-898516.0	-897572.8	20	2101.020790207902	30-04-24 15:29:21.777291
11.398	0.058	250	250	22.4201075	1714483781.8151486	-0.595684299	-373307.6	-372495.4	-373074.5	-374020.2	-0.0641799732	-448550.0	-446959.0	-447296.9	-446497.3	20	2101.020790207902	30-04-24 15:29:48.258804
11.998	0.061	250	250	22.6157828	1714483808.2989686	0.00362649251	3592.12	5140.62	4885.972	3762.672	0.000396704524	3455.704	4601.284	4169.448	4766.156	20	2101.020790207902	30-04-24 15:30:14.765962
