# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC1	temp_pt100	time	Delay	a	
0.081	0.0	250	250	-7445905.0	-7459389.0	-7466267.0	-7464048.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	21.2282321	1713957803.8645835	6	36.0	24-04-24 13:23:23.864650
0.6	0.002	250	250	-7153792.0	-7166311.0	-7172774.0	-7170329.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	21.1851107	1713957810.6329741	6	36.0	24-04-24 13:23:30.633061
1.2	0.005	250	250	-6778843.0	-6790612.0	-6796752.0	-6794465.0	-8124683.0	-8115817.0	-8114722.0	-8110656.0	-1.1608412	21.2355148	1713957817.4135957	6	36.0	24-04-24 13:23:37.413653
1.8	0.008	250	250	-6402882.0	-6413928.0	-6419727.0	-6417639.0	-7674221.0	-7665789.0	-7664768.0	-7660906.0	-1.09647939	21.2876438	1713957824.1958878	6	36.0	24-04-24 13:23:44.195939
2.401	0.011	250	250	-6025804.0	-6036094.0	-6041555.0	-6039659.0	-7222029.0	-7214015.0	-7213070.0	-7209439.0	-1.03186861	21.3447557	1713957830.9790485	6	36.0	24-04-24 13:23:50.979106
3.001	0.014	250	250	-5649183.0	-5658749.0	-5663845.0	-5662168.0	-6770753.0	-6763130.0	-6762309.0	-6758876.0	-0.967407645	21.3653581	1713957837.760361	6	36.0	24-04-24 13:23:57.760411
3.6	0.018	250	250	-5272687.0	-5281545.0	-5286315.0	-5284820.0	-6319263.0	-6312065.0	-6311338.0	-6308018.0	-0.902902364	21.3815526	1713957844.5669255	6	36.0	24-04-24 13:24:04.566983
4.2	0.021	250	250	-4895843.0	-4903929.0	-4908426.0	-4907109.0	-5867567.0	-5860831.0	-5860174.0	-5857078.0	-0.838363366	21.4187328	1713957851.3719928	6	36.0	24-04-24 13:24:11.372045
4.8	0.024	250	250	-4519205.0	-4526545.0	-4530718.0	-4529580.0	-5416385.0	-5410068.0	-5409455.0	-5406591.0	-0.773907438	21.4651123	1713957858.1770895	6	36.0	24-04-24 13:24:18.177146
5.4	0.027	250	250	-4142204.0	-4148817.0	-4152644.0	-4151704.0	-4964659.0	-4958781.0	-4958263.0	-4955610.0	-0.709372605	21.4616626	1713957864.9826062	6	36.0	24-04-24 13:24:24.982659
6.0	0.03	250	250	-3765593.0	-3771458.0	-3774950.0	-3774209.0	-4513201.0	-4507746.0	-4507322.0	-4504830.0	-0.644872058	21.5126416	1713957871.789161	6	36.0	24-04-24 13:24:31.789211
6.6	0.033	250	250	-3388534.0	-3393652.0	-3396838.0	-3396273.0	-4061386.0	-4056368.0	-4056023.0	-4053721.0	-0.580327085	21.5584461	1713957878.61579	6	36.0	24-04-24 13:24:38.615846
7.2	0.036	250	250	-3011974.0	-3016354.0	-3019201.0	-3018829.0	-3610151.0	-3605553.0	-3605291.0	-3603185.0	-0.515867956	21.4985553	1713957885.4211118	6	36.0	24-04-24 13:24:45.421170
7.8	0.039	250	250	-2634631.0	-2638269.0	-2640814.0	-2640614.0	-3158063.0	-3153899.0	-3153711.0	-3151806.0	-0.451280551	21.579911	1713957892.2243412	6	36.0	24-04-24 13:24:52.224395
8.4	0.042	250	250	-2258104.0	-2261006.0	-2263215.0	-2263202.0	-2706862.0	-2703126.0	-2703024.0	-2701306.0	-0.386817689	21.6192952	1713957899.0089414	6	36.0	24-04-24 13:24:59.008999
8.999	0.045	250	250	-1881672.0	-1883826.0	-1885714.0	-1885889.0	-2255625.0	-2252319.0	-2252307.0	-2250768.0	-0.322348688	21.6906851	1713957905.7934935	6	36.0	24-04-24 13:25:05.793552
9.599	0.048	250	250	-1504754.0	-1506165.0	-1507728.0	-1508095.0	-1804040.0	-1801156.0	-1801222.0	-1799872.0	-0.257839498	21.7791319	1713957912.5805888	6	36.0	24-04-24 13:25:12.580646
10.199	0.051	250	250	-1127727.0	-1128397.0	-1129633.0	-1130182.0	-1352290.0	-1349845.0	-1349979.0	-1348828.0	-0.193301478	21.8302068	1713957919.360054	6	36.0	24-04-24 13:25:19.360106
10.8	0.054	250	250	-750489.0	-750420.9	-751327.0	-752073.6	-900232.4	-898222.3	-898441.3	-897482.3	-0.128720998	21.8716991	1713957926.1391044	6	36.0	24-04-24 13:25:26.139166
