# 
Scope_Frequency	|Z|	arg(Z)	R	C	Q	L	gain	gain_log	phase	Scope_Amplitude_RMS	Scope_Amplitude_pkpk	THD	Gen_Frequency	Delay	a	
1000.0	50224.90877723742	-176.16720773609856	-50112.57444710645	-4.7405887332917646e-08	0.06699480651358111	0.5343280620969545	1.004492837229859	0.0389368851470148	-172.3171694540027	0.018612899898168184	0.05264523094216449	0.0	1000.0	0.5	1000.0	10-06-24 12:14:52.426490
1122.0184543019634	50255.069467832785	-175.6950555013135	-50113.28279567217	-3.760140125954077e-08	0.07527716393756625	0.5351015803059453	1.004515837267312	0.039135765111579575	-171.37063365885206	0.018601600474959387	0.052613271347066747	0.0	1122.0184543019634	0.5	1122.0184543019634	10-06-24 12:15:06.039058
1258.9254117941673	50296.012723242864	-175.16460704327648	-50117.00817533914	-2.981900052461494e-08	0.08459445793398403	0.5359782675964201	1.0046577387016644	0.04036267772386932	-170.30663809080247	0.007482021370660572	0.02116235219270703	0.0	1258.9254117941673	0.5	1258.9254117941673	10-06-24 12:15:20.323272
1412.5375446227545	50343.53446016259	-174.56523097911497	-50117.22381979219	-2.3630309992842946e-08	0.09514012264010341	0.5372430974553911	1.0046575159166562	0.04036075160900012	-169.10507270915883	0.013943405938852405	0.03943790756879726	0.0	1412.5375446227545	0.5	1412.5375446227545	10-06-24 12:15:50.408709
1584.8931924611136	50400.48498449217	-173.88929424977184	-50114.11302090948	-1.8717175517848122e-08	0.10705815894098944	0.5387657141233536	1.0045227683396671	0.03919569679172015	-167.75084520580037	0.00786798851427112	0.022254032130955913	0.0	1584.8931924611136	0.5	1584.8931924611136	10-06-24 12:16:15.437287
1778.2794100389228	50474.76492221355	-173.12752389652786	-50112.10065871359	-1.4818256657233707e-08	0.12052590761569672	0.5405590599241862	1.0044293252284988	0.038387676974593256	-166.22445954480762	0.016956536181861014	0.04796032687851589	0.0	1778.2794100389228	0.5	1778.2794100389228	10-06-24 12:16:30.440593
1995.2623149688795	50566.95253918291	-172.26591634101524	-50106.96114016212	-1.1721597381930401e-08	0.1358111000573618	0.5428170285221068	1.0042094753971338	0.03648629840995084	-164.49907578470757	0.01703620281177434	0.04818565813549986	0.0	1995.2623149688795	0.5	1995.2623149688795	10-06-24 12:16:43.571126
2238.7211385683395	50684.42980348111	-171.29896867222018	-50101.11101027521	-9.271884906964656e-09	0.153039924579373	0.5450950412405948	1.0039593387258596	0.03432247680583387	-162.56321810541866	0.010512845674847483	0.02973481786500929	0.0	2238.7211385683395	0.5	2238.7211385683395	10-06-24 12:16:56.761152
2511.8864315095802	50892.70459928046	-170.21133956288867	-50151.7865084815	-7.322825946283323e-09	0.17252618215744825	0.5482284277436191	1.005912354076293	0.051202839065008214	-160.36423022151644	0.016371026499894217	0.04630425541223949	0.0	2511.8864315095802	0.5	2511.8864315095802	10-06-24 12:17:25.731149
2818.382931264454	51077.97811536164	-168.96230949418612	-50133.10970790714	-5.7745802503369965e-09	0.19506307496913225	0.55222980420507	1.0051414030530423	0.044543249972862256	-157.86715154072286	0.017989571304747275	0.050882191440902905	0.0	2818.382931264454	0.5	2818.382931264454	10-06-24 12:17:39.382681
