# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp_pt100	time	Delay	a	
0.021	0.0	250	250	-7453525.0	-7466578.0	-7473086.0	-7470668.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	9.9e+37	22.3206408	1714454559.8927612	20.0	6201.061380613806	30-04-24 07:22:39.892829
0.6	0.002	250	250	-7156237.0	-7168893.0	-7175263.0	-7172790.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	9.9e+37	22.5348104	1714454586.3524268	20.0	6201.061380613806	30-04-24 07:23:06.352495
1.2	0.005	250	250	-6779749.0	-6791651.0	-6797702.0	-6795364.0	-8124182.0	-8115249.0	-8114202.0	-8110209.0	9.9e+37	9.9e+37	22.6047629	1714454612.8423712	20.0	6201.061380613806	30-04-24 07:23:32.842439
1.799	0.009	250	250	-6403244.0	-6414391.0	-6420129.0	-6417986.0	-7672929.0	-7664457.0	-7663527.0	-7659722.0	9.9e+37	9.9e+37	22.5924014	1714454639.2993908	20.0	6201.061380613806	30-04-24 07:23:59.299459
2.4	0.012	250	250	-6025813.0	-6036232.0	-6041608.0	-6039686.0	-7221545.0	-7213475.0	-7212604.0	-7208984.0	9.9e+37	9.9e+37	22.4807649	1714454665.7535727	20.0	6201.061380613806	30-04-24 07:24:25.753642
3.0	0.015	250	250	-5649075.0	-5658737.0	-5663805.0	-5662082.0	-6770679.0	-6763073.0	-6762232.0	-6758880.0	9.9e+37	9.9e+37	22.3321398	1714454692.2088587	20.0	6201.061380613806	30-04-24 07:24:52.208928
3.6	0.018	250	250	-5272520.0	-5281422.0	-5286191.0	-5284642.0	-6320085.0	-6312903.0	-6312163.0	-6308928.0	9.9e+37	9.9e+37	22.2274028	1714454718.6721818	20.0	6201.061380613806	30-04-24 07:25:18.672248
4.2	0.021	250	250	-4895513.0	-4903674.0	-4908050.0	-4906753.0	-5869031.0	-5862263.0	-5861616.0	-5858561.0	9.9e+37	9.9e+37	22.0713991	1714454745.1278703	20.0	6201.061380613806	30-04-24 07:25:45.127941
4.799	0.024	250	250	-4518888.0	-4526318.0	-4530374.0	-4529240.0	-5417841.0	-5411488.0	-5410968.0	-5408082.0	9.9e+37	9.9e+37	21.8479345	1714454771.5947587	20.0	6201.061380613806	30-04-24 07:26:11.594830
5.4	0.027	250	250	-4141788.0	-4148453.0	-4152226.0	-4151255.0	-4965824.0	-4959935.0	-4959457.0	-4956814.0	9.9e+37	9.9e+37	21.7546006	1714454798.0487642	20.0	6201.061380613806	30-04-24 07:26:38.048833
