# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC	Delay	a	
0.139	0.0	250	250	-7423039.0	-7436918.0	-7444523.0	-7442227.0	-7441046.0	-7435413.0	-7434557.0	-7432220.0	-11.869597	6	3.0	13-12-23 17:10:10.409418
0.5	0.002	250	250	-7223544.0	-7236284.0	-7243048.0	-7240367.0	-7245137.0	-7239311.0	-7238210.0	-7235547.0	-11.4858683	6	3.0	13-12-23 17:10:17.576968
1.0	0.004	250	250	-6912182.0	-6924296.0	-6930750.0	-6928260.0	-6932851.0	-6927174.0	-6926168.0	-6923590.0	-10.9903568	6	3.0	13-12-23 17:10:24.744283
1.499	0.007	250	250	-6599076.0	-6610610.0	-6616768.0	-6614408.0	-6618833.0	-6613390.0	-6612474.0	-6609986.0	-10.492583	6	3.0	13-12-23 17:10:32.016591
2.0	0.01	250	250	-6284787.0	-6295704.0	-6301591.0	-6299413.0	-6303669.0	-6298422.0	-6297554.0	-6295154.0	-9.99294948	6	3.0	13-12-23 17:10:39.286309
2.499	0.012	250	250	-5970914.0	-5981222.0	-5986829.0	-5984816.0	-5988844.0	-5983816.0	-5982996.0	-5980712.0	-9.49396016	6	3.0	13-12-23 17:10:46.557166
3.0	0.015	250	250	-5656317.0	-5666022.0	-5671331.0	-5669485.0	-5673341.0	-5668535.0	-5667791.0	-5665584.0	-8.99385166	6	3.0	13-12-23 17:10:53.757720
3.5	0.017	250	250	-5342520.0	-5351586.0	-5356619.0	-5354920.0	-5358633.0	-5354008.0	-5353342.0	-5351217.0	-8.49496546	6	3.0	13-12-23 17:11:01.097544
4.0	0.02	250	250	-5028123.0	-5036587.0	-5041334.0	-5039790.0	-5043328.0	-5038904.0	-5038295.0	-5036269.0	-7.99520014	6	3.0	13-12-23 17:11:08.265564
4.5	0.022	250	250	-4713788.0	-4721609.0	-4726084.0	-4724712.0	-4728067.0	-4723837.0	-4723308.0	-4721374.0	-7.4954603	6	3.0	13-12-23 17:11:15.536265
5.0	0.025	250	250	-4399332.0	-4406543.0	-4410715.0	-4409511.0	-4412720.0	-4408682.0	-4408213.0	-4406370.0	-6.99560726	6	3.0	13-12-23 17:11:22.712217
5.5	0.027	250	250	-4085128.0	-4091692.0	-4095579.0	-4094547.0	-4097561.0	-4093757.0	-4093351.0	-4091590.0	-6.49608835	6	3.0	13-12-23 17:11:30.229747
5.999	0.03	250	250	-3771248.0	-3777207.0	-3780825.0	-3779945.0	-3782784.0	-3779182.0	-3778820.0	-3777177.0	-5.99711148	6	3.0	13-12-23 17:11:37.751251
6.499	0.033	250	250	-3456878.0	-3462205.0	-3465551.0	-3464838.0	-3467513.0	-3464109.0	-3463838.0	-3462270.0	-5.49735119	6	3.0	13-12-23 17:11:48.098568
6.999	0.035	250	250	-3142682.0	-3147388.0	-3150459.0	-3149900.0	-3152397.0	-3149204.0	-3148986.0	-3147519.0	-4.99800057	6	3.0	13-12-23 17:11:59.704846
7.499	0.038	250	250	-2827856.0	-2831944.0	-2834715.0	-2834344.0	-2836655.0	-2833673.0	-2833521.0	-2832150.0	-4.4974899	6	3.0	13-12-23 17:12:13.199376
7.999	0.04	250	250	-2513928.0	-2517368.0	-2519870.0	-2519672.0	-2521797.0	-2519009.0	-2518930.0	-2517634.0	-3.99841133	6	3.0	13-12-23 17:12:23.330586
8.499	0.043	250	250	-2199607.0	-2202433.0	-2204655.0	-2204616.0	-2206566.0	-2203979.0	-2203964.0	-2202767.0	-3.49867375	6	3.0	13-12-23 17:12:36.838550
8.999	0.045	250	250	-1885697.0	-1887894.0	-1889840.0	-1889972.0	-1891737.0	-1889364.0	-1889407.0	-1888314.0	-2.99972552	6	3.0	13-12-23 17:12:45.857928
9.499	0.048	250	250	-1571081.0	-1572646.0	-1574323.0	-1574613.0	-1576197.0	-1574033.0	-1574139.0	-1573128.0	-2.49965402	6	3.0	13-12-23 17:12:58.236524
9.999	0.05	250	250	-1256679.0	-1257623.0	-1259000.0	-1259465.0	-1260869.0	-1258913.0	-1259085.0	-1258168.0	-1.9998163	6	3.0	13-12-23 17:13:06.283471
10.499	0.053	250	250	-942510.0	-942830.9	-943932.7	-944563.1	-945787.3	-944028.1	-944265.4	-943439.2	-1.50034184	6	3.0	13-12-23 17:13:14.933761
10.999	0.056	250	250	-628142.8	-627842.7	-628663.0	-629452.9	-630500.4	-628946.5	-629254.7	-628510.1	-1.00066318	6	3.0	13-12-23 17:13:23.970393
11.499	0.058	250	250	-314260.0	-313325.8	-313881.0	-314832.3	-315696.1	-314344.8	-314725.8	-314065.6	-0.501543115	6	3.0	13-12-23 17:13:32.343203
11.999	0.061	250	250	118.248	1666.748	1393.404	284.648	-399.28	740.272	297.116	860.368	-0.0017395328	6	3.0	13-12-23 17:13:41.149202
12.498	0.063	250	250	313780.7	315951.7	315952.6	314687.8	314178.3	315115.6	314605.1	315074.7	0.496852664	6	3.0	13-12-23 17:13:48.422518
