# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	time	Delay	a	
0.124	0.0	250	250	-7427622.0	-7441404.0	-7448594.0	-7446711.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8683784	9.9e+37	24.9128362	1711451230.1729295	6	6.0	26-03-24 12:07:10.172993
0.6	0.002	250	250	-7153916.0	-7166546.0	-7172927.0	-7170563.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3767559	9.9e+37	24.9340313	1711451237.9595895	6	6.0	26-03-24 12:07:17.959653
1.2	0.005	250	250	-6778877.0	-6790738.0	-6796808.0	-6794647.0	-8126404.0	-8117374.0	-8116458.0	-8112423.0	-10.7802066	-1.16100295	24.9312667	1711451245.7581723	6	6.0	26-03-24 12:07:25.758227
1.8	0.008	250	250	-6402993.0	-6414119.0	-6419879.0	-6417869.0	-7675510.0	-7666956.0	-7666096.0	-7662205.0	-10.1824452	-1.09659181	24.9303452	1711451253.7758071	6	6.0	26-03-24 12:07:33.775864
2.401	0.011	250	250	-6025755.0	-6036138.0	-6041542.0	-6039757.0	-7223326.0	-7215240.0	-7214439.0	-7210723.0	-9.5827153	-1.03197944	24.840658	1711451261.6068807	6	6.0	26-03-24 12:07:41.606936
3.001	0.015	250	250	-5649207.0	-5658850.0	-5663893.0	-5662302.0	-6771698.0	-6764007.0	-6763297.0	-6759807.0	-8.98392371	-0.967455579	24.8194629	1711451269.473627	6	6.0	26-03-24 12:07:49.473685
3.6	0.018	250	250	-5272635.0	-5281566.0	-5286306.0	-5284865.0	-6320336.0	-6313086.0	-6312446.0	-6309156.0	-8.38519418	-0.902966843	24.8059392	1711451277.2980876	6	6.0	26-03-24 12:07:57.298143
4.2	0.021	250	250	-4895814.0	-4903999.0	-4908404.0	-4907160.0	-5868541.0	-5861733.0	-5861157.0	-5858067.0	-7.7860585	-0.838427997	24.7961015	1711451285.152739	6	6.0	26-03-24 12:08:05.152794
4.8	0.024	250	250	-4519185.0	-4526623.0	-4530703.0	-4529612.0	-5416776.0	-5410383.0	-5409908.0	-5407016.0	-7.18727693	-0.773902711	24.7036497	1711451293.1850953	6	6.0	26-03-24 12:08:13.185152
5.4	0.027	250	250	-4142147.0	-4148814.0	-4152567.0	-4151669.0	-4964981.0	-4959012.0	-4958558.0	-4955910.0	-6.58771693	-0.709367129	24.7472606	1711451301.224391	6	6.0	26-03-24 12:08:21.224447
6.0	0.03	250	250	-3765534.0	-3771467.0	-3774924.0	-3774200.0	-4513665.0	-4508133.0	-4507784.0	-4505300.0	-5.98898064	-0.644880865	24.6637249	1711451309.307345	6	6.0	26-03-24 12:08:29.307398
6.6	0.033	250	250	-3388472.0	-3393650.0	-3396780.0	-3396237.0	-4061977.0	-4056908.0	-4056643.0	-4054273.0	-5.3894703	-0.580363529	24.7570983	1711451317.3632765	6	6.0	26-03-24 12:08:37.363333
7.2	0.036	250	250	-3011919.0	-3016350.0	-3019167.0	-3018798.0	-3610721.0	-3606083.0	-3605885.0	-3603748.0	-4.79078008	-0.515895494	24.8615299	1711451325.1865578	6	6.0	26-03-24 12:08:45.186613
