# 
VDC	Voltage 1	Current 1	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	a	
-11.995293	0.002	0.0	-11.83273	-7467522.0	-7474266.0	-7471720.0	-11.82641	-7444564.0	-7443418.0	-7440635.0	7.0	0.0	11-12-23 15:28:41.367192
-11.4979069	0.5	0.001	-11.47878	-7244257.0	-7250896.0	-7248261.0	-11.51335	-7247582.0	-7246448.0	-7243694.0	7.0	0.0	11-12-23 15:28:48.912145
-10.9982287	1.0	0.004	-10.97982	-6929293.0	-6935672.0	-6933179.0	-11.01299	-6932525.0	-6931480.0	-6928830.0	7.0	0.0	11-12-23 15:28:56.520981
-10.4990932	1.5	0.006	-10.48142	-6614698.0	-6620815.0	-6618486.0	-10.5132	-6617836.0	-6616838.0	-6614292.0	7.0	0.0	11-12-23 15:29:04.201388
-9.99858615	2.0	0.009	-9.981756	-6299236.0	-6305066.0	-6302882.0	-10.01199	-6302228.0	-6301331.0	-6298882.0	7.0	0.0	11-12-23 15:29:11.964840
-9.49912872	2.5	0.011	-9.483062	-5984409.0	-5989977.0	-5987996.0	-9.511875	-5987365.0	-5986536.0	-5984186.0	7.0	0.0	11-12-23 15:29:19.518837
-8.99866192	3.001	0.014	-8.983291	-5668950.0	-5674212.0	-5672405.0	-9.010695	-5671777.0	-5671020.0	-5668740.0	7.0	0.0	11-12-23 15:29:27.240567
-8.4995336	3.5	0.016	-8.48503	-5354402.0	-5359400.0	-5357720.0	-8.510857	-5357061.0	-5356368.0	-5354198.0	7.0	0.0	11-12-23 15:29:35.023240
-7.99943138	4.0	0.019	-7.985595	-5039195.0	-5043879.0	-5042378.0	-8.010041	-5041767.0	-5041138.0	-5039074.0	7.0	0.0	11-12-23 15:29:42.551139
-7.49954443	4.501	0.021	-7.486517	-4724131.0	-4728584.0	-4727203.0	-7.509517	-4726615.0	-4726038.0	-4724075.0	7.0	0.0	11-12-23 15:29:50.080431
-6.99951152	5.001	0.024	-6.987233	-4408965.0	-4413116.0	-4411914.0	-7.008615	-4411307.0	-4410816.0	-4408934.0	7.0	0.0	11-12-23 15:29:57.859357
-6.49980255	5.501	0.027	-6.488297	-4093958.0	-4097854.0	-4096822.0	-6.508224	-4096241.0	-4095790.0	-4094017.0	7.0	0.0	11-12-23 15:30:05.544673
-6.00062974	6.0	0.029	-5.989879	-3779350.0	-3782962.0	-3782096.0	-6.008354	-3781498.0	-3781137.0	-3779437.0	7.0	0.0	11-12-23 15:30:13.153937
-5.50090708	6.5	0.032	-5.49093	-3464344.0	-3467680.0	-3466990.0	-5.507871	-3466431.0	-3466110.0	-3464520.0	7.0	0.0	11-12-23 15:30:20.693677
-5.00148766	7.0	0.034	-4.992298	-3149584.0	-3152606.0	-3152086.0	-5.007826	-3151552.0	-3151295.0	-3149818.0	7.0	0.0	11-12-23 15:30:28.223435
-4.50100647	7.501	0.037	-4.492538	-2834121.0	-2836879.0	-2836518.0	-4.506575	-2835979.0	-2835800.0	-2834422.0	7.0	0.0	11-12-23 15:30:35.978363
-4.00202209	8.0	0.039	-3.994305	-2519622.0	-2522112.0	-2521904.0	-4.006929	-2521372.0	-2521272.0	-2519965.0	7.0	0.0	11-12-23 15:30:43.514329
-3.50229506	8.5	0.042	-3.495336	-2204622.0	-2206844.0	-2206803.0	-3.506475	-2206266.0	-2206232.0	-2205020.0	7.0	0.0	11-12-23 15:30:51.718368
-3.00337035	8.999	0.045	-2.997123	-1890132.0	-1892069.0	-1892215.0	-3.006823	-1891685.0	-1891708.0	-1890599.0	7.0	0.0	11-12-23 15:30:59.363935
-2.50325563	9.5	0.047	-2.497748	-1574908.0	-1576562.0	-1576851.0	-2.505971	-1576356.0	-1576457.0	-1575436.0	7.0	0.0	11-12-23 15:31:06.980585
-2.00341216	10.0	0.05	-1.998739	-1259842.0	-1261225.0	-1261682.0	-2.005373	-1261200.0	-1261354.0	-1260421.0	7.0	0.0	11-12-23 15:31:14.514262
-1.50389779	10.5	0.052	-1.499947	-944994.2	-946090.3	-946713.5	-1.505215	-946239.8	-946472.8	-945629.2	7.0	0.0	11-12-23 15:31:22.134907
-1.00427776	11.0	0.055	-1.001082	-630071.2	-630893.8	-631688.9	-1.004806	-631219.1	-631521.2	-630770.1	7.0	0.0	11-12-23 15:31:29.686208
-0.505109699	11.5	0.057	-0.502684	-315470.3	-316020.6	-316973.6	-0.5050601	-316534.2	-316902.9	-316240.5	7.0	0.0	11-12-23 15:31:37.217606
-0.00527074506	12.0	0.06	-0.003658982	-433.35	-712.5	-1824.4	-0.004471659	-1394.05	-1828.95	-1248.65	7.0	0.0	11-12-23 15:31:44.746702
0.493633351	12.499	0.062	0.4944994	314031.7	314028.2	312769.2	0.4951946	313177.9	312673.1	313151.8	7.0	0.0	11-12-23 15:31:52.274823
