# 
Scope_Frequency	A2	f2	gain	gain_log	phase	Scope_Amplitude_RMS	Scope_Amplitude_pkpk	THD	Delay	a	
1000.0	0.01	1000.0	0.08027932768775958	-21.90792546477693	-75.31023520971608	1.1145180187790747e-05	3.152332995333118e-05	2.0645221547146924	0.5	1000.0	20-05-24 17:01:42.491723
1223.9850755871992	0.01	1223.9850755871992	0.17927175781072938	-14.92976246230284	118.06320965716868	2.0865602905395792e-05	5.901683723180437e-05	0.49033315856594006	0.5	1223.9850755871992	20-05-24 17:01:49.203196
1498.1394652602019	0.01	1498.1394652602019	0.1601353910661462	-15.910253505754554	-167.17642466337747	4.037029294600443e-06	1.1418443160242872e-05	2.2711910061988814	0.5	1498.1394652602019	20-05-24 17:01:53.693456
1833.7003466266742	0.01	1833.7003466266742	0.2189559414289307	-13.192865312265162	13.549585856759483	1.6538224071842593e-05	4.677716155992998e-05	2.268768715944823	0.5	1833.7003466266742	20-05-24 17:01:58.187105
2244.4218573701232	0.01	2244.4218573701232	0.4315792517047844	-7.298788846358889	-4.890784999918553	1.2171810834436154e-05	3.442707992139878e-05	1.200439231892443	0.5	2244.4218573701232	20-05-24 17:02:02.682637
2747.1388567427325	0.01	2747.1388567427325	3.178268569464145	10.043811861883324	90.25770273021486	1.6225977631266051e-06	4.589399525779783e-06	6.7949110874426895	0.5	2747.1388567427325	20-05-24 17:02:07.083804
3362.456961218785	0.01	3362.456961218785	0.20212711542613482	-13.88750843627217	-50.24164350303759	2.361976112359835e-05	6.680677304201112e-05	1.1507949157169386	0.5	3362.456961218785	20-05-24 17:02:11.594407
4115.597137836079	0.01	4115.597137836079	0.056247887451497405	-24.997875681358227	-154.3853539894857	1.0362380251654801e-05	2.9309237380714694e-05	0.8462212148932274	0.5	4115.597137836079	20-05-24 17:02:15.890509
5037.429473840753	0.01	5037.429473840753	0.20499653324993197	-13.76506966699763	-31.619655966229974	1.573916721640755e-05	4.4517087475803105e-05	0.9038130252590509	0.5	5037.429473840753	20-05-24 17:02:21.125826
6165.738495304161	0.01	6165.738495304161	0.10351174372770333	-19.700207507173385	165.19832974455676	1.0335364771632772e-05	2.9232826064232352e-05	1.6610487691176725	0.5	6165.738495304161	20-05-24 17:02:25.632285
7546.7718982257675	0.01	7546.7718982257675	0.4011614247720838	-7.933616698180521	70.44955108010136	1.2736217111030209e-05	3.6023461943494406e-05	1.0803106507837636	0.5	7546.7718982257675	20-05-24 17:02:34.485396
9237.136172289216	0.01	9237.136172289216	0.12548775943276588	-18.02797269801248	134.68407912936007	8.270253523214941e-06	2.339180939358889e-05	2.5488119327176633	0.5	9237.136172289216	20-05-24 17:02:38.793757
11306.116816048669	0.01	11306.116816048669	1.1345503448251661	1.096475442843862	-130.69037027859406	5.1533494599490515e-06	1.457587339581603e-05	4.559983895511227	0.5	11306.116816048669	20-05-24 17:02:43.589243
13838.518245689036	0.01	13838.518245689036	0.4890754413440499	-6.212482889824342	99.99428717180879	1.0758415166941693e-05	3.0429393277458694e-05	2.5211479858791916	0.5	13838.518245689036	20-05-24 17:02:48.072966
16938.139800964524	0.01	16938.139800964524	1.2812201242735024	2.152475031185902	-131.3044726618165	5.753133075956136e-06	1.6272317644308818e-05	3.9987384746141377	0.5	16938.139800964524	20-05-24 17:02:52.549698
20732.030324590116	0.01	20732.030324590116	0.3521825058603047	-9.064644415247189	-20.805364785458455	2.632299032969077e-05	7.445265985292904e-05	1.1438895643196825	0.5	20732.030324590116	20-05-24 17:02:56.889511
25375.69570391953	0.01	25375.69570391953	0.5111177712901591	-5.8295803719312245	51.35634914042699	1.1870165930070014e-05	3.357389929184812e-05	2.197366207224119	0.5	25375.69570391953	20-05-24 17:03:00.308126
31059.472824239718	0.01	31059.472824239718	0.18579289964811044	-14.619417744691187	-90.89398328942018	2.1914768959728795e-05	6.198432695824278e-05	1.1016556837234746	0.5	31059.472824239718	20-05-24 17:03:04.032888
38016.33119247562	0.01	38016.33119247562	0.07519590493389931	-22.476116196953342	7.674001607329003	4.3298732287381305e-05	0.00012246730886875294	0.48264982433691317	0.5	38016.33119247562	20-05-24 17:03:07.653711
46531.42200817025	0.01	46531.42200817025	0.10617123960099473	-19.479862240267398	-69.64169584222213	2.0097385211187046e-05	5.6843989467794386e-05	1.6820406359058622	0.5	46531.42200817025	20-05-24 17:03:11.291383
56953.76608385015	0.01	56953.76608385015	0.026883920236124657	-31.410148036190158	-50.59857317082535	7.125848446809642e-05	0.00020154943033786902	2.8282414081371647	0.5	56953.76608385015	20-05-24 17:03:14.351360
69710.55968511697	0.01	69710.55968511697	0.13433134908803906	-17.43645247228767	83.0900120814954	5.094303873848165e-05	0.00014408867258491745	1.0329968002596548	0.5	69710.55968511697	20-05-24 17:03:17.312772
85324.68466541386	0.01	85324.68466541386	0.1088291341701263	-19.26509652004437	104.7906924951721	3.015903683052788e-05	8.530263782768443e-05	1.479941640521509	0.5	85324.68466541386	20-05-24 17:03:20.270255
104436.14060965055	0.01	104436.14060965055	0.03846838962692698	-28.297919877075515	166.03894188191134	8.317044882294535e-05	0.00023524155342813347	0.7744037751198367	0.5	104436.14060965055	20-05-24 17:03:23.126674
127828.27745813846	0.01	127828.27745813846	0.08295966830173912	-21.622659861168245	4.855203959995615	7.449198989363537e-05	0.00021069516479147737	0.6791947643876775	0.5	127828.27745813846	20-05-24 17:03:36.898270
