# 
ch2a	ch2a avglen	Delay	a	
-1105652.0	10.0	0.1	5.0	12-12-23 19:21:50.392924
-1105652.0	19.166666666666664	0.1	5.0	12-12-23 19:21:50.528276
-1105652.0	28.333333333333332	0.1	5.0	12-12-23 19:21:50.664878
-140515.4	37.5	0.1	5.0	12-12-23 19:21:50.800080
-140515.4	46.666666666666664	0.1	5.0	12-12-23 19:21:50.933911
-140515.4	55.833333333333336	0.1	5.0	12-12-23 19:21:51.069987
-140515.4	65.0	0.1	5.0	12-12-23 19:21:51.206222
-140515.4	74.16666666666667	0.1	5.0	12-12-23 19:21:51.340878
1330472.0	83.33333333333333	0.1	5.0	12-12-23 19:21:51.475416
1330472.0	92.5	0.1	5.0	12-12-23 19:21:51.612782
1330472.0	101.66666666666667	0.1	5.0	12-12-23 19:21:51.746822
1330472.0	110.83333333333333	0.1	5.0	12-12-23 19:21:51.884814
772688.5	120.0	0.1	5.0	12-12-23 19:21:52.020964
