# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp_pt100	time	Delay	a	
0.085	0.0	250	250	-7448783.0	-7462217.0	-7469037.0	-7466739.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8891617	9.9e+37	20.7932809	1713921068.38549	6	131.0	24-04-24 03:11:08.385553
0.6	0.002	250	250	-7154484.0	-7167083.0	-7173512.0	-7171012.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3775993	9.9e+37	20.687873	1713921076.1788304	6	131.0	24-04-24 03:11:16.178893
1.2	0.005	250	250	-6779256.0	-6791075.0	-6797187.0	-6794883.0	-8124713.0	-8115801.0	-8114805.0	-8110732.0	-10.7807513	-1.16081731	20.6493513	1713921084.2041886	6	131.0	24-04-24 03:11:24.204241
1.8	0.008	250	250	-6403207.0	-6414282.0	-6420010.0	-6417951.0	-7673856.0	-7665379.0	-7664484.0	-7660601.0	-10.1827961	-1.09641341	20.6271198	1713921092.2432458	6	131.0	24-04-24 03:11:32.243300
2.401	0.011	250	250	-6026053.0	-6036398.0	-6041845.0	-6039949.0	-7221836.0	-7213798.0	-7212954.0	-7209247.0	-9.58306401	-1.03181787	20.6095837	1713921100.319938	6	131.0	24-04-24 03:11:40.319995
3.001	0.015	250	250	-5649436.0	-5659020.0	-5664159.0	-5662434.0	-6770206.0	-6762596.0	-6761857.0	-6758342.0	-8.98425772	-0.967292289	20.6581672	1713921108.1546109	6	131.0	24-04-24 03:11:48.154663
3.6	0.018	250	250	-5272894.0	-5281765.0	-5286538.0	-5285025.0	-6318951.0	-6311782.0	-6311102.0	-6307787.0	-8.38564793	-0.902818162	20.6755116	1713921115.9597769	6	131.0	24-04-24 03:11:55.959832
4.2	0.021	250	250	-4895999.0	-4904108.0	-4908584.0	-4907246.0	-5867163.0	-5860454.0	-5859848.0	-5856703.0	-7.7863698	-0.838295323	20.6989888	1713921123.9722493	6	131.0	24-04-24 03:12:03.972302
4.8	0.024	250	250	-4519458.0	-4526835.0	-4530969.0	-4529831.0	-5416143.0	-5409821.0	-5409315.0	-5406375.0	-7.1877018	-0.773858835	20.742206	1713921131.828051	6	131.0	24-04-24 03:12:11.828104
5.4	0.027	250	250	-4142425.0	-4149079.0	-4152868.0	-4151932.0	-4964421.0	-4958522.0	-4958093.0	-4955359.0	-6.58818762	-0.709315725	20.780632	1713921139.9011157	6	131.0	24-04-24 03:12:19.901171
6.0	0.03	250	250	-3765796.0	-3771689.0	-3775173.0	-3774426.0	-4513232.0	-4507760.0	-4507419.0	-4504888.0	-5.98937511	-0.644865437	20.827778	1713921147.9267359	6	131.0	24-04-24 03:12:27.926791
6.6	0.033	250	250	-3388777.0	-3393933.0	-3397075.0	-3396524.0	-4061521.0	-4056497.0	-4056194.0	-4053870.0	-5.38990135	-0.580326582	20.8109128	1713921155.9671173	6	131.0	24-04-24 03:12:35.967171
7.2	0.036	250	250	-3012192.0	-3016597.0	-3019433.0	-3019057.0	-3610207.0	-3605607.0	-3605387.0	-3603248.0	-4.79118454	-0.515852085	20.8151291	1713921163.995188	6	131.0	24-04-24 03:12:43.995237
7.8	0.039	250	250	-2634758.0	-2638435.0	-2640937.0	-2640745.0	-3157958.0	-3153799.0	-3153641.0	-3151695.0	-4.19107559	-0.451234077	20.8226034	1713921172.0371447	6	131.0	24-04-24 03:12:52.037201
8.4	0.042	250	250	-2258265.0	-2261195.0	-2263371.0	-2263372.0	-2706870.0	-2703133.0	-2703052.0	-2701320.0	-3.59251818	-0.386798293	20.7695162	1713921180.065756	6	131.0	24-04-24 03:13:00.065811
8.999	0.045	250	250	-1881813.0	-1884009.0	-1885863.0	-1886037.0	-2255878.0	-2252592.0	-2252580.0	-2251023.0	-2.99401242	-0.322371119	20.7390438	1713921188.1091053	6	131.0	24-04-24 03:13:08.109162
9.599	0.048	250	250	-1504944.0	-1506387.0	-1507926.0	-1508295.0	-1804283.0	-1801417.0	-1801474.0	-1800119.0	-2.39478089	-0.257853977	20.7496804	1713921196.1352966	6	131.0	24-04-24 03:13:16.135352
10.199	0.051	250	250	-1127883.0	-1128575.0	-1129797.0	-1130351.0	-1352451.0	-1350014.0	-1350163.0	-1348997.0	-1.79524886	-0.193306876	20.6758949	1713921204.178173	6	131.0	24-04-24 03:13:24.178227
10.8	0.054	250	250	-750609.2	-750551.1	-751457.8	-752195.5	-900376.6	-898372.0	-898604.1	-897607.1	-1.19541956	-0.128716173	20.6624793	1713921212.204259	6	131.0	24-04-24 03:13:32.204321
11.4	0.058	250	250	-373934.6	-373137.8	-373710.5	-374648.4	-449017.5	-447444.9	-447751.9	-446957.3	-0.596502734	-0.0642327996	20.643985	1713921220.0394537	6	131.0	24-04-24 03:13:40.039510
12.0	0.061	250	250	2891.832	4429.316	4178.568	3057.324	2546.208	3682.132	3287.488	3919.224	0.00265362103	0.000278180714	20.6218494	1713921227.8427157	6	131.0	24-04-24 03:13:47.842775
12.599	0.064	250	250	379612.7	381894.3	381964.4	380670.4	454004.3	454701.6	454246.5	454668.9	0.601620041	0.0647706193	20.6633417	1713921235.6483223	6	131.0	24-04-24 03:13:55.648381
13.2	0.067	250	250	756555.0	759572.4	759961.4	758489.6	905746.2	906005.4	905476.0	905712.0	1.20094155	0.129318217	20.6875856	1713921243.700836	6	131.0	24-04-24 03:14:03.700895
13.799	0.07	250	250	1133155.0	1136912.0	1137621.0	1135964.0	1357033.0	1356882.0	1356284.0	1356286.0	1.79968335	0.193775885	20.7423976	1713921251.5361717	6	131.0	24-04-24 03:14:11.536220
14.399	0.073	250	250	1510031.0	1514532.0	1515568.0	1513723.0	1808666.0	1808085.0	1807397.0	1807225.0	2.39886744	0.258287358	20.7513094	1713921259.3403294	6	131.0	24-04-24 03:14:19.340379
14.999	0.076	250	250	1886661.0	1891903.0	1893266.0	1891227.0	2260042.0	2259006.0	2258242.0	2257901.0	2.99764289	0.322769132	20.7670248	1713921267.1472023	6	131.0	24-04-24 03:14:27.147292
15.599	0.079	250	250	2263978.0	2269977.0	2271641.0	2269419.0	2712243.0	2710808.0	2709959.0	2709416.0	3.59753357	0.38737509	20.7199745	1713921274.9504738	6	131.0	24-04-24 03:14:34.950527
16.2	0.082	250	250	2640920.0	2647652.0	2649638.0	2647241.0	3164060.0	3162199.0	3161252.0	3160531.0	4.19681357	0.451927299	20.7174831	1713921283.0471127	6	131.0	24-04-24 03:14:43.047167
16.8	0.085	250	250	3017502.0	3024978.0	3027288.0	3024700.0	3615392.0	3613089.0	3612080.0	3611134.0	4.79555308	0.516401007	20.6469556	1713921291.127645	6	131.0	24-04-24 03:14:51.127703
17.4	0.088	250	250	3394399.0	3402626.0	3405249.0	3402476.0	4067185.0	4064423.0	4063363.0	4062213.0	5.39468475	0.580933281	20.6318152	1713921298.984035	6	131.0	24-04-24 03:14:58.984093
18.0	0.091	250	250	3771190.0	3780163.0	3783136.0	3780155.0	4518720.0	4515560.0	4514402.0	4513081.0	5.99374584	0.645423745	20.6418769	1713921306.7883825	6	131.0	24-04-24 03:15:06.788437
18.6	0.095	250	250	4147921.0	4157623.0	4160935.0	4157779.0	4970181.0	4966580.0	4965337.0	4963825.0	6.59278657	0.709932206	20.6905561	1713921314.8084867	6	131.0	24-04-24 03:15:14.808542
19.199	0.098	250	250	4524168.0	4534612.0	4538224.0	4534906.0	5421187.0	5417154.0	5415833.0	5414115.0	7.19100052	0.774365907	20.6910353	1713921322.642029	6	131.0	24-04-24 03:15:22.642084
19.8	0.101	250	250	4901323.0	4912506.0	4916432.0	4912929.0	5873099.0	5868645.0	5867268.0	5865352.0	7.79058308	0.838917131	20.7353066	1713921330.6632514	6	131.0	24-04-24 03:15:30.663305
20.4	0.104	250	250	5277984.0	5289958.0	5294202.0	5290479.0	6324572.0	6319689.0	6318228.0	6316116.0	8.38944718	0.903403126	20.7764156	1713921338.4825118	6	131.0	24-04-24 03:15:38.482567
21.0	0.107	250	250	5654480.0	5667189.0	5671802.0	5667861.0	6775729.0	6770432.0	6768898.0	6766620.0	8.98804643	0.967861269	20.8285446	1713921346.2883103	6	131.0	24-04-24 03:15:46.288366
21.6	0.11	250	250	6030789.0	6044247.0	6049119.0	6045055.0	7226598.0	7220875.0	7219244.0	7216796.0	9.58635781	1.03226451	20.8778947	1713921354.2975464	6	131.0	24-04-24 03:15:54.297603
22.199	0.113	250	250	6406649.0	6420833.0	6426090.0	6421815.0	7677031.0	7670865.0	7669197.0	7666512.0	10.1839359	1.09660916	20.8910227	1713921362.3240702	6	131.0	24-04-24 03:16:02.324123
22.799	0.117	250	250	6782841.0	6797803.0	6803338.0	6798880.0	8127950.0	8121386.0	8119632.0	8116736.0	10.7820043	1.16101883	20.8742533	1713921370.3520522	6	131.0	24-04-24 03:16:10.352108
23.399	0.12	250	250	6853572.0	7485230.0	6874764.0	7486839.0	8388607.0	8388607.0	8388607.0	8388607.0	11.379011	9.9e+37	20.8372647	1713921378.2056239	6	131.0	24-04-24 03:16:18.205687
23.999	0.123	250	250	6845145.0	7485441.0	6866394.0	7487062.0	8388607.0	8388607.0	8388607.0	8388607.0	11.9639619	9.9e+37	20.7958682	1713921386.222359	6	131.0	24-04-24 03:16:26.222418
