# 
ch2a	ch2a avglen	Delay	a	
-819241.1	10.0	0.1	36.0	12-12-23 19:22:45.241129
-819241.1	19.166666666666664	0.1	36.0	12-12-23 19:22:45.376999
-819241.1	28.333333333333332	0.1	36.0	12-12-23 19:22:45.513696
-819241.1	37.5	0.1	36.0	12-12-23 19:22:45.647551
-630851.1	46.666666666666664	0.1	36.0	12-12-23 19:22:45.785204
-515996.4	55.833333333333336	0.1	36.0	12-12-23 19:22:45.919767
-515996.4	65.0	0.1	36.0	12-12-23 19:22:46.056710
-515996.4	74.16666666666667	0.1	36.0	12-12-23 19:22:46.193816
-515996.4	83.33333333333333	0.1	36.0	12-12-23 19:22:46.331215
1506519.0	92.5	0.1	36.0	12-12-23 19:22:46.467930
1506519.0	101.66666666666667	0.1	36.0	12-12-23 19:22:46.605056
1506519.0	110.83333333333333	0.1	36.0	12-12-23 19:22:46.739023
1506519.0	120.0	0.1	36.0	12-12-23 19:22:46.875892
