# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC1	temp_pt100	time	Delay	a	
0.078	0.0	250	250	-7451158.0	-7464456.0	-7471253.0	-7468924.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	21.3218534	1714050618.2880151	6	17.0	25-04-24 15:10:18.288078
0.6	0.002	250	250	-7153971.0	-7166531.0	-7172948.0	-7170518.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	21.3735033	1714050625.0599203	6	17.0	25-04-24 15:10:25.059982
1.2	0.005	250	250	-6778919.0	-6790715.0	-6796863.0	-6794564.0	-8125000.0	-8116077.0	-8115121.0	-8111060.0	-1.16089541	21.4199785	1714050631.8733778	6	17.0	25-04-24 15:10:31.873433
1.8	0.008	250	250	-6402996.0	-6414098.0	-6419871.0	-6417764.0	-7674482.0	-7666001.0	-7665137.0	-7661280.0	-1.09652187	21.4254406	1714050638.658419	6	17.0	25-04-24 15:10:38.658473
2.4	0.012	250	250	-6025879.0	-6036249.0	-6041686.0	-6039781.0	-7222480.0	-7214445.0	-7213639.0	-7210005.0	-1.03194903	21.4700952	1714050645.4387908	6	17.0	25-04-24 15:10:45.438846
3.0	0.015	250	250	-5649261.0	-5658874.0	-5663990.0	-5662283.0	-6771063.0	-6763439.0	-6762712.0	-6759235.0	-0.967455305	21.4722992	1714050652.2194214	6	17.0	25-04-24 15:10:52.219474
3.6	0.018	250	250	-5272776.0	-5281652.0	-5286444.0	-5284916.0	-6319853.0	-6312650.0	-6311982.0	-6308714.0	-0.902996638	21.4758447	1714050659.0023143	6	17.0	25-04-24 15:10:59.002367
4.2	0.021	250	250	-4895914.0	-4904045.0	-4908487.0	-4907162.0	-5868199.0	-5861446.0	-5860839.0	-5857766.0	-0.83846134	21.5324775	1714050665.8042715	6	17.0	25-04-24 15:11:05.804323
4.8	0.024	250	250	-4519373.0	-4526738.0	-4530874.0	-4529740.0	-5416932.0	-5410609.0	-5410109.0	-5407207.0	-0.773993934	21.5967763	1714050672.5865388	6	17.0	25-04-24 15:11:12.586592
5.4	0.027	250	250	-4142280.0	-4148925.0	-4152739.0	-4151786.0	-4964866.0	-4958988.0	-4958517.0	-4955820.0	-0.709408076	21.5610334	1714050679.3680096	6	17.0	25-04-24 15:11:19.368061
5.999	0.03	250	250	-3765709.0	-3771595.0	-3775096.0	-3774339.0	-4513546.0	-4508091.0	-4507700.0	-4505201.0	-0.644930177	21.6250447	1714050686.1548307	6	17.0	25-04-24 15:11:26.154885
6.6	0.033	250	250	-3388669.0	-3393805.0	-3396978.0	-3396413.0	-4061822.0	-4056788.0	-4056488.0	-4054158.0	-0.580392239	21.695668	1714050692.9350314	6	17.0	25-04-24 15:11:32.935083
7.199	0.036	250	250	-3012130.0	-3016542.0	-3019391.0	-3019001.0	-3610537.0	-3605944.0	-3605749.0	-3603601.0	-0.515924395	21.7041006	1714050699.7181635	6	17.0	25-04-24 15:11:39.718217
7.8	0.039	250	250	-2634706.0	-2638361.0	-2640883.0	-2640683.0	-3158199.0	-3154038.0	-3153907.0	-3151952.0	-0.451299572	21.7244156	1714050706.5008469	6	17.0	25-04-24 15:11:46.500901
8.399	0.042	250	250	-2258217.0	-2261124.0	-2263336.0	-2263318.0	-2707059.0	-2703326.0	-2703248.0	-2701517.0	-0.38684795	21.6947098	1714050713.282971	6	17.0	25-04-24 15:11:53.283022
8.999	0.045	250	250	-1881756.0	-1883932.0	-1885807.0	-1885976.0	-2255987.0	-2252692.0	-2252698.0	-2251149.0	-0.322406583	21.7431015	1714050720.0681145	6	17.0	25-04-24 15:12:00.068170
9.599	0.048	250	250	-1504889.0	-1506327.0	-1507876.0	-1508231.0	-1804377.0	-1801501.0	-1801588.0	-1800232.0	-0.257887744	21.7984886	1714050726.850034	6	17.0	25-04-24 15:12:06.850081
10.199	0.051	250	250	-1127834.0	-1128524.0	-1129750.0	-1130296.0	-1352468.0	-1350041.0	-1350192.0	-1349046.0	-0.193330679	21.849851	1714050733.6318552	6	17.0	25-04-24 15:12:13.631907
10.8	0.055	250	250	-750638.4	-750582.0	-751482.6	-752227.7	-900459.3	-898443.9	-898681.7	-897710.7	-0.128750604	21.9490302	1714050740.4106905	6	17.0	25-04-24 15:12:20.410743
11.399	0.058	250	250	-373993.6	-373195.5	-373775.7	-374707.9	-449084.6	-447519.6	-447832.1	-447027.9	-0.0642685025	22.0109333	1714050747.1891348	6	17.0	25-04-24 15:12:27.189193
11.999	0.061	250	250	2926.576	4467.636	4212.028	3095.34	2623.94	3760.252	3361.956	3982.128	0.000264529248	22.0207075	1714050753.9722378	6	17.0	25-04-24 15:12:33.972294
12.599	0.064	250	250	379589.9	381875.3	381937.7	380652.2	454020.5	454726.2	454260.5	454680.6	0.0647612419	22.0522341	1714050760.7521832	6	17.0	25-04-24 15:12:40.752239
13.199	0.067	250	250	756594.2	759618.8	760008.2	758531.9	905826.3	906091.1	905550.5	905798.0	0.129303837	22.1621457	1714050767.5360522	6	17.0	25-04-24 15:12:47.536111
13.799	0.07	250	250	1133063.0	1136824.0	1137535.0	1135871.0	1357040.0	1356866.0	1356256.0	1356286.0	0.193755734	22.2300859	1714050774.3180103	6	17.0	25-04-24 15:12:54.318066
14.399	0.073	250	250	1509933.0	1514432.0	1515478.0	1513622.0	1808630.0	1808026.0	1807332.0	1807196.0	0.258264117	22.2257737	1714050781.1018033	6	17.0	25-04-24 15:13:01.101857
14.998	0.076	250	250	1886463.0	1891709.0	1893087.0	1891036.0	2259803.0	2258758.0	2257978.0	2257646.0	0.322725567	22.3072253	1714050787.8849673	6	17.0	25-04-24 15:13:07.885020
15.599	0.079	250	250	2263845.0	2269836.0	2271530.0	2269294.0	2712088.0	2710618.0	2709764.0	2709248.0	0.387338144	22.3533172	1714050794.666164	6	17.0	25-04-24 15:13:14.666217
16.2	0.082	250	250	2640824.0	2647569.0	2649577.0	2647156.0	3163953.0	3162055.0	3161133.0	3160419.0	0.451896072	22.3943305	1714050801.4505541	6	17.0	25-04-24 15:13:21.450609
16.799	0.085	250	250	3017440.0	3024914.0	3027251.0	3024653.0	3615409.0	3613084.0	3612064.0	3611176.0	0.516385013	22.474153	1714050808.2348864	6	17.0	25-04-24 15:13:28.234943
17.399	0.089	250	250	3394292.0	3402523.0	3405195.0	3402397.0	4067133.0	4064379.0	4063274.0	4062189.0	0.580914032	22.5100875	1714050815.0187285	6	17.0	25-04-24 15:13:35.018783
17.999	0.092	250	250	3771111.0	3780107.0	3783089.0	3780089.0	4518811.0	4515606.0	4514452.0	4513209.0	0.645437303	22.5624081	1714050821.803864	6	17.0	25-04-24 15:13:41.803917
18.599	0.095	250	250	4147915.0	4157630.0	4160961.0	4157760.0	4970452.0	4966846.0	4965603.0	4964158.0	0.709955551	22.6368644	1714050828.5871222	6	17.0	25-04-24 15:13:48.587175
19.198	0.098	250	250	4524180.0	4534660.0	4538288.0	4534903.0	5421491.0	5417420.0	5416129.0	5414476.0	0.774390734	22.6623539	1714050835.3708842	6	17.0	25-04-24 15:13:55.370937
19.799	0.101	250	250	4901261.0	4912463.0	4916461.0	4912874.0	5873407.0	5868934.0	5867549.0	5865726.0	0.838952278	22.7211907	1714050842.1534312	6	17.0	25-04-24 15:14:02.153485
20.399	0.104	250	250	5277940.0	5289877.0	5294194.0	5290423.0	6324540.0	6319618.0	6318156.0	6316162.0	0.903406671	22.7185076	1714050848.9321897	6	17.0	25-04-24 15:14:08.932243
20.999	0.107	250	250	5654304.0	5667018.0	5671654.0	5667693.0	6775805.0	6770432.0	6768907.0	6766668.0	0.967862785	22.706721	1714050855.715041	6	17.0	25-04-24 15:14:15.715094
21.599	0.11	250	250	6030638.0	6044055.0	6049041.0	6044874.0	7226757.0	7220976.0	7219371.0	7216936.0	1.03228386	22.6536338	1714050862.4977677	6	17.0	25-04-24 15:14:22.497815
22.198	0.113	250	250	6406410.0	6420569.0	6425870.0	6421539.0	7676969.0	7670756.0	7669096.0	7666454.0	1.09660053	22.737481	1714050869.2810454	6	17.0	25-04-24 15:14:29.281100
22.799	0.117	250	250	6782516.0	6797489.0	6803069.0	6798550.0	8127927.0	8121314.0	8119532.0	8116749.0	1.16102796	22.7501299	1714050876.0623283	6	17.0	25-04-24 15:14:36.062386
23.399	0.12	250	250	6856643.0	7485348.0	6877846.0	7486907.0	8388607.0	8388607.0	8388607.0	8388607.0	9.9e+37	22.6787401	1714050882.8323746	6	17.0	25-04-24 15:14:42.832435
23.999	0.123	250	250	6848247.0	7485497.0	6869589.0	7487101.0	8388607.0	8388607.0	8388607.0	8388607.0	9.9e+37	22.6623539	1714050889.6025145	6	17.0	25-04-24 15:14:49.602574
