# 
Scope_Frequency	A2r	f2	scope_rms	scope_dBm	scope_pkpk	scope_thd	Delay	a	b	
1000.0	12343.0	1000.0	0.15751540773812042	-3.0432392086749136	0.4455208518119557	0.0011796315640458031	0.5	1000.0	0	07-06-24 09:12:44.571585
1047.1285480508996	12343.0	1047.1285480508996	0.15629278534011046	-3.110921424664977	0.44206275345810214	0.0010482494089514925	0.5	1047.1285480508996	0	07-06-24 09:13:01.271024
1096.4781961431852	12343.0	1096.4781961431852	0.16589350357891444	-2.5931124572999	0.4692176853417808	0.001394316514492647	0.5	1096.4781961431852	0	07-06-24 09:13:17.700774
1148.1536214968828	12343.0	1148.1536214968828	0.1712246284509264	-2.3183753936569467	0.48429638353518845	0.0011767626251065258	0.5	1148.1536214968828	0	07-06-24 09:13:33.947686
1202.264434617413	12343.0	1202.264434617413	0.17782186507164444	-1.989996823372754	0.5029561865415962	0.0009796343717764044	0.5	1202.264434617413	0	07-06-24 09:13:50.435258
1258.9254117941673	12343.0	1258.9254117941673	0.17478714069229942	-2.139510485608528	0.49437268979092824	0.000603302389141014	0.5	1258.9254117941673	0	07-06-24 09:14:06.629163
1318.256738556407	12343.0	1318.256738556407	0.1872542619981842	-1.5410658186026067	0.529635033859994	0.0007892356899737	0.5	1318.256738556407	0	07-06-24 09:14:22.492329
1380.3842646028847	12343.0	1380.3842646028847	0.18887267846397107	-1.4663172587198865	0.5342126068909614	0.0011232494062568528	0.5	1380.3842646028847	0	07-06-24 09:14:38.058912
1445.4397707459275	12343.0	1445.4397707459275	0.19542084108307878	-1.1702824806058123	0.5527336076600947	0.0008301467895296198	0.5	1445.4397707459275	0	07-06-24 09:14:53.517928
1513.5612484362082	12343.0	1513.5612484362082	0.20161778931938923	-0.8991230729695447	0.5702612241423233	0.0005919621690707851	0.5	1513.5612484362082	0	07-06-24 09:15:09.436514
1584.8931924611136	12343.0	1584.8931924611136	0.2034182424689865	-0.8219020894861941	0.5753536746674789	0.0007976201634712606	0.5	1584.8931924611136	0	07-06-24 09:15:25.396622
1659.5869074375607	12343.0	1659.5869074375607	0.2018930517685891	-0.8872725877648413	0.5710397839200642	0.0006668921341651984	0.5	1659.5869074375607	0	07-06-24 09:15:42.216981
1737.8008287493756	12343.0	1737.8008287493756	0.20743389056385295	-0.652105785091367	0.5867116426624345	0.000732518899561884	0.5	1737.8008287493756	0	07-06-24 09:15:58.644503
1819.7008586099835	12343.0	1819.7008586099835	0.2085206186095685	-0.6067199501497268	0.5897853737441588	0.0006021293377297061	0.5	1819.7008586099835	0	07-06-24 09:16:14.918103
1905.4607179632471	12343.0	1905.4607179632471	0.21376718537151454	-0.39087926312175014	0.6046249054854388	0.0006493920640103803	0.5	1905.4607179632471	0	07-06-24 09:16:31.362452
1995.2623149688795	12343.0	1995.2623149688795	0.22681460555941538	0.1237203005302738	0.6415285826528585	0.0008784672523432345	0.5	1995.2623149688795	0	07-06-24 09:16:48.280278
2089.29613085404	12343.0	2089.29613085404	0.2218040177448286	-0.0703118699823676	0.6273565001671586	0.0004537740845704123	0.5	2089.29613085404	0	07-06-24 09:17:06.279566
2187.7616239495524	12343.0	2187.7616239495524	0.23436789302694822	0.4082622711123419	0.6628925058070338	0.0009141253981402733	0.5	2187.7616239495524	0	07-06-24 09:17:24.769445
2290.8676527677726	12343.0	2290.8676527677726	0.2375427196909689	0.525134447030316	0.6718722716599175	0.0006610770116168759	0.5	2290.8676527677726	0	07-06-24 09:17:41.502984
2398.8329190194904	12343.0	2398.8329190194904	0.23460631604311294	0.41709395585725173	0.6635668679331179	0.0004363588093224943	0.5	2398.8329190194904	0	07-06-24 09:17:58.512974
2511.8864315095802	12343.0	2511.8864315095802	0.2446220658764265	0.7802125475332221	0.691895686436334	0.00046871322711302353	0.5	2511.8864315095802	0	07-06-24 09:18:15.221114
2630.2679918953822	12343.0	2630.2679918953822	0.24780816507639422	0.8926121951164114	0.700907335835655	0.0007807874356637987	0.5	2630.2679918953822	0	07-06-24 09:18:31.707084
2754.2287033381663	12343.0	2754.2287033381663	0.24918096480986363	0.9405972176835903	0.7047901998386442	0.0007761060778592224	0.5	2754.2287033381663	0	07-06-24 09:18:57.303367
2884.031503126606	12343.0	2884.031503126606	0.25310832496393637	1.0764285513450498	0.7158984518270709	0.0007197542103708791	0.5	2884.031503126606	0	07-06-24 09:19:13.658125
3019.9517204020162	12343.0	3019.9517204020162	0.25424650759017836	1.115399877248833	0.7191177184400486	0.0006584355397522029	0.5	3019.9517204020162	0	07-06-24 09:19:28.877434
3162.2776601683795	12343.0	3162.2776601683795	0.2579499048630161	1.2410073973004967	0.729592507740254	0.0008569591222633748	0.5	3162.2776601683795	0	07-06-24 09:19:44.366056
3311.3112148259106	12343.0	3311.3112148259106	0.2593427873275985	1.2877834402951769	0.7335321742846622	0.0009042777290294915	0.5	3311.3112148259106	0	07-06-24 09:20:00.257720
3467.368504525316	12343.0	3467.368504525316	0.2621148676787705	1.3801330705523405	0.741372801541893	0.0006766177268345891	0.5	3467.368504525316	0	07-06-24 09:20:15.865053
3630.7805477010133	12343.0	3630.7805477010133	0.2640159368098975	1.4429028167408984	0.7467498370383903	0.0006374359290830853	0.5	3630.7805477010133	0	07-06-24 09:20:31.639449
3801.893963205612	12343.0	3801.893963205612	0.2652731942266474	1.4841672941966586	0.750305898018714	0.0005903676793197845	0.5	3801.893963205612	0	07-06-24 09:20:47.346650
