# 
ch2a	ch2a avglen	Delay	a	
-1366454.0	10.0	0.1	1.0	12-12-23 19:21:43.343541
-1366454.0	19.166666666666664	0.1	1.0	12-12-23 19:21:43.480098
-1366454.0	28.333333333333332	0.1	1.0	12-12-23 19:21:43.612532
257279.8	37.5	0.1	1.0	12-12-23 19:21:43.745062
257279.8	46.666666666666664	0.1	1.0	12-12-23 19:21:43.879950
257279.8	55.833333333333336	0.1	1.0	12-12-23 19:21:44.015818
257279.8	65.0	0.1	1.0	12-12-23 19:21:44.150312
257279.8	74.16666666666667	0.1	1.0	12-12-23 19:21:44.286136
1067331.0	83.33333333333333	0.1	1.0	12-12-23 19:21:44.420945
1067331.0	92.5	0.1	1.0	12-12-23 19:21:44.557023
1067331.0	101.66666666666667	0.1	1.0	12-12-23 19:21:44.693261
1067331.0	110.83333333333333	0.1	1.0	12-12-23 19:21:44.829337
1067331.0	120.0	0.1	1.0	12-12-23 19:21:44.965546
