# 
Voltage 1	Current 1	Voltmeter 1	Delay	
2.0	0.0	-0.0001852633	0.1	04-12-23 12:13:25.631027
2.0	0.0	-0.0001969296	0.1	04-12-23 12:13:25.833960
2.0	0.0	-0.000188914	0.1	04-12-23 12:13:26.037184
2.0	0.0	-0.0001949456	0.1	04-12-23 12:13:26.243424
2.0	0.0	-0.0001962153	0.1	04-12-23 12:13:26.448355
2.0	0.0	-0.0001914536	0.1	04-12-23 12:13:26.654363
2.0	0.0	-0.0001956598	0.1	04-12-23 12:13:26.858423
2.0	0.0	-0.0001835173	0.1	04-12-23 12:13:27.064494
2.0	0.0	-0.0001714541	0.1	04-12-23 12:13:27.269360
2.0	0.0	-0.0001793904	0.1	04-12-23 12:13:27.472807
2.0	0.0	-0.0001853426	0.1	04-12-23 12:13:27.678410
2.0	0.0	-0.0001702637	0.1	04-12-23 12:13:27.984306
2.0	0.0	-0.0001562957	0.1	04-12-23 12:13:28.191323
2.0	0.0	-0.0001774857	0.1	04-12-23 12:13:28.395456
2.0	0.0	-0.0001793904	0.1	04-12-23 12:13:28.599976
2.0	0.0	-0.0001719303	0.1	04-12-23 12:13:28.804446
2.0	0.0	-0.0001924059	0.1	04-12-23 12:13:29.010006
2.0	0.0	-0.0001856601	0.1	04-12-23 12:13:29.215458
2.0	0.0	-0.000188041	0.1	04-12-23 12:13:29.419020
2.0	0.0	-0.0001856601	0.1	04-12-23 12:13:29.623693
2.0	0.0	-0.0001821681	0.1	04-12-23 12:13:29.828587
2.0	0.0	-0.0001902631	0.1	04-12-23 12:13:30.033929
2.0	0.0	-0.0001831998	0.1	04-12-23 12:13:30.238292
2.0	0.0	-0.0001812157	0.1	04-12-23 12:13:30.456291
2.0	0.0	-0.0001873267	0.1	04-12-23 12:13:30.750062
2.0	0.0	-0.0001873266	0.1	04-12-23 12:13:30.955844
2.0	0.0	-0.0001870092	0.1	04-12-23 12:13:31.159937
2.0	0.0	-0.0001860569	0.1	04-12-23 12:13:31.364359
2.0	0.0	-0.0001989137	0.1	04-12-23 12:13:31.569308
2.0	0.0	-0.0002054214	0.1	04-12-23 12:13:31.774531
2.0	0.0	-0.0001896282	0.1	04-12-23 12:13:31.978242
2.0	0.0	-0.0001976438	0.1	04-12-23 12:13:32.184256
2.0	0.0	-0.0001954217	0.1	04-12-23 12:13:32.388273
2.0	0.0	-0.0001887552	0.1	04-12-23 12:13:32.560763
2.0	0.0	-0.0002003422	0.1	04-12-23 12:13:32.700564
2.0	0.0	-0.0001848664	0.1	04-12-23 12:13:32.989740
2.0	0.0	-0.000181057	0.1	04-12-23 12:13:33.208542
2.0	0.0	-0.0001887552	0.1	04-12-23 12:13:33.503989
