# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	Delay	a	
0.098	0.0	250	250	-7442822.0	-7456304.0	-7463206.0	-7461136.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8784706	9.9e+37	24.523725	6	143.0	26-03-24 02:45:10.342419
0.601	0.002	250	250	-7153816.0	-7166347.0	-7172748.0	-7170346.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3764529	9.9e+37	24.5756296	6	143.0	26-03-24 02:45:18.416309
1.201	0.005	250	250	-6778759.0	-6790549.0	-6796598.0	-6794402.0	-8123606.0	-8114602.0	-8113684.0	-8109677.0	-10.7798437	-1.16061227	24.4656688	6	143.0	26-03-24 02:45:26.230456
1.8	0.008	250	250	-6402773.0	-6413829.0	-6419552.0	-6417552.0	-7672802.0	-7664227.0	-7663413.0	-7659562.0	-10.1820446	-1.09619426	24.4140633	6	143.0	26-03-24 02:45:34.084340
2.401	0.011	250	250	-6025605.0	-6035906.0	-6041287.0	-6039493.0	-7220662.0	-7212519.0	-7211731.0	-7208117.0	-9.58229909	-1.03160426	24.4438513	6	143.0	26-03-24 02:45:42.117729
3.001	0.014	250	250	-5649014.0	-5658578.0	-5663644.0	-5662045.0	-6769283.0	-6761618.0	-6760879.0	-6757458.0	-8.98352642	-0.967142172	24.3550856	6	143.0	26-03-24 02:45:50.214812
3.6	0.018	250	250	-5272530.0	-5281347.0	-5286086.0	-5284658.0	-6318278.0	-6311005.0	-6310378.0	-6307127.0	-8.38490971	-0.902678358	24.385496	6	143.0	26-03-24 02:45:58.066829
4.201	0.021	250	250	-4895643.0	-4903754.0	-4908168.0	-4906925.0	-5866630.0	-5859795.0	-5859247.0	-5856186.0	-7.78569588	-0.83817092	24.4039265	6	143.0	26-03-24 02:46:06.142402
4.8	0.024	250	250	-4519015.0	-4526393.0	-4530464.0	-4529406.0	-5415520.0	-5409131.0	-5408649.0	-5405760.0	-7.18691855	-0.773731307	24.4352584	6	143.0	26-03-24 02:46:13.975252
5.4	0.027	250	250	-4142027.0	-4148636.0	-4152415.0	-4151527.0	-4963980.0	-4958029.0	-4957625.0	-4954983.0	-6.5874686	-0.709228451	24.4785702	6	143.0	26-03-24 02:46:21.859135
6.0	0.03	250	250	-3765406.0	-3771277.0	-3774738.0	-3774036.0	-4512724.0	-4507189.0	-4506890.0	-4504383.0	-5.98866115	-0.644756231	24.4970007	6	143.0	26-03-24 02:46:29.890892
6.6	0.033	250	250	-3388336.0	-3393453.0	-3396581.0	-3396090.0	-4061017.0	-4055887.0	-4055660.0	-4053379.0	-5.38919283	-0.580236453	24.49055	6	143.0	26-03-24 02:46:37.936922
7.2	0.036	250	250	-3011801.0	-3016194.0	-3019007.0	-3018662.0	-3609975.0	-3605341.0	-3605128.0	-3603064.0	-4.79046758	-0.515786166	24.536004	6	143.0	26-03-24 02:46:45.795008
7.801	0.039	250	250	-2634378.0	-2638027.0	-2640510.0	-2640359.0	-3157624.0	-3153413.0	-3153280.0	-3151401.0	-4.1904333	-0.451170968	24.403005	6	143.0	26-03-24 02:46:53.826823
8.4	0.042	250	250	-2257890.0	-2260812.0	-2262970.0	-2263003.0	-2706484.0	-2702714.0	-2702655.0	-2700962.0	-3.59182639	-0.38671466	24.3725946	6	143.0	26-03-24 02:47:01.662961
9.0	0.045	250	250	-1881406.0	-1883579.0	-1885429.0	-1885634.0	-2255378.0	-2252051.0	-2252090.0	-2250551.0	-2.99327082	-0.322285814	24.2997941	6	143.0	26-03-24 02:47:09.532576
9.6	0.048	250	250	-1504529.0	-1505951.0	-1507466.0	-1507866.0	-1803913.0	-1801002.0	-1801105.0	-1799762.0	-2.39408974	-0.257784862	24.3000932	6	143.0	26-03-24 02:47:17.567569
10.2	0.051	250	250	-1127442.0	-1128112.0	-1129328.0	-1129908.0	-1352050.0	-1349567.0	-1349743.0	-1348599.0	-1.7945533	-0.193229726	24.1873678	6	143.0	26-03-24 02:47:25.442609
10.801	0.054	250	250	-750220.4	-750150.4	-751041.9	-751805.5	-899984.6	-897939.7	-898182.4	-897214.7	-1.19480833	-0.128662847	24.2011907	6	143.0	26-03-24 02:47:33.256259
11.4	0.057	250	250	-373499.5	-372681.8	-373263.7	-374204.7	-448538.4	-446940.0	-447255.3	-446470.1	-0.59582442	-0.0641608917	24.2122491	6	143.0	26-03-24 02:47:41.334552
12.0	0.061	250	250	3367.464	4920.964	4668.048	3549.64	3071.908	4235.964	3854.932	4465.332	0.00341944507	0.000354108203	24.2445025	6	143.0	26-03-24 02:47:49.414924
12.6	0.064	250	250	380082.0	382374.4	382441.5	381148.8	454493.8	455219.9	454754.2	455160.9	0.602356662	0.0648355736	24.2859712	6	143.0	26-03-24 02:47:57.276099
