# 
Keysight V	SDM3045X	Amplitude	Frequency	Offset	Delay	
-8.9583193	-8.96419572	0.0	1000000.0	-10.0	3.0	07-12-23 17:46:05.547838
8.96354438	8.96808625	0.0	1000000.0	10.0	3.0	07-12-23 17:46:11.796241
