# 
ch1_10V	ch2_1V	time	Delay	a	
1611.624	1714.624	1718876207.442416	6	0.5	20-06-24 11:36:47.442474
1609.192	1711.936	1718876213.477211	6	0.5	20-06-24 11:36:53.477259
1610.232	1709.0	1718876219.5126557	6	0.5	20-06-24 11:36:59.512690
1622.224	1721.864	1718876225.5486581	6	0.5	20-06-24 11:37:05.548690
1604.288	1714.376	1718876226.0841756	0.5	0.5	20-06-24 11:37:06.084213
1611.072	1707.344	1718876226.6205359	0.5	0.5	20-06-24 11:37:06.620575
1611.08	1713.456	1718876227.1565728	0.5	0.5	20-06-24 11:37:07.156600
1609.472	1711.376	1718876227.692872	0.5	0.5	20-06-24 11:37:07.692901
1609.168	1710.768	1718876228.2280114	0.5	0.5	20-06-24 11:37:08.228041
1610.696	1709.32	1718876228.7635767	0.5	0.5	20-06-24 11:37:08.763614
1608.84	1709.4	1718876229.2985704	0.5	0.5	20-06-24 11:37:09.298609
1608.472	1713.264	1718876229.8344214	0.5	0.5	20-06-24 11:37:09.834454
1610.168	1708.232	1718876230.369945	0.5	0.5	20-06-24 11:37:10.369973
1612.184	1707.76	1718876230.9058688	0.5	0.5	20-06-24 11:37:10.905907
1611.48	1708.88	1718876231.44227	0.5	0.5	20-06-24 11:37:11.442311
1610.288	1708.304	1718876231.9790375	0.5	0.5	20-06-24 11:37:11.979077
1609.176	1707.544	1718876232.514993	0.5	0.5	20-06-24 11:37:12.515040
1623.792	1722.8	1718876233.0514321	0.5	0.5	20-06-24 11:37:13.051466
1609.432	1703.136	1718876233.587283	0.5	0.5	20-06-24 11:37:13.587324
1608.448	1706.088	1718876234.1231024	0.5	0.5	20-06-24 11:37:14.123140
1606.664	1707.376	1718876234.6583893	0.5	0.5	20-06-24 11:37:14.658424
1612.496	1704.92	1718876235.19408	0.5	0.5	20-06-24 11:37:15.194106
1609.712	1709.432	1718876235.729898	0.5	0.5	20-06-24 11:37:15.729942
1608.144	1706.864	1718876236.2650692	0.5	0.5	20-06-24 11:37:16.265097
1611.312	1706.68	1718876236.8004973	0.5	0.5	20-06-24 11:37:16.800542
1611.592	1703.904	1718876237.3361363	0.5	0.5	20-06-24 11:37:17.336167
1610.704	1720.616	1718876237.8713188	0.5	0.5	20-06-24 11:37:17.871358
1612.72	1707.344	1718876238.4070249	0.5	0.5	20-06-24 11:37:18.407066
1610.36	1707.84	1718876238.9428053	0.5	0.5	20-06-24 11:37:18.942846
1614.744	1706.248	1718876239.4794245	0.5	0.5	20-06-24 11:37:19.479465
1615.752	1704.28	1718876240.0149367	0.5	0.5	20-06-24 11:37:20.014964
1610.88	1707.24	1718876240.5509489	0.5	0.5	20-06-24 11:37:20.550988
1607.792	1706.208	1718876241.0865293	0.5	0.5	20-06-24 11:37:21.086568
1613.144	1711.064	1718876241.62268	0.5	0.5	20-06-24 11:37:21.622720
1624.232	1723.016	1718876242.1583607	0.5	0.5	20-06-24 11:37:22.158399
1612.784	1708.872	1718876242.6934748	0.5	0.5	20-06-24 11:37:22.693503
1610.456	1710.376	1718876243.2284603	0.5	0.5	20-06-24 11:37:23.228489
1625.792	1720.984	1718876243.7635918	0.5	0.5	20-06-24 11:37:23.763624
1610.648	1708.12	1718876244.300198	0.5	0.5	20-06-24 11:37:24.300229
1611.152	1706.856	1718876244.835706	0.5	0.5	20-06-24 11:37:24.835733
1611.176	1708.312	1718876245.371909	0.5	0.5	20-06-24 11:37:25.371939
1613.808	1707.576	1718876245.907395	0.5	0.5	20-06-24 11:37:25.907435
1627.688	1720.512	1718876246.4430707	0.5	0.5	20-06-24 11:37:26.443103
