# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	time	Delay	a	
0.093	0.0	250	250	-7441306.0	-7454817.0	-7461737.0	-7459921.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8781867	9.9e+37	17.5362668	1711459365.1164467	6	30.999999999999996	26-03-24 14:22:45.116510
0.6	0.002	250	250	-7154081.0	-7166585.0	-7172778.0	-7170627.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3769124	9.9e+37	17.5483662	1711459372.9415355	6	30.999999999999996	26-03-24 14:22:52.941604
1.2	0.005	250	250	-6779003.0	-6790743.0	-6796610.0	-6794632.0	-8126273.0	-8117602.0	-8116543.0	-8112281.0	-10.7802074	-1.1610353	17.5511583	1711459380.9745681	6	30.999999999999996	26-03-24 14:23:00.974625
1.8	0.008	250	250	-6403061.0	-6414072.0	-6419649.0	-6417829.0	-7675369.0	-7667178.0	-7666160.0	-7662101.0	-10.1824069	-1.09660475	17.5502276	1711459388.8025522	6	30.999999999999996	26-03-24 14:23:08.802636
2.401	0.011	250	250	-6025917.0	-6036223.0	-6041441.0	-6039797.0	-7223203.0	-7215442.0	-7214507.0	-7210675.0	-9.58281322	-1.03201532	17.5362668	1711459396.8329039	6	30.999999999999996	26-03-24 14:23:16.832957
3.001	0.015	250	250	-5649253.0	-5658819.0	-5663724.0	-5662246.0	-6771766.0	-6764417.0	-6763568.0	-6759900.0	-8.98389305	-0.967509608	17.5232368	1711459404.6655293	6	30.999999999999996	26-03-24 14:23:24.665584
3.6	0.018	250	250	-5272762.0	-5281567.0	-5286159.0	-5284870.0	-6320457.0	-6313501.0	-6312757.0	-6309330.0	-8.38525013	-0.903025662	17.4298627	1711459412.6818006	6	30.999999999999996	26-03-24 14:23:32.681852
4.2	0.021	250	250	-4895924.0	-4903955.0	-4908266.0	-4907148.0	-5868557.0	-5862032.0	-5861348.0	-5858143.0	-7.7860696	-0.838488861	17.4711165	1711459420.5046937	6	30.999999999999996	26-03-24 14:23:40.504751
4.8	0.024	250	250	-4519322.0	-4526636.0	-4530636.0	-4529663.0	-5417356.0	-5411265.0	-5410663.0	-5407604.0	-7.18735745	-0.774019252	17.4720472	1711459428.5269358	6	30.999999999999996	26-03-24 14:23:48.526991
5.4	0.027	250	250	-4142260.0	-4148845.0	-4152521.0	-4151713.0	-4965472.0	-4959763.0	-4959237.0	-4956409.0	-6.58782644	-0.709468232	17.4869387	1711459436.3567097	6	30.999999999999996	26-03-24 14:23:56.356769
6.0	0.03	250	250	-3765655.0	-3771498.0	-3774858.0	-3774251.0	-4514167.0	-4508872.0	-4508407.0	-4505794.0	-5.9890689	-0.644982958	17.5195139	1711459444.157659	6	30.999999999999996	26-03-24 14:24:04.157714
6.6	0.033	250	250	-3388619.0	-3393698.0	-3396770.0	-3396318.0	-4062211.0	-4057345.0	-4056963.0	-4054560.0	-5.38962707	-0.580413871	17.5716341	1711459452.1647878	6	30.999999999999996	26-03-24 14:24:12.164844
7.2	0.036	250	250	-3012119.0	-3016461.0	-3019213.0	-3018934.0	-3610974.0	-3606518.0	-3606231.0	-3604007.0	-4.79096569	-0.515955817	17.6265465	1711459460.2109616	6	30.999999999999996	26-03-24 14:24:20.211018
