# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	Delay	a	
0.132	0.0	250	250	-7423245.0	-7437189.0	-7444360.0	-7442525.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8628593	9.9e+37	24.303157	6	114.0	26-03-24 00:07:46.077847
0.601	0.002	250	250	-7153333.0	-7165900.0	-7172242.0	-7169959.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3759143	9.9e+37	24.2687613	6	114.0	26-03-24 00:07:53.876104
1.201	0.005	250	250	-6778623.0	-6790470.0	-6796526.0	-6794357.0	-8124009.0	-8115035.0	-8114058.0	-8110038.0	-10.7798641	-1.16068905	24.3483118	6	114.0	26-03-24 00:08:01.726773
1.8	0.008	250	250	-6402666.0	-6413786.0	-6419521.0	-6417553.0	-7673405.0	-7664837.0	-7663940.0	-7660131.0	-10.1820984	-1.09628582	24.3212883	6	114.0	26-03-24 00:08:09.543938
2.401	0.011	250	250	-6025508.0	-6035906.0	-6041280.0	-6039488.0	-7221305.0	-7213193.0	-7212382.0	-7208769.0	-9.58229709	-1.03171449	24.4266415	6	114.0	26-03-24 00:08:17.576225
3.001	0.014	250	250	-5648880.0	-5658517.0	-5663579.0	-5661971.0	-6769649.0	-6761980.0	-6761247.0	-6757795.0	-8.98349635	-0.967175695	24.4069903	6	114.0	26-03-24 00:08:25.411634
3.601	0.018	250	250	-5272376.0	-5281245.0	-5285954.0	-5284576.0	-6318285.0	-6311065.0	-6310370.0	-6307145.0	-8.38485044	-0.902694323	24.4143625	6	114.0	26-03-24 00:08:33.220890
4.201	0.021	250	250	-4895469.0	-4903613.0	-4908019.0	-4906791.0	-5866494.0	-5859726.0	-5859093.0	-5856055.0	-7.7856094	-0.838163632	24.4622819	6	114.0	26-03-24 00:08:41.258518
4.8	0.024	250	250	-4518899.0	-4526291.0	-4530412.0	-4529326.0	-5415372.0	-5409059.0	-5408487.0	-5405635.0	-7.18681515	-0.773733172	24.5138873	6	114.0	26-03-24 00:08:49.362101
5.401	0.027	250	250	-4141848.0	-4148493.0	-4152291.0	-4151399.0	-4963824.0	-4957917.0	-4957448.0	-4954790.0	-6.58738157	-0.709218968	24.5461408	6	114.0	26-03-24 00:08:57.219659
6.0	0.03	250	250	-3765324.0	-3771206.0	-3774708.0	-3773993.0	-4512674.0	-4507210.0	-4506795.0	-4504336.0	-5.98866377	-0.644750501	24.5240241	6	114.0	26-03-24 00:09:05.251679
6.6	0.033	250	250	-3388195.0	-3393346.0	-3396514.0	-3395981.0	-4060704.0	-4055677.0	-4055355.0	-4053088.0	-5.38905402	-0.580190408	24.5258672	6	114.0	26-03-24 00:09:13.279810
