# 
Keysight V	SDM3045X	SDM3055-SC	Voltage 1	Current 1	Delay	
-0.00135456578	-0.00132031575	-0.00136877291	0.32	0.0	0.1	07-12-23 15:24:35.619425
0.0374434206	0.0039750214	0.00682978824	0.05	0.0	0.1	07-12-23 15:24:36.291607
0.0804083724	0.0646322804	0.0504825743	0.1	0.0	0.1	07-12-23 15:24:37.000149
0.125189053	0.102400076	0.0990096948	0.15	0.0	0.1	07-12-23 15:24:37.597864
0.153502982	0.148797087	0.148427169	0.15	0.0	0.1	07-12-23 15:24:38.215033
0.199101127	0.198802582	0.199099164	0.2	0.0	0.1	07-12-23 15:24:38.944019
0.24902591	0.248830836	0.249021262	0.25	0.0	0.1	07-12-23 15:24:39.739350
0.299136844	0.299193886	0.297649307	0.3	0.0	0.1	07-12-23 15:24:40.364788
0.349637141	0.345730445	0.348513269	0.35	0.0	0.1	07-12-23 15:24:41.101302
0.449781202	0.449739216	0.449733875	0.45	0.0	0.1	07-12-23 15:24:47.612333
0.458096249	0.450228832	0.455138887	0.5	0.0	0.1	07-12-23 15:24:48.462274
0.539096678	0.502739303	0.500032419	0.55	0.0	0.1	07-12-23 15:24:49.261717
0.58329795	0.554578986	0.550558567	0.6	0.0	0.1	07-12-23 15:24:49.930099
0.632229097	0.599804513	0.604522745	0.65	0.0	0.1	07-12-23 15:24:50.606016
0.666091454	0.650090302	0.649771459	0.7	0.0	0.1	07-12-23 15:24:51.324568
0.730196015	0.715779673	0.708245504	0.75	0.0	0.1	07-12-23 15:24:53.105628
0.797314113	0.799668977	0.799680006	0.8	0.0	0.1	07-12-23 15:25:00.312539
0.849421918	0.849401366	0.849445475	0.85	0.0	0.1	07-12-23 15:25:03.912113
0.900054006	0.899963555	0.899987197	0.9	0.0	0.1	07-12-23 15:25:08.234580
