# 
A1	f1	A2	f2	Delay	a	
0	10000000.0	1.0	100000.0	1.0	0	10-04-24 17:23:21.935484
0	10000000.0	1.0	138691.8856530028	1.0	0	10-04-24 17:23:22.957339
0	10000000.0	1.0	192354.391459856	1.0	0	10-04-24 17:23:23.979127
0	10000000.0	1.0	266779.9326520328	1.0	0	10-04-24 17:23:25.000714
0	10000000.0	1.0	370002.1191389152	1.0	0	10-04-24 17:23:26.022731
0	10000000.0	1.0	513162.91598983144	1.0	0	10-04-24 17:23:27.044408
0	10000000.0	1.0	711715.3246582317	1.0	0	10-04-24 17:23:28.066136
0	10000000.0	1.0	987091.4042498922	1.0	0	10-04-24 17:23:29.087803
0	10000000.0	1.0	1369015.6816728802	1.0	0	10-04-24 17:23:30.109580
0	10000000.0	1.0	1898713.6637974274	1.0	0	10-04-24 17:23:31.131223
0	10000000.0	1.0	2633361.783471868	1.0	0	10-04-24 17:23:32.152736
0	10000000.0	1.0	3652259.113562679	1.0	0	10-04-24 17:23:33.174324
0	10000000.0	1.0	5065387.033533722	1.0	0	10-04-24 17:23:34.196119
0	10000000.0	1.0	7025280.7924306225	1.0	0	10-04-24 17:23:35.217939
0	10000000.0	1.0	9743494.403440243	1.0	0	10-04-24 17:23:36.239735
0	10000000.0	1.0	13513436.116626073	1.0	0	10-04-24 17:23:37.261983
0	10000000.0	1.0	18742039.366662607	1.0	0	10-04-24 17:23:38.283444
0	10000000.0	1.0	25993687.807452478	1.0	0	10-04-24 17:23:39.305518
0	10000000.0	1.0	36051135.77091051	1.0	0	10-04-24 17:23:40.327344
0	10000000.0	1.0	50000000.0	1.0	0	10-04-24 17:23:41.348853
