# 
Scope_Frequency	base_freq	A2	f2	scope_rms	scope_dBm	scope_pkpk	scope_thd	Pmax	lin_Pmax	base_P	base_dB	base_V	thd	lin_thd	Delay	a	
3000000.0	3000000.0	1.0	3000000.0	0.34777003706596366	3.836143189245176	0.9836422060113597	0.032467750910101206	5.000000000000014	0.00316227766016839	0.00316227766016839	5.000000000000014	0.397635364383526	-28.59897050340401	0.0013807115239649842	0.5	3000000.0	29-05-24 12:53:44.918586
3435897.435897436	3435897.435897436	1.0	3435897.435897436	0.34559013835448094	3.7815267786485727	0.9774765213666026	0.03599991986536805	5.000000000000014	0.00316227766016839	0.00316227766016839	5.000000000000014	0.397635364383526	-29.785474064086127	0.0010506367639442906	0.5	3435897.435897436	29-05-24 12:53:55.219676
3871794.871794872	3871794.871794872	1.0	3871794.871794872	0.3459204992184449	3.7898259372370853	0.9784109229951929	0.03905625051500243	4.6000000000000085	0.0028840315031266116	0.0028840315031266116	4.6000000000000085	0.3797388249261992	-29.183127959400025	0.0012069442333518371	0.5	3871794.871794872	29-05-24 12:54:04.759944
4307692.307692308	4307692.307692308	1.0	4307692.307692308	0.345054885457546	3.7680635714676116	0.9759625975543129	0.04430528316219604	4.6000000000000085	0.0028840315031266116	0.0028840315031266116	4.6000000000000085	0.3797388249261992	-28.358442707104096	0.001459337455604437	0.5	4307692.307692308	29-05-24 12:54:14.231476
4743589.743589744	4743589.743589744	1.0	4743589.743589744	0.34329816022298754	3.723729476529971	0.9709938282501616	0.0403249180261366	4.6000000000000085	0.0028840315031266116	0.0028840315031266116	4.6000000000000085	0.3797388249261992	-28.742002031119288	0.0013359795084578196	0.5	4743589.743589744	29-05-24 12:54:23.772158
5179487.17948718	5179487.17948718	1.0	5179487.17948718	0.3450593128837589	3.7681750200816504	0.9759751202067062	0.025656681551693244	4.6000000000000085	0.0028840315031266116	0.0028840315031266116	4.6000000000000085	0.3797388249261992	-28.838655945715686	0.001306575184372167	0.5	5179487.17948718	29-05-24 12:54:33.589202
5615384.615384616	5615384.615384616	1.0	5615384.615384616	0.3454294747511973	3.7774878010981388	0.9770220960731156	0.04363486897371556	4.6000000000000085	0.0028840315031266116	0.0028840315031266116	4.6000000000000085	0.3797388249261992	-29.210941425058845	0.0011992393145092352	0.5	5615384.615384616	29-05-24 12:54:43.129593
6051282.051282052	6051282.051282052	1.0	6051282.051282052	0.3455237410242089	3.7798578210368463	0.9772887213566505	0.03364245913495594	4.6000000000000085	0.0028840315031266116	0.0028840315031266116	4.6000000000000085	0.3797388249261992	-30.046030442902726	0.0009894570692715419	0.5	6051282.051282052	29-05-24 12:54:52.739480
6487179.487179487	6487179.487179487	1.0	6487179.487179487	0.3435970160940286	3.731287629118152	0.9718391203022039	0.03768341282660223	4.6000000000000085	0.0028840315031266116	0.0028840315031266116	4.6000000000000085	0.3797388249261992	-31.149333132929446	0.0007674793281601904	0.5	6487179.487179487	29-05-24 12:55:02.279963
6923076.923076924	6923076.923076924	1.0	6923076.923076924	0.34754567342365644	3.8305376840793572	0.9830076097996511	0.02790629686866264	4.6000000000000085	0.0028840315031266116	0.0028840315031266116	4.6000000000000085	0.3797388249261992	-32.60849460433028	0.000548467047196694	0.5	6923076.923076924	29-05-24 12:55:11.889689
7358974.358974359	7358974.358974359	1.0	7358974.358974359	0.3473538989786199	3.8257435187828714	0.9824651897574765	0.02202510268189675	4.6000000000000085	0.0028840315031266116	0.0028840315031266116	4.6000000000000085	0.3797388249261992	-33.91819438279767	0.000405677164212221	0.5	7358974.358974359	29-05-24 12:55:21.430231
7794871.794871795	7794871.794871795	1.0	7794871.794871795	0.3450140537225938	3.767035674329216	0.9758471079676236	0.02025597510401737	4.6000000000000085	0.0028840315031266116	0.0028840315031266116	4.6000000000000085	0.3797388249261992	-35.0953606583437	0.0003093598397979785	0.5	7794871.794871795	29-05-24 12:55:31.040261
8230769.230769231	8230769.230769231	1.0	8230769.230769231	0.34853795195366116	3.855301454769324	0.9858141973092197	0.017422077494229134	4.6000000000000085	0.0028840315031266116	0.0028840315031266116	4.6000000000000085	0.3797388249261992	-36.17188733674717	0.00024144113627709576	0.5	8230769.230769231	29-05-24 12:55:40.580639
8666666.666666666	8666666.666666666	1.0	8666666.666666666	0.3453311057774687	3.775013942341643	0.9767438665995883	0.020330370800633317	4.6000000000000085	0.0028840315031266116	0.0028840315031266116	4.6000000000000085	0.3797388249261992	-37.14779273500798	0.00019285048104252496	0.5	8666666.666666666	29-05-24 12:55:50.120917
9102564.102564104	9102564.102564104	1.0	9102564.102564104	0.3438536210108833	3.7377719989669784	0.9725649086093787	0.01907113860667412	4.6000000000000085	0.0028840315031266116	0.0028840315031266116	4.6000000000000085	0.3797388249261992	-38.250419178521696	0.00014960912472636653	0.5	9102564.102564104	29-05-24 12:55:59.661312
9538461.53846154	9538461.53846154	1.0	9538461.53846154	0.3344214235393731	3.4961817809571443	0.945886625434997	0.020732178692308433	4.6000000000000085	0.0028840315031266116	0.0028840315031266116	4.6000000000000085	0.3797388249261992	-38.76324675953648	0.00013294601499241337	0.5	9538461.53846154	29-05-24 12:56:09.133136
9974358.974358974	9974358.974358974	1.0	9974358.974358974	0.3298664903585827	3.3770639522073513	0.9330033288750429	0.009393899538426854	4.200000000000003	0.0026302679918953835	0.0026302679918953835	4.200000000000003	0.3626477624290121	-39.91497026638278	0.00010197717418048104	0.5	9974358.974358974	29-05-24 12:56:18.673066
