# 
VDC	Voltage 1	Current 1	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	a	
-11.8964498	0.079	0.0	-11.83024	-7466088.0	-7472916.0	-7470271.0	-11.82458	-7443373.0	-7442250.0	-7439540.0	7.0	2.0	11-12-23 15:41:07.808536
-11.4888965	0.5	0.001	-11.46976	-7238566.0	-7245345.0	-7242623.0	-11.50439	-7241830.0	-7240738.0	-7238036.0	7.0	2.0	11-12-23 15:41:15.449002
-10.9927611	1.0	0.004	-10.97427	-6925812.0	-6932254.0	-6929714.0	-11.00735	-6928955.0	-6927951.0	-6925306.0	7.0	2.0	11-12-23 15:41:22.984079
-10.4948305	1.499	0.007	-10.47715	-6611961.0	-6618122.0	-6615773.0	-10.50877	-6615006.0	-6614057.0	-6611506.0	7.0	2.0	11-12-23 15:41:30.608272
-9.99503997	2.0	0.009	-9.978157	-6296985.0	-6302861.0	-6300656.0	-10.00841	-6299951.0	-6299029.0	-6296582.0	7.0	2.0	11-12-23 15:41:38.387137
-9.49601608	2.5	0.012	-9.479813	-5982409.0	-5988018.0	-5986017.0	-9.508619	-5985312.0	-5984479.0	-5982088.0	7.0	2.0	11-12-23 15:41:45.995683
-8.99581409	3.0	0.014	-8.980359	-5667156.0	-5672461.0	-5670607.0	-9.007665	-5669899.0	-5669120.0	-5666844.0	7.0	2.0	11-12-23 15:41:53.529183
-8.49687692	3.5	0.017	-8.482203	-5352684.0	-5357713.0	-5356037.0	-8.508146	-5355312.0	-5354655.0	-5352484.0	7.0	2.0	11-12-23 15:42:01.119272
-7.99704015	4.0	0.019	-7.983166	-5037632.0	-5042406.0	-5040857.0	-8.007568	-5040201.0	-5039570.0	-5037515.0	7.0	2.0	11-12-23 15:42:08.647609
-7.49726075	4.5	0.022	-7.484197	-4722644.0	-4727138.0	-4725765.0	-7.507037	-4725101.0	-4724543.0	-4722560.0	7.0	2.0	11-12-23 15:42:16.178136
-6.99734471	5.0	0.025	-6.985029	-4407544.0	-4411738.0	-4410530.0	-7.006387	-4409880.0	-4409359.0	-4407506.0	7.0	2.0	11-12-23 15:42:23.957039
-6.49767837	5.5	0.027	-6.486155	-4092624.0	-4096535.0	-4095502.0	-6.50607	-4094861.0	-4094398.0	-4092627.0	7.0	2.0	11-12-23 15:42:31.644033
-5.99866305	6.0	0.03	-5.987877	-3778070.0	-3781722.0	-3780841.0	-6.006403	-3780216.0	-3779836.0	-3778178.0	7.0	2.0	11-12-23 15:42:39.317539
-5.49882831	6.5	0.032	-5.488801	-3463030.0	-3466383.0	-3465672.0	-5.505821	-3465077.0	-3464766.0	-3463199.0	7.0	2.0	11-12-23 15:42:47.003394
-4.99947148	6.999	0.035	-4.990151	-3148309.0	-3151354.0	-3150810.0	-5.005731	-3150239.0	-3149992.0	-3148511.0	7.0	2.0	11-12-23 15:42:54.531179
-4.49895994	7.5	0.037	-4.490462	-2832814.0	-2835576.0	-2835212.0	-4.504541	-2834660.0	-2834489.0	-2833114.0	7.0	2.0	11-12-23 15:43:02.254006
-3.99990026	8.0	0.04	-3.992172	-2518255.0	-2520763.0	-2520554.0	-4.004764	-2520000.0	-2519896.0	-2518614.0	7.0	2.0	11-12-23 15:43:09.895963
-3.50013477	8.5	0.043	-3.493144	-2203244.0	-2205467.0	-2205438.0	-3.504237	-2204892.0	-2204857.0	-2203649.0	7.0	2.0	11-12-23 15:43:17.424536
-3.00108785	8.999	0.045	-2.994854	-1888685.0	-1890640.0	-1890765.0	-3.004517	-1890226.0	-1890265.0	-1889148.0	7.0	2.0	11-12-23 15:43:25.088756
-2.50091721	9.499	0.048	-2.495391	-1573420.0	-1575091.0	-1575376.0	-2.503643	-1574875.0	-1574974.0	-1573939.0	7.0	2.0	11-12-23 15:43:32.705311
-2.00093303	10.0	0.05	-1.996154	-1258255.0	-1259645.0	-1260109.0	-2.002891	-1259610.0	-1259770.0	-1258844.0	7.0	2.0	11-12-23 15:43:40.349173
-1.50138163	10.5	0.053	-1.497396	-943404.6	-944518.2	-945140.0	-1.502704	-944652.4	-944898.2	-944055.9	7.0	2.0	11-12-23 15:43:47.926299
-1.00169357	11.0	0.055	-0.9985298	-628451.1	-629275.9	-630059.4	-1.002292	-629593.1	-629894.4	-629151.2	7.0	2.0	11-12-23 15:43:55.708356
-0.502594817	11.499	0.058	-0.5001888	-313884.4	-314439.0	-315385.3	-0.5025396	-314951.0	-315315.4	-314658.4	7.0	2.0	11-12-23 15:44:03.322959
-0.00281104175	12.0	0.06	-0.001152698	1127.95	867.1	-266.45	-0.002024104	176.2	-263.4	305.45	7.0	2.0	11-12-23 15:44:11.113570
0.496135037	12.499	0.063	0.4969533	315584.4	315593.1	314320.2	0.4976311	314739.4	314238.3	314713.8	7.0	2.0	11-12-23 15:44:18.655574
0.996193827	13.0	0.065	0.9963133	630786.1	631060.1	629637.1	0.9984386	630034.5	629460.4	629842.4	7.0	2.0	11-12-23 15:44:26.225421
1.49498044	13.499	0.068	1.494388	945176.0	945738.4	944153.8	1.497913	944534.4	943892.4	944171.5	7.0	2.0	11-12-23 15:44:33.763059
1.99515905	14.0	0.071	1.99376	1260420.0	1261291.0	1259514.0	1.998741	1259880.0	1259173.0	1259354.0	7.0	2.0	11-12-23 15:44:41.376432
2.49447106	14.499	0.073	2.492346	1575167.0	1576312.0	1574368.0	2.498847	1574734.0	1573947.0	1574049.0	7.0	2.0	11-12-23 15:44:48.913227
2.99350266	14.999	0.076	2.990655	1889734.0	1891147.0	1889050.0	2.998548	1889368.0	1888546.0	1888553.0	7.0	2.0	11-12-23 15:44:56.530942
3.49422898	15.5	0.078	3.490715	2205372.0	2207060.0	2204805.0	3.500114	2205121.0	2204223.0	2204135.0	7.0	2.0	11-12-23 15:45:04.111822
3.99292877	15.999	0.081	3.988538	2519678.0	2521642.0	2519238.0	3.999516	2519536.0	2518584.0	2518398.0	7.0	2.0	11-12-23 15:45:11.689316
