# 
Scope_Frequency	base_freq	A2r	f2	scope_rms	scope_dBm	scope_pkpk	scope_thd	Pmax	lin_Pmax	base_P	base_dB	base_V	thd	lin_thd	Delay	a	
5000000.0	5000000.0	25300.0	5000000.0	0.13934818851943617	-4.107673495344873	0.3941361961926189	0.07349608966505956	-4.199999999999989	0.0003801893963205622	0.0003801893963205622	-4.199999999999989	0.13787483387488852	-24.077414731664515	0.06253587968809407	0.5	5000000.0	03-06-24 14:41:12.473152
5000000.0	5000000.0	25302.5	5000000.0	0.13805737870033002	-4.188507580000901	0.3904852346873704	0.07185965598725354	-4.199999999999989	0.0003801893963205622	0.0003801893963205622	-4.199999999999989	0.13787483387488852	-24.082508070065252	0.062499219882226745	0.5	5000000.0	03-06-24 14:41:22.150221
5000000.0	5000000.0	25305.0	5000000.0	0.13840384975301304	-4.166736636431331	0.39146520281071834	0.07541339365691282	-4.199999999999989	0.0003801893963205622	0.0003801893963205622	-4.199999999999989	0.13787483387488852	-23.696834880155677	0.06533685954103133	0.5	5000000.0	03-06-24 14:41:31.620196
5000000.0	5000000.0	25307.5	5000000.0	0.13718051364167755	-4.24385155048356	0.38800508577073556	0.07349262672975883	-4.199999999999989	0.0003801893963205622	0.0003801893963205622	-4.199999999999989	0.13787483387488852	-24.082821606415685	0.06249696387570915	0.5	5000000.0	03-06-24 14:41:41.159073
5000000.0	5000000.0	25310.0	5000000.0	0.13652886036635362	-4.285210741390854	0.38616193197087967	0.07404888185944286	-4.199999999999989	0.0003801893963205622	0.0003801893963205622	-4.199999999999989	0.13787483387488852	-24.095186419323177	0.062408059511911425	0.5	5000000.0	03-06-24 14:41:50.698043
5000000.0	5000000.0	25312.5	5000000.0	0.13589848163022286	-4.325407954081822	0.3843789516547442	0.07749988947070388	-4.199999999999989	0.0003801893963205622	0.0003801893963205622	-4.199999999999989	0.13787483387488852	-23.987912072919542	0.06318360427226652	0.5	5000000.0	03-06-24 14:42:00.306071
5000000.0	5000000.0	25315.0	5000000.0	0.13489146457645868	-4.390010642897813	0.3815306773047956	0.07135198263771535	-4.199999999999989	0.0003801893963205622	0.0003801893963205622	-4.199999999999989	0.13787483387488852	-24.10563841089296	0.0623330071871325	0.5	5000000.0	03-06-24 14:42:09.845072
5000000.0	5000000.0	25317.5	5000000.0	0.13479482067871093	-4.396235937337005	0.3812573270829646	0.07505901168837058	-4.199999999999989	0.0003801893963205622	0.0003801893963205622	-4.199999999999989	0.13787483387488852	-24.104216291916426	0.062343213649945606	0.5	5000000.0	03-06-24 14:42:19.384045
5000000.0	5000000.0	25320.0	5000000.0	0.13431747975741085	-4.427049355405658	0.3799072030734082	0.07500463665837244	-4.199999999999989	0.0003801893963205622	0.0003801893963205622	-4.199999999999989	0.13787483387488852	-24.103738180866223	0.062346645399710375	0.5	5000000.0	03-06-24 14:42:28.853711
5000000.0	5000000.0	25322.5	5000000.0	0.1330513248884712	-4.5093159734831545	0.3763259762979699	0.0735555554326452	-4.599999999999994	0.0003467368504525321	0.0003467368504525321	-4.599999999999994	0.13166944414945558	-23.70216733232577	0.06529676016514482	0.5	5000000.0	03-06-24 14:42:38.392717
5000000.0	5000000.0	25325.0	5000000.0	0.13279968600956465	-4.525759079538686	0.3756142340672299	0.07319845122682114	-4.599999999999994	0.0003467368504525321	0.0003467368504525321	-4.599999999999994	0.13166944414945558	-23.695940026776444	0.0653435911395008	0.5	5000000.0	03-06-24 14:42:47.932038
5000000.0	5000000.0	25327.5	5000000.0	0.13236566791086	-4.554192934995852	0.3743866455042228	0.07622453823719103	-4.599999999999994	0.0003467368504525321	0.0003467368504525321	-4.599999999999994	0.13166944414945558	-23.701372242399415	0.0653027375807752	0.5	5000000.0	03-06-24 14:42:59.890178
