# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp_pt100	time	Delay	a	
0.116	0.0	250	250	-7434900.0	-7448732.0	-7455820.0	-7453965.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8763188	9.9e+37	20.8631376	1712711540.8138814	6	120.0	10-04-24 03:12:20.813943
0.6	0.002	250	250	-7153315.0	-7165871.0	-7172223.0	-7169970.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3765082	9.9e+37	20.8597837	1712711548.858837	6	120.0	10-04-24 03:12:28.858901
1.201	0.005	250	250	-6778341.0	-6790163.0	-6796187.0	-6794071.0	-8122829.0	-8113868.0	-8112905.0	-8109099.0	-10.7799954	-1.16061818	20.8520218	1712711556.8804798	6	120.0	10-04-24 03:12:36.880536
1.8	0.008	250	250	-6402401.0	-6413513.0	-6419200.0	-6417293.0	-7672394.0	-7663817.0	-7662969.0	-7659314.0	-10.1822109	-1.09621633	20.7919393	1712711564.7006366	6	120.0	10-04-24 03:12:44.700689
2.401	0.011	250	250	-6025245.0	-6035605.0	-6040937.0	-6039227.0	-7219917.0	-7211806.0	-7211004.0	-7207551.0	-9.58238639	-1.0315742	20.767983	1712711572.7327812	6	120.0	10-04-24 03:12:52.732835
3.001	0.015	250	250	-5648676.0	-5658277.0	-5663310.0	-5661767.0	-6768546.0	-6760861.0	-6760107.0	-6756811.0	-8.98360841	-0.967095566	20.7115419	1712711580.5691278	6	120.0	10-04-24 03:13:00.569184
3.6	0.018	250	250	-5272199.0	-5281059.0	-5285744.0	-5284384.0	-6317525.0	-6310329.0	-6309665.0	-6306517.0	-8.38494865	-0.902659112	20.6936226	1712711588.4523442	6	120.0	10-04-24 03:13:08.452398
4.201	0.021	250	250	-4895306.0	-4903420.0	-4907825.0	-4906634.0	-5866407.0	-5859638.0	-5859029.0	-5856095.0	-7.78568708	-0.838207693	20.6665998	1712711596.2811613	6	120.0	10-04-24 03:13:16.281217
4.8	0.024	250	250	-4518781.0	-4526158.0	-4530245.0	-4529220.0	-5415235.0	-5408858.0	-5408319.0	-5405593.0	-7.18700093	-0.773734971	20.6695704	1712711604.3538632	6	120.0	10-04-24 03:13:24.353921
5.4	0.027	250	250	-4141680.0	-4148291.0	-4152080.0	-4151236.0	-4963216.0	-4957275.0	-4956849.0	-4954263.0	-6.58744424	-0.70917251	20.6024927	1712711612.176129	6	120.0	10-04-24 03:13:32.176185
