# 
Scope_Frequency	base_freq	A2	f2	scope_rms	scope_dBm	scope_pkpk	scope_thd	Pmax	lin_Pmax	base_P	base_dB	base_V	thd	lin_thd	timestamp	Delay	a	
3000000.0	3000000.0	1	3000000.0	3.4647609715636234	23.803765530334246	9.799823912732517	0.03220425867429541	4.6000000000000085	0.0028840315031266116	0.0028840315031266116	4.6000000000000085	0.3797388249261992	-29.529290126422577	0.0011144766848578066	1716979334	0.5	3000000.0	29-05-24 12:42:14.812641
4888888.888888889	4888888.888888889	1	4888888.888888889	3.4395886995011145	23.74043022541622	9.728625975639426	0.04660800497816823	4.200000000000003	0.0026302679918953835	0.0026302679918953835	4.200000000000003	0.3626477624290121	-24.649533197213312	0.0034280463102963265	1716979344	0.5	4888888.888888889	29-05-24 12:42:24.383699
6777777.777777778	6777777.777777778	1	6777777.777777778	3.472390948689565	23.822872266569142	9.821404746996723	0.02654084137742768	4.6000000000000085	0.0028840315031266116	0.0028840315031266116	4.6000000000000085	0.3797388249261992	-31.93767470827919	0.0006400774528737521	1716979354	0.5	6777777.777777778	29-05-24 12:42:34.140688
8666666.666666666	8666666.666666666	1	8666666.666666666	3.4483823844464427	23.76260831458465	9.753498272665263	0.023401622554440542	4.6000000000000085	0.0028840315031266116	0.0028840315031266116	4.6000000000000085	0.3797388249261992	-38.8	0.00013182567385564074	1716979363	0.5	8666666.666666666	29-05-24 12:42:43.608904
10555555.555555556	10555555.555555556	1	10555555.555555556	3.132960774255832	22.929399104635323	8.861351234671021	0.016164902210407915	3.4000000000000066	0.0021877616239495555	0.0021877616239495555	3.4000000000000057	0.330738690203426	-40.62660304707012	8.656447417256525e-05	1716979374	0.5	10555555.555555556	29-05-24 12:42:54.465241
12444444.444444444	12444444.444444444	1	12444444.444444444	2.2166522169383867	19.92425114763758	6.269639256517309	0.023062766954664457	0.2000000000000031	0.0010471285480509003	0.0010471285480509003	0.20000000000000284	0.22881526916389347	-46.00000000000001	2.5118864315095778e-05	1716979384	0.5	12444444.444444444	29-05-24 12:43:04.008293
14333333.333333332	14333333.333333332	1	14333333.333333332	1.3480032776925122	15.604118920537415	3.812729034872273	0.01783663063074538	-3.799999999999998	0.00041686938347033567	0.00041686938347033567	-3.799999999999997	0.14437267460817085	-30.505728748059564	0.0008900760703206994	1716979401	0.5	14333333.333333332	29-05-24 12:43:21.728769
16222222.222222222	16222222.222222222	1	16222222.222222222	0.7813941898727089	10.867703509935913	2.2101165217550447	0.026885530851371253	-8.599999999999994	0.00013803842646028865	0.00013803842646028865	-8.599999999999994	0.08307780282972362	-23.67512244443816	0.004290300930480662	1716979412	0.5	16222222.222222222	29-05-24 12:43:32.425425
18111111.111111112	18111111.111111112	1	18111111.111111112	0.5047127062821373	7.071184723742901	1.427543108652454	0.025712505713052412	-12.599999999999994	5.495408738576254e-05	5.495408738576254e-05	-12.599999999999994	0.0524185498586915	-22.638679024013463	0.005446682972057629	1716979428	0.5	18111111.111111112	29-05-24 12:43:48.917188
20000000.0	20000000.0	1	20000000.0	0.3193130327300112	3.0946328483945345	0.9031536430585317	0.012986373890050574	-16.599999999999994	2.1877616239495553e-05	2.1877616239495553e-05	-16.599999999999994	0.033073869020342594	-18.547090860314515	0.013973040375701292	1716979439	0.5	20000000.0	29-05-24 12:43:59.713584
