# 
ch2a	ch2a avglen	Delay	a	
990322.3	10	0.1	0	12-12-23 20:42:15.856584
-191330.0	10	0.1	0	12-12-23 20:42:15.978680
-1222585.0	10	0.1	0	12-12-23 20:42:16.100445
-1582519.0	10	0.1	0	12-12-23 20:42:16.222306
-1046586.0	10	0.1	0	12-12-23 20:42:16.344256
62306.9	10	0.1	0	12-12-23 20:42:16.466207
1174963.0	10	0.1	0	12-12-23 20:42:16.587478
1607170.0	10	0.1	0	12-12-23 20:42:16.709605
1140820.0	10	0.1	0	12-12-23 20:42:16.831031
61457.7	10	0.1	0	12-12-23 20:42:16.952517
-1046626.0	10	0.1	0	12-12-23 20:42:17.074555
-1581994.0	10	0.1	0	12-12-23 20:42:17.196209
-1223320.0	10	0.1	0	12-12-23 20:42:17.317790
-190845.9	10	0.1	0	12-12-23 20:42:17.439872
991208.1	10	0.1	0	12-12-23 20:42:17.561877
1588192.0	10	0.1	0	12-12-23 20:42:17.683479
1329738.0	10	0.1	0	12-12-23 20:42:17.805087
356265.4	10	0.1	0	12-12-23 20:42:17.926733
-847733.5	10	0.1	0	12-12-23 20:42:18.048151
-1540287.0	10	0.1	0	12-12-23 20:42:18.169815
-1369198.0	10	0.1	0	12-12-23 20:42:18.291674
-439702.0	10	0.1	0	12-12-23 20:42:18.413412
733548.8	10	0.1	0	12-12-23 20:42:18.534702
1512328.0	10	0.1	0	12-12-23 20:42:18.655976
1456054.0	10	0.1	0	12-12-23 20:42:18.777633
598366.0	10	0.1	0	12-12-23 20:42:18.899022
-579188.2	10	0.1	0	12-12-23 20:42:19.021006
-1460210.0	10	0.1	0	12-12-23 20:42:19.142957
-1495326.0	10	0.1	0	12-12-23 20:42:19.264480
-715357.3	10	0.1	0	12-12-23 20:42:19.386096
502948.5	10	0.1	0	12-12-23 20:42:19.507651
1409459.0	10	0.1	0	12-12-23 20:42:19.629122
1557192.0	10	0.1	0	12-12-23 20:42:19.751213
825852.1	10	0.1	0	12-12-23 20:42:19.873076
-336738.5	10	0.1	0	12-12-23 20:42:19.994552
-1312688.0	10	0.1	0	12-12-23 20:42:20.116111
-1562007.0	10	0.1	0	12-12-23 20:42:20.237830
-931096.8	10	0.1	0	12-12-23 20:42:20.360304
260796.6	10	0.1	0	12-12-23 20:42:20.482183
1272995.0	10	0.1	0	12-12-23 20:42:20.603988
1600640.0	10	0.1	0	12-12-23 20:42:20.725764
1028573.0	10	0.1	0	12-12-23 20:42:20.847924
-90157.6	10	0.1	0	12-12-23 20:42:20.969936
