# 
VDC	Amplitude	Frequency	Offset	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	
-5.50319679	0.0	1000000.0	-11.0	-10.82125	-6829462.0	-6835882.0	-6833428.0	-10.85738	-6834358.0	-6833290.0	-6830818.0	1.0	08-12-23 17:14:19.094632
-8.42343811	0.0	1000000.0	-8.555555555555555	-8.406998	-5305415.0	-5310356.0	-5308655.0	-8.43501	-5309361.0	-5308566.0	-5306529.0	1.0	08-12-23 17:14:20.291204
-6.00421194	0.0	1000000.0	-6.111111111111112	-5.992283	-3780574.0	-3784291.0	-3783486.0	-6.011815	-3784053.0	-3783566.0	-3781977.0	1.0	08-12-23 17:14:21.417811
-3.58871933	0.0	1000000.0	-3.666666666666667	-3.579599	-2257980.0	-2260281.0	-2260275.0	-3.593082	-2260872.0	-2260676.0	-2259418.0	1.0	08-12-23 17:14:22.546686
-1.16173078	0.0	1000000.0	-1.2222222222222232	-1.15764	-728691.9	-729636.9	-730427.9	-1.163956	-731328.2	-731636.2	-730916.2	1.0	08-12-23 17:14:23.680965
1.25634804	0.0	1000000.0	1.2222222222222232	1.267247	801329.4	801707.5	800099.9	1.266473	799078.8	798462.9	798711.4	1.0	08-12-23 17:14:24.799514
3.68897244	0.0	1000000.0	3.666666666666666	3.679246	2326197.0	2328084.0	2326286.0	3.691997	2325776.0	2324911.0	2324823.0	1.0	08-12-23 17:14:25.907104
6.10988039	0.0	1000000.0	6.111111111111111	6.105346	3855902.0	3859342.0	3855826.0	6.124558	3855130.0	3853819.0	3853308.0	1.0	08-12-23 17:14:27.049584
8.52793305	0.0	1000000.0	8.555555555555554	8.537584	5389017.0	5394125.0	5390772.0	8.554411	5389945.0	5387998.0	5386644.0	1.0	08-12-23 17:14:28.309404
10.972898	0.0	1000000.0	11.0	10.89659	7485991.0	6886104.0	6896492.0	11.88047	6883859.0	7479248.0	7477602.0	1.0	08-12-23 17:14:29.507303
