# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	time	Delay	a	
0.093	0.0	250	250	-7437095.0	-7450677.0	-7457557.0	-7455776.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8749156	9.9e+37	16.9400026	1711456759.2029397	6	23.0	26-03-24 13:39:19.203002
0.6	0.002	250	250	-7154069.0	-7166594.0	-7172766.0	-7170567.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3768754	9.9e+37	16.8522129	1711456766.9915612	6	23.0	26-03-24 13:39:26.991632
1.2	0.005	250	250	-6779077.0	-6790890.0	-6796743.0	-6794727.0	-8126610.0	-8117915.0	-8116871.0	-8112610.0	-10.7803795	-1.16107199	16.8093998	1711456775.0203178	6	23.0	26-03-24 13:39:35.020373
1.8	0.008	250	250	-6403130.0	-6414183.0	-6419681.0	-6417887.0	-7675786.0	-7667557.0	-7666610.0	-7662455.0	-10.1825601	-1.09667052	16.7712404	1711456783.0442252	6	23.0	26-03-24 13:39:43.044274
2.401	0.011	250	250	-6025962.0	-6036293.0	-6041473.0	-6039852.0	-7223596.0	-7215800.0	-7214889.0	-7210924.0	-9.58278706	-1.03205993	16.7414574	1711456791.06658	6	23.0	26-03-24 13:39:51.066634
3.001	0.014	250	250	-5649303.0	-5658860.0	-5663740.0	-5662282.0	-6772065.0	-6764668.0	-6763840.0	-6760103.0	-8.98394879	-0.967550545	16.6753764	1711456798.8820765	6	23.0	26-03-24 13:39:58.882130
3.6	0.018	250	250	-5272798.0	-5281618.0	-5286185.0	-5284916.0	-6320722.0	-6313758.0	-6313014.0	-6309478.0	-8.38532499	-0.903080875	16.6744456	1711456806.8275416	6	23.0	26-03-24 13:40:06.827596
4.2	0.021	250	250	-4895963.0	-4904051.0	-4908355.0	-4907200.0	-5869029.0	-5862474.0	-5861765.0	-5858519.0	-7.78611306	-0.838534543	16.6651384	1711456814.8767154	6	23.0	26-03-24 13:40:14.876770
4.8	0.024	250	250	-4519368.0	-4526716.0	-4530706.0	-4529724.0	-5417623.0	-5411501.0	-5410899.0	-5407795.0	-7.18741406	-0.774046828	16.6120875	1711456822.724343	6	23.0	26-03-24 13:40:22.724397
5.4	0.027	250	250	-4142280.0	-4148879.0	-4152549.0	-4151744.0	-4965633.0	-4959898.0	-4959383.0	-4956477.0	-6.58786337	-0.709487583	16.6877779	1711456830.754792	6	23.0	26-03-24 13:40:30.754846
