# 
Scope_Frequency	A2	f2	gain	gain_log	phase	Scope_Amplitude_RMS	Scope_Amplitude_pkpk	THD	Delay	a	
1000000.0	10.0	1000000.0	9.309673535071173e-06	-100.62131096555692	3.9816140539267137	3.5277607538020015	9.978014205668648	0.007675691098410445	0.5	1000000.0	20-05-24 17:54:18.619686
1000000.0	10.368421052631579	1000000.0	9.3950154344475e-06	-100.54205004178561	-2.9593876360532922	3.6577425567213155	10.34565826276905	0.008333205068347243	0.5	1000000.0	20-05-24 17:54:21.271976
1000000.0	10.736842105263158	1000000.0	8.763171506753414e-06	-101.14677377022629	-5.039795012092744	3.7910767439483064	10.722784294577858	0.008178972983832987	0.5	1000000.0	20-05-24 17:54:24.040804
1000000.0	11.105263157894736	1000000.0	8.56071148018842e-06	-101.34980279272023	-2.621258632228499	3.92030468023741	11.088296094852932	0.009282267387583063	0.5	1000000.0	20-05-24 17:54:26.802532
1000000.0	11.473684210526315	1000000.0	8.298636997798304e-06	-101.61986464150031	-0.4574141356413195	4.052547064217476	11.46233404074325	0.009268325179070369	0.5	1000000.0	20-05-24 17:54:29.471117
1000000.0	11.842105263157894	1000000.0	9.902927079053448e-06	-100.08472837796506	-3.0394497884576213	4.1818544239988045	11.828070484578074	0.009669433428877073	0.5	1000000.0	20-05-24 17:54:32.137211
1000000.0	12.210526315789473	1000000.0	8.633478054688282e-06	-101.27628421162748	-2.382499977931395	4.305867487210366	12.178832396388518	0.011267115444852187	0.5	1000000.0	20-05-24 17:54:34.792422
1000000.0	12.578947368421053	1000000.0	9.275912371985286e-06	-100.65286725446066	3.7837231151068265	4.4192482861515385	12.499521723539125	0.016758366916280458	0.5	1000000.0	20-05-24 17:54:37.452304
1000000.0	12.947368421052632	1000000.0	8.669529841575189e-06	-101.2400890833387	-0.9782112039097015	4.515770718468121	12.772528389249826	0.027494174840528893	0.5	1000000.0	20-05-24 17:54:40.121187
1000000.0	13.31578947368421	1000000.0	9.710957176173983e-06	-100.25475922090683	-0.9424893720676856	4.601261396878664	13.014332542979158	0.039858372663217644	0.5	1000000.0	20-05-24 17:54:42.778531
1000000.0	13.68421052631579	1000000.0	9.167792969046798e-06	-100.75470405372867	-0.7658787417888494	4.676768976780543	13.227900230097573	0.05243931878316325	0.5	1000000.0	20-05-24 17:54:45.429096
1000000.0	14.052631578947368	1000000.0	9.173566193074011e-06	-100.7492360196567	0.7011871556490117	4.744057956149789	13.418222204542037	0.06437728449703899	0.5	1000000.0	20-05-24 17:54:48.209885
1000000.0	14.421052631578947	1000000.0	9.304910595710024e-06	-100.62575590681975	1.7356238434560434	4.80462713620995	13.589537716347829	0.07615298017005956	0.5	1000000.0	20-05-24 17:54:50.873835
1000000.0	14.789473684210527	1000000.0	9.067019966237066e-06	-100.85070855841992	1.3885109425902302	4.8559782681650905	13.734780650856171	0.08754162501657622	0.5	1000000.0	20-05-24 17:54:53.533219
1000000.0	15.157894736842106	1000000.0	9.869590616097384e-06	-100.11401722392684	0.6444220803637012	4.906697222408318	13.878235516776478	0.09874010884566845	0.5	1000000.0	20-05-24 17:54:56.195593
1000000.0	15.526315789473685	1000000.0	8.664636790009085e-06	-101.24499275225207	-1.7840082691331043	4.951673877930134	14.005448709234747	0.10974377012028756	0.5	1000000.0	20-05-24 17:54:58.963606
1000000.0	15.894736842105264	1000000.0	9.369273483064594e-06	-100.56588168177258	1.0310965018957474	4.992524708498267	14.120992306482064	0.12032735480721882	0.5	1000000.0	20-05-24 17:55:01.724263
1000000.0	16.263157894736842	1000000.0	8.720494594924477e-06	-101.18917765512153	2.7743900485170316	5.030090196139212	14.227243550680031	0.1314843630572685	0.5	1000000.0	20-05-24 17:55:04.390962
1000000.0	16.63157894736842	1000000.0	7.988705707147483e-06	-101.95047154707714	5.179097859093213	5.068365002289694	14.335501050590455	0.14229682820985023	0.5	1000000.0	20-05-24 17:55:07.054986
1000000.0	17.0	1000000.0	0.001582247049580468	-56.01451410965061	46.273933261090335	0.0007226677581430178	0.002044013089311231	0.4523194618383872	0.5	1000000.0	20-05-24 17:55:29.673878
