# 
ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	
0.0008662965	2636.1	2315.95	1361.35	0.0003948803	1703.5	1372.0	2054.15	0.1	08-12-23 16:34:37.195843
0.001329776	2625.35	2271.35	1344.05	0.0003980548	1748.45	1417.5	2091.9	0.1	08-12-23 16:34:37.396162
-0.3303282	3348.55	2977.25	1722.35	0.0005091631	1824.4	1467.5	2123.1	0.1	08-12-23 16:34:37.596687
-0.04168021	2771.8	2396.1	1451.25	0.0004821796	1769.75	1431.5	2095.2	0.1	08-12-23 16:34:37.799082
-0.006093839	2357.65	2066.9	1192.1	0.000423451	1775.65	1432.2	2098.75	0.1	08-12-23 16:34:37.999706
0.0007059833	2728.05	2411.85	1457.05	0.0004504344	1762.3	1429.3	2090.6	0.1	08-12-23 16:34:38.202186
0.0008012188	2752.4	2445.15	1474.4	0.0005186865	1754.45	1415.65	2082.35	0.1	08-12-23 16:34:38.403763
0.0009028036	2757.25	2426.9	1476.3	0.0004948777	1760.75	1411.7	2086.8	0.1	08-12-23 16:34:38.604200
0.001137718	2767.05	2394.75	1465.3	0.0006234458	1739.3	1408.55	2079.5	0.1	08-12-23 16:34:38.805737
0.001344062	2755.6	2402.6	1466.25	0.0005774152	1764.9	1414.95	2068.6	0.1	08-12-23 16:34:39.007082
0.001201208	2638.1	1496.1	-63.55	0.0005663044	1713.0	1380.7	2072.4	0.1	08-12-23 16:34:39.206703
0.002147215	-83395.35	2907.7	1825.55	0.0005409083	1763.8	1433.1	2092.65	0.1	08-12-23 16:34:39.407024
0.001863096	-8798.2	2457.2	1537.15	0.0005297975	1760.4	1420.65	2084.55	0.1	08-12-23 16:34:39.607799
0.001366284	260.05	2397.5	1464.05	0.0006409056	1748.85	1409.55	2086.1	0.1	08-12-23 16:34:39.807643
0.00137422	2722.1	2414.7	1481.2	0.0006028114	1751.25	1411.35	2073.7	0.1	08-12-23 16:34:40.008516
0.001404378	2756.5	2424.2	1473.15	0.0004710688	1746.35	1414.8	2088.6	0.1	08-12-23 16:34:40.206873
0.001372633	2750.55	2422.35	1467.7	0.0005996369	1772.45	1438.5	2101.35	0.1	08-12-23 16:34:40.407834
0.00124089	2755.3	2419.85	1471.0	0.0005774152	1785.9	1451.9	2108.25	0.1	08-12-23 16:34:40.608492
0.001342474	2750.85	2415.15	1469.2	0.0005853515	1770.7	1433.3	2100.5	0.1	08-12-23 16:34:40.808727
0.001296444	2750.05	2408.4	1468.0	0.0006012241	1774.95	1443.8	2105.5	0.1	08-12-23 16:34:41.010299
0.001237715	2768.3	2430.95	1481.85	0.0005663044	1751.5	1430.55	2092.15	0.1	08-12-23 16:34:41.211682
0.001201208	2755.2	2419.65	1468.9	0.0004853541	1763.9	1421.5	2090.1	0.1	08-12-23 16:34:41.413087
0.001290095	2766.0	2426.6	1453.95	0.0004583707	1771.35	1443.75	2106.1	0.1	08-12-23 16:34:41.614311
0.001331364	2747.4	2409.75	1468.2	0.000502814	1772.4	1446.7	2107.7	0.1	08-12-23 16:34:41.815465
0.001290095	2723.65	2390.15	1466.1	0.000496465	1771.0	1442.5	2103.3	0.1	08-12-23 16:34:42.016463
0.001169463	3715.85	-165805.8	2180.1	0.0004488471	1787.7	1454.4	2120.15	0.1	08-12-23 16:34:42.218537
0.0009885156	2764.05	1595.8	1480.65	0.000472656	1772.85	1442.85	2108.45	0.1	08-12-23 16:34:42.418763
0.001037721	2743.6	2389.65	1484.15	0.0003472625	1762.05	1431.75	2097.65	0.1	08-12-23 16:34:42.619837
0.0006980469	2438.45	2116.55	-53295.0	0.0005059885	1772.7	1446.55	2106.5	0.1	08-12-23 16:34:42.821147
0.001063117	3065.9	2953.95	-169.75	0.0004361491	1743.25	1411.3	2084.2	0.1	08-12-23 16:34:43.023041
0.0009631194	2744.35	2409.15	1432.4	0.0004282127	1745.7	1412.75	2085.55	0.1	08-12-23 16:34:43.224147
0.001132956	2760.2	2401.75	1448.85	0.0004361491	1745.3	1418.0	2077.2	0.1	08-12-23 16:34:43.424027
0.001085338	2742.85	2399.4	1433.6	0.0004250382	1733.65	1388.45	2069.1	0.1	08-12-23 16:34:43.624334
0.001115496	2739.05	2396.8	1442.95	0.0003964676	1744.65	1407.65	2083.4	0.1	08-12-23 16:34:43.825247
0.001112322	2730.65	2394.6	1434.5	0.0005123375	1745.6	1417.45	2086.35	0.1	08-12-23 16:34:44.026205
0.001252001	2730.85	2384.9	1439.05	0.0005917005	1757.75	1428.65	2090.7	0.1	08-12-23 16:34:44.227879
0.001245652	2738.0	2395.5	1427.6	0.0005774152	1751.1	1419.35	2087.1	0.1	08-12-23 16:34:44.430223
0.001102798	2732.95	2399.1	1441.35	0.0005805897	1752.9	1416.0	2086.0	0.1	08-12-23 16:34:44.630762
0.001244064	2742.0	2387.65	1441.8	0.0004996395	1751.65	1414.6	2085.75	0.1	08-12-23 16:34:44.831557
0.001237715	2745.2	2405.65	1453.8	0.0004980522	1757.4	1419.4	2092.55	0.1	08-12-23 16:34:45.032907
0.001305968	2744.45	2397.95	1456.95	0.0005472573	1781.9	1449.25	2119.1	0.1	08-12-23 16:34:45.233549
0.001342474	2747.65	2395.9	1444.85	0.000575828	1796.05	1451.25	2134.2	0.1	08-12-23 16:34:45.434842
0.001267873	2737.0	2402.45	1456.15	0.0005710661	1785.15	1451.4	2121.4	0.1	08-12-23 16:34:45.636344
