# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC	temp	Delay	a	
0.139	0.0	250	250	-7422878.0	-7436835.0	-7444571.0	-7442080.0	-7436784.0	-7430777.0	-7430017.0	-7427645.0	-11.8701453	37.91576	6.0	8.0	14-12-23 13:53:23.983285
0.5	0.002	250	250	-7223736.0	-7236637.0	-7243568.0	-7240532.0	-7245526.0	-7239431.0	-7238498.0	-7235906.0	-11.4870616	37.893509	6.0	8.0	14-12-23 13:53:31.379833
1.0	0.004	250	250	-6912393.0	-6924659.0	-6931284.0	-6928457.0	-6933238.0	-6927348.0	-6926467.0	-6923943.0	-10.9914688	37.9907695	6.0	8.0	14-12-23 13:53:38.638338
1.499	0.007	250	250	-6599291.0	-6610924.0	-6617256.0	-6614628.0	-6619256.0	-6613537.0	-6612740.0	-6610298.0	-10.4935888	37.9898548	6.0	8.0	14-12-23 13:53:45.894719
2.0	0.009	250	250	-6285002.0	-6296006.0	-6302059.0	-6299608.0	-6303957.0	-6298537.0	-6297769.0	-6295424.0	-9.99386668	38.0026613	6.0	8.0	14-12-23 13:53:53.076201
2.499	0.012	250	250	-5971051.0	-5981406.0	-5987176.0	-5984906.0	-5989143.0	-5983904.0	-5983188.0	-5980921.0	-9.49473029	38.0118088	6.0	8.0	14-12-23 13:54:00.254217
3.0	0.015	250	250	-5656340.0	-5666093.0	-5671563.0	-5669430.0	-5673520.0	-5668507.0	-5667869.0	-5665691.0	-8.9944623	37.992599	6.0	8.0	14-12-23 13:54:07.515358
3.5	0.017	250	250	-5342532.0	-5351663.0	-5356815.0	-5354894.0	-5358769.0	-5353909.0	-5353342.0	-5351276.0	-8.4954682	38.0191268	6.0	8.0	14-12-23 13:54:14.700706
4.0	0.02	250	250	-5028093.0	-5036599.0	-5041465.0	-5039725.0	-5043390.0	-5038792.0	-5038259.0	-5036288.0	-7.99561547	38.0538873	6.0	8.0	14-12-23 13:54:21.956975
4.5	0.022	250	250	-4713716.0	-4721573.0	-4726159.0	-4724593.0	-4728083.0	-4723709.0	-4723221.0	-4721348.0	-7.49581467	38.0694381	6.0	8.0	14-12-23 13:54:29.138236
5.0	0.025	250	250	-4399205.0	-4406433.0	-4410751.0	-4409353.0	-4412644.0	-4408497.0	-4408085.0	-4406300.0	-6.99573894	38.1301086	6.0	8.0	14-12-23 13:54:36.318416
5.5	0.027	250	250	-4084924.0	-4091525.0	-4095547.0	-4094325.0	-4097436.0	-4093490.0	-4093127.0	-4091453.0	-6.49612207	38.0895626	6.0	8.0	14-12-23 13:54:43.577339
5.999	0.03	250	250	-3770965.0	-3776954.0	-3780670.0	-3779635.0	-3782575.0	-3778830.0	-3778538.0	-3776947.0	-5.99702057	38.1612101	6.0	8.0	14-12-23 13:54:50.801900
6.499	0.032	250	250	-3456637.0	-3461994.0	-3465431.0	-3464571.0	-3467291.0	-3463777.0	-3463548.0	-3462027.0	-5.49727421	38.0648643	6.0	8.0	14-12-23 13:54:58.102978
6.999	0.035	250	250	-3142409.0	-3147125.0	-3150278.0	-3149609.0	-3152163.0	-3148851.0	-3148672.0	-3147257.0	-4.99770826	38.1209611	6.0	8.0	14-12-23 13:55:05.464446
7.5	0.037	250	250	-2827552.0	-2831639.0	-2834507.0	-2834013.0	-2836377.0	-2833291.0	-2833164.0	-2831835.0	-4.4971893	38.0749266	6.0	8.0	14-12-23 13:55:12.731320
7.999	0.04	250	250	-2513602.0	-2517067.0	-2519634.0	-2519328.0	-2521513.0	-2518649.0	-2518576.0	-2517341.0	-3.9980365	38.0859036	6.0	8.0	14-12-23 13:55:19.922888
8.499	0.043	250	250	-2199145.0	-2201978.0	-2204262.0	-2204136.0	-2206140.0	-2203472.0	-2203470.0	-2202322.0	-3.49815643	38.1264496	6.0	8.0	14-12-23 13:55:27.161269
8.999	0.045	250	250	-1885169.0	-1887369.0	-1889365.0	-1889418.0	-1891225.0	-1888786.0	-1888852.0	-1887780.0	-2.9990271	38.1334706	6.0	8.0	14-12-23 13:55:34.340215
9.499	0.048	250	250	-1570616.0	-1572187.0	-1573901.0	-1574134.0	-1575761.0	-1573524.0	-1573659.0	-1572669.0	-2.4989324	38.1133461	6.0	8.0	14-12-23 13:55:41.607991
9.999	0.05	250	250	-1256091.0	-1257039.0	-1258462.0	-1258873.0	-1260310.0	-1258288.0	-1258489.0	-1257591.0	-1.99891383	38.2188394	6.0	8.0	14-12-23 13:55:48.817394
10.5	0.053	250	250	-941766.5	-942081.4	-943221.7	-943816.4	-945060.5	-943262.9	-943519.8	-942711.7	-1.49924185	38.1895674	6.0	8.0	14-12-23 13:55:56.176077
11.0	0.055	250	250	-627398.0	-627087.0	-627934.3	-628715.0	-629777.4	-628187.8	-628512.1	-627788.6	-0.999448115	38.1968854	6.0	8.0	14-12-23 13:56:03.433175
11.499	0.058	250	250	-313445.8	-312513.4	-313069.8	-314027.6	-314892.7	-313529.7	-313920.0	-313274.0	-0.500253842	38.2581736	6.0	8.0	14-12-23 13:56:10.634031
11.999	0.061	250	250	953.096	2515.396	2242.864	1117.996	426.22	1575.528	1126.348	1679.92	-0.000382309266	38.3160999	6.0	8.0	14-12-23 13:56:18.013691
12.499	0.063	250	250	314728.9	316917.5	316924.8	315632.8	315123.8	316054.5	315551.4	316009.1	0.498423878	38.2764686	6.0	8.0	14-12-23 13:56:25.393831
13.0	0.066	250	250	629424.1	632236.5	632533.3	631063.2	630741.2	631456.5	630891.0	631253.4	0.99873654	38.3103144	6.0	8.0	14-12-23 13:56:32.703230
13.498	0.068	250	250	943275.8	946709.4	947296.0	945646.7	945506.0	946005.5	945378.3	945658.0	1.49772049	38.2368374	6.0	8.0	14-12-23 13:56:39.874230
13.999	0.071	250	250	1257945.0	1262010.0	1262882.0	1261055.0	1261103.0	1261389.0	1260702.0	1260889.0	1.99792542	38.3459897	6.0	8.0	14-12-23 13:56:47.077511
14.499	0.073	250	250	1572121.0	1576809.0	1577970.0	1575964.0	1576198.0	1576259.0	1575511.0	1575611.0	2.49740676	38.4222109	6.0	8.0	14-12-23 13:56:54.237991
14.998	0.076	250	250	1886154.0	1891480.0	1892929.0	1890735.0	1891158.0	1891012.0	1890205.0	1890214.0	2.99661681	38.4350174	6.0	8.0	14-12-23 13:57:01.400717
15.5	0.079	250	250	2201158.0	2207113.0	2208842.0	2206468.0	2207074.0	2206712.0	2205840.0	2205758.0	3.49736464	38.469778	6.0	8.0	14-12-23 13:57:08.577518
15.998	0.081	250	250	2514993.0	2521566.0	2523596.0	2521050.0	2521854.0	2521273.0	2520342.0	2520177.0	3.99629698	38.414596	6.0	8.0	14-12-23 13:57:15.741606
16.5	0.084	250	250	2829882.0	2837088.0	2839407.0	2836679.0	2837666.0	2836863.0	2835883.0	2835614.0	4.49689076	38.49905	6.0	8.0	14-12-23 13:57:22.900623
16.999	0.086	250	250	3143770.0	3151606.0	3154209.0	3151304.0	3152467.0	3151473.0	3150424.0	3150066.0	4.99582192	38.3953862	6.0	8.0	14-12-23 13:57:30.078750
17.499	0.089	250	250	3458239.0	3466725.0	3469633.0	3466529.0	3467871.0	3466643.0	3465534.0	3465108.0	5.49577553	38.502709	6.0	8.0	14-12-23 13:57:37.240493
17.999	0.091	250	250	3772591.0	3781695.0	3784874.0	3781595.0	3783123.0	3781692.0	3780527.0	3780005.0	5.99551381	38.4896055	6.0	8.0	14-12-23 13:57:44.487091
18.499	0.094	250	250	4086845.0	4096582.0	4100045.0	4096586.0	4098307.0	4096644.0	4095414.0	4094793.0	6.49508745	38.465822	6.0	8.0	14-12-23 13:57:51.690444
19.0	0.097	250	250	4401367.0	4411741.0	4415505.0	4411857.0	4413745.0	4411888.0	4410587.0	4409898.0	6.99511103	38.5768038	6.0	8.0	14-12-23 13:57:58.908825
19.499	0.099	250	250	4715340.0	4726362.0	4730378.0	4726562.0	4728649.0	4726592.0	4725198.0	4724432.0	7.49419827	38.5987578	6.0	8.0	14-12-23 13:58:06.115034
19.999	0.102	250	250	5029556.0	5041223.0	5045542.0	5041535.0	5043809.0	5041552.0	5040109.0	5039240.0	7.9937897	38.5804628	6.0	8.0	14-12-23 13:58:13.306405
20.499	0.104	250	250	5343554.0	5355809.0	5360448.0	5356252.0	5358668.0	5356186.0	5354674.0	5353725.0	8.49282181	38.5969283	6.0	8.0	14-12-23 13:58:20.562788
20.999	0.107	250	250	5657955.0	5670872.0	5675787.0	5671397.0	5674040.0	5671354.0	5669786.0	5668728.0	8.99269772	38.586866	6.0	8.0	14-12-23 13:58:28.041317
21.499	0.11	250	250	5971776.0	5985344.0	5990521.0	5985967.0	5988827.0	5985883.0	5984272.0	5983135.0	9.49159662	38.619797	6.0	8.0	14-12-23 13:58:35.206706
21.999	0.112	250	250	6285795.0	6299968.0	6305434.0	6300690.0	6303689.0	6300567.0	6298903.0	6297667.0	9.99075465	38.6591313	6.0	8.0	14-12-23 13:58:42.779208
22.498	0.115	250	250	6599255.0	6614125.0	6619820.0	6614939.0	6618128.0	6614766.0	6613055.0	6611722.0	10.4890334	38.6737673	6.0	8.0	14-12-23 13:58:49.975422
22.999	0.118	250	250	6878363.0	7481435.0	6899632.0	7482851.0	7482564.0	6900371.0	7476487.0	7474973.0	11.0003631	38.6948066	6.0	8.0	14-12-23 13:58:57.152646
