# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	time	Delay	a	
0.009	0.0	250	250	-7454386.0	-7467459.0	-7473904.0	-7471591.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.9698306	9.9e+37	24.5531658	1711449606.655961	6	1.0	26-03-24 11:40:06.656029
0.6	0.002	250	250	-7157687.0	-7170277.0	-7176583.0	-7174253.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3824174	9.9e+37	24.5556312	1711449614.7330022	6	1.0	26-03-24 11:40:14.733066
1.2	0.005	250	250	-6781009.0	-6792889.0	-6798903.0	-6796694.0	-8128837.0	-8119939.0	-8119003.0	-8114954.0	-10.7834662	-1.16136243	24.5805124	1711449622.572369	6	1.0	26-03-24 11:40:22.572419
1.8	0.008	250	250	-6404517.0	-6415612.0	-6421319.0	-6419311.0	-7677688.0	-7669182.0	-7668340.0	-7664468.0	-10.1848106	-1.09691163	24.6877086	1711449630.6644566	6	1.0	26-03-24 11:40:30.664508
2.401	0.011	250	250	-6027027.0	-6037411.0	-6042782.0	-6040971.0	-7224973.0	-7216894.0	-7216114.0	-7212438.0	-9.58458675	-1.03222259	24.7365495	1711449638.743825	6	1.0	26-03-24 11:40:38.743874
3.0	0.014	250	250	-5650271.0	-5659910.0	-5664959.0	-5663322.0	-6773494.0	-6765815.0	-6765106.0	-6761681.0	-8.98553264	-0.967717741	24.7439217	1711449646.5806534	6	1.0	26-03-24 11:40:46.580705
3.6	0.017	250	250	-5273584.0	-5282489.0	-5287202.0	-5285737.0	-6321838.0	-6314605.0	-6313976.0	-6310682.0	-8.38665716	-0.903207759	24.7300988	1711449654.3943412	6	1.0	26-03-24 11:40:54.394393
4.2	0.02	250	250	-4896579.0	-4904741.0	-4909147.0	-4907876.0	-5869996.0	-5863198.0	-5862652.0	-5859543.0	-7.78726052	-0.838636116	24.7540585	1711449662.2387445	6	1.0	26-03-24 11:41:02.238797
4.8	0.023	250	250	-4519952.0	-4527353.0	-4531433.0	-4530349.0	-5418448.0	-5412064.0	-5411589.0	-5408673.0	-7.18841683	-0.774139759	24.8102716	1711449670.2662728	6	1.0	26-03-24 11:41:10.266327
5.4	0.026	250	250	-4142826.0	-4149489.0	-4153242.0	-4152342.0	-4966385.0	-4960457.0	-4960045.0	-4957316.0	-6.58875008	-0.709567162	25.0391093	1711449678.0981247	6	1.0	26-03-24 11:41:18.098183
6.0	0.029	250	250	-3766157.0	-3772067.0	-3775514.0	-3774796.0	-4515018.0	-4509504.0	-4509186.0	-4506628.0	-5.98991227	-0.645085646	25.1696669	1711449686.1304512	6	1.0	26-03-24 11:41:26.130500
6.6	0.032	250	250	-3389042.0	-3394227.0	-3397339.0	-3396783.0	-4063013.0	-4057946.0	-4057689.0	-4055366.0	-5.3903295	-0.580514043	25.4055776	1711449694.1644385	6	1.0	26-03-24 11:41:34.164489
7.2	0.036	250	250	-3012468.0	-3016891.0	-3019690.0	-3019335.0	-3611628.0	-3606990.0	-3606798.0	-3604654.0	-4.79157908	-0.516027296	25.7032306	1711449702.231495	6	1.0	26-03-24 11:41:42.231559
7.8	0.039	250	250	-2635008.0	-2638667.0	-2641166.0	-2640991.0	-3159189.0	-3154979.0	-3154861.0	-3152904.0	-4.19148882	-0.451408606	26.0395877	1711449710.048078	6	1.0	26-03-24 11:41:50.048139
8.4	0.042	250	250	-2258521.0	-2261440.0	-2263620.0	-2263630.0	-2707890.0	-2704120.0	-2704070.0	-2702344.0	-3.59285548	-0.386936973	26.3372408	1711449718.1341333	6	1.0	26-03-24 11:41:58.134190
8.999	0.045	250	250	-1882054.0	-1884229.0	-1886079.0	-1886278.0	-2256636.0	-2253277.0	-2253302.0	-2251769.0	-2.99432483	-0.322468044	26.8440802	1711449726.1672645	6	1.0	26-03-24 11:42:06.167316
9.599	0.048	250	250	-1505120.0	-1506547.0	-1508090.0	-1508465.0	-1804754.0	-1801880.0	-1801974.0	-1800606.0	-2.39506763	-0.25794288	27.4148042	1711449733.978036	6	1.0	26-03-24 11:42:13.978088
10.2	0.051	250	250	-1128104.0	-1128778.0	-1129998.0	-1130556.0	-1352857.0	-1350382.0	-1350598.0	-1349431.0	-1.79561255	-0.193376815	27.8162905	1711449741.821314	6	1.0	26-03-24 11:42:21.821366
10.801	0.054	250	250	-750885.0	-750808.6	-751704.1	-752453.2	-900693.1	-898638.6	-898890.8	-897952.6	-1.19586383	-0.128786425	28.3037779	1711449749.883094	6	1.0	26-03-24 11:42:29.883159
11.4	0.057	250	250	-374290.0	-373467.3	-374056.0	-374982.8	-449328.5	-447730.4	-448065.6	-447276.9	-0.59706096	-0.0643040242	28.6886768	1711449757.697413	6	1.0	26-03-24 11:42:37.697479
12.0	0.06	250	250	2538.504	4113.08	3839.496	2726.212	2425.556	3529.34	3143.748	3758.348	0.00210859882	0.000230653977	29.1393031	1711449765.7323122	6	1.0	26-03-24 11:42:45.732368
12.6	0.063	250	250	379095.5	381406.2	381460.7	380168.4	453698.3	454375.6	453916.0	454309.0	0.600842108	0.0647086741	29.6341628	1711449773.8111682	6	1.0	26-03-24 11:42:53.811223
13.2	0.066	250	250	756030.7	759085.8	759460.3	757990.1	905518.2	905779.2	905260.4	905431.0	1.20013972	0.129241172	30.0512347	1711449781.8749022	6	1.0	26-03-24 11:43:01.874963
13.799	0.069	250	250	1132418.0	1136225.0	1136928.0	1135260.0	1356698.0	1356472.0	1355884.0	1355909.0	1.7985628	0.193689015	30.6433752	1711449789.725698	6	1.0	26-03-24 11:43:09.725770
14.399	0.073	250	250	1509195.0	1513744.0	1514771.0	1512908.0	1808281.0	1807638.0	1806949.0	1806773.0	2.39762016	0.258205812	31.0385473	1711449797.7904139	6	1.0	26-03-24 11:43:17.790464
14.999	0.076	250	250	1885769.0	1891062.0	1892410.0	1890364.0	2259593.0	2258449.0	2257742.0	2257385.0	2.99636842	0.322671093	31.5956303	1711449805.6473517	6	1.0	26-03-24 11:43:25.647404
15.6	0.079	250	250	2263087.0	2269136.0	2270818.0	2268568.0	2711872.0	2710306.0	2709486.0	2708963.0	3.59628138	0.387269269	32.0908073	1711449813.6982949	6	1.0	26-03-24 11:43:33.698345
16.2	0.082	250	250	2640140.0	2646932.0	2648957.0	2646502.0	3163588.0	3161619.0	3160741.0	3160035.0	4.19569294	0.451810554	32.4106729	1711449821.7841866	6	1.0	26-03-24 11:43:41.784241
16.8	0.085	250	250	3016680.0	3024250.0	3026575.0	3023943.0	3614892.0	3612394.0	3611464.0	3610586.0	4.79440775	0.516270228	32.9778182	1711449829.5979981	6	1.0	26-03-24 11:43:49.598050
17.4	0.088	250	250	3393543.0	3401858.0	3404518.0	3401676.0	4066614.0	4063695.0	4062657.0	4061604.0	5.39360161	0.580790558	33.2687088	1711449837.653707	6	1.0	26-03-24 11:43:57.653757
18.0	0.091	250	250	3770500.0	3779554.0	3782547.0	3779497.0	4518350.0	4514902.0	4513836.0	4512605.0	5.99293605	0.645304972	33.5254567	1711449845.5288568	6	1.0	26-03-24 11:44:05.528913
18.6	0.094	250	250	4147268.0	4157091.0	4160418.0	4157168.0	4969916.0	4966031.0	4964813.0	4963434.0	6.59195802	0.709824572	33.8404278	1711449853.4123268	6	1.0	26-03-24 11:44:13.412378
19.199	0.097	250	250	4523713.0	4534275.0	4537946.0	4534495.0	5421026.0	5416707.0	5415482.0	5413930.0	7.19043434	0.774259615	34.19901	1711449861.2903275	6	1.0	26-03-24 11:44:21.290379
