# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	
0.023	0.0	250	250	21.5139832	1714478934.8103478	-11.9536299	-7453849.0	-7466889.0	-7473453.0	-7471073.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	1701.0168301683018	30-04-24 14:09:01.243720
0.599	0.003	250	250	21.6001302	1714478961.2815979	-11.3798906	-7155718.0	-7168310.0	-7174691.0	-7172275.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	1701.0168301683018	30-04-24 14:09:27.712870
1.2	0.006	250	250	21.8929724	1714478987.75045	-10.7812117	-6779252.0	-6791063.0	-6797165.0	-6794893.0	-1.16105091	-8126230.0	-8117272.0	-8116302.0	-8112289.0	20	1701.0168301683018	30-04-24 14:09:54.193420
1.799	0.009	250	250	22.0231032	1714479014.2378478	-10.1826919	-6402840.0	-6413905.0	-6419649.0	-6417599.0	-1.09666944	-7675568.0	-7667089.0	-7666177.0	-7662336.0	20	1701.0168301683018	30-04-24 14:10:20.677244
2.4	0.012	250	250	22.2635289	1714479040.7153835	-9.58269023	-6025461.0	-6035777.0	-6041259.0	-6039362.0	-1.03212001	-7223764.0	-7215690.0	-7214844.0	-7211212.0	20	1701.0168301683018	30-04-24 14:10:47.158034
3.0	0.015	250	250	22.4896767	1714479067.1951478	-8.98370726	-5648747.0	-5658359.0	-5663507.0	-5661787.0	-0.967666507	-6772645.0	-6764969.0	-6764252.0	-6760792.0	20	1701.0168301683018	30-04-24 14:11:13.638718
3.599	0.018	250	250	22.6725114	1714479093.681785	-8.38500395	-5272212.0	-5281112.0	-5285909.0	-5284381.0	-0.903239429	-6321705.0	-6314458.0	-6313823.0	-6310571.0	20	1701.0168301683018	30-04-24 14:11:40.124848
4.199	0.021	250	250	22.6194242	1714479120.1816366	-7.78565311	-4895264.0	-4903409.0	-4907899.0	-4906553.0	-0.838730232	-5870128.0	-5863331.0	-5862738.0	-5859671.0	20	1701.0168301683018	30-04-24 14:12:06.624103
4.798	0.024	250	250	22.6240238	1714479146.6816785	-7.18694265	-4518701.0	-4526117.0	-4530245.0	-4529101.0	-0.774288659	-5419141.0	-5412730.0	-5412228.0	-5409373.0	20	1701.0168301683018	30-04-24 14:12:33.126590
5.399	0.027	250	250	22.4224073	1714479173.1805286	-6.58729323	-4141622.0	-4148275.0	-4152090.0	-4151140.0	-0.709728255	-4967219.0	-4961269.0	-4960830.0	-4958202.0	20	1701.0168301683018	30-04-24 14:12:59.622002
