# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC1	temp_pt100	time	Delay	a	
0.081	0.0	250	250	-7447605.0	-7461038.0	-7467988.0	-7465722.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	21.3942974	1714004892.8566387	6	126.0	25-04-24 02:28:12.856696
0.6	0.002	250	250	-7153887.0	-7166430.0	-7172918.0	-7170441.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	21.5114917	1714004899.62874	6	126.0	25-04-24 02:28:19.628803
1.2	0.005	250	250	-6778896.0	-6790678.0	-6796813.0	-6794531.0	-8125290.0	-8116348.0	-8115331.0	-8111322.0	-1.16091751	21.5177204	1714004906.4138284	6	126.0	25-04-24 02:28:26.413882
1.8	0.008	250	250	-6402971.0	-6414046.0	-6419817.0	-6417718.0	-7674497.0	-7666042.0	-7665082.0	-7661253.0	-1.09651571	21.5978304	1714004913.1984305	6	126.0	25-04-24 02:28:33.198484
2.401	0.011	250	250	-6025796.0	-6036108.0	-6041587.0	-6039689.0	-7222288.0	-7214285.0	-7213392.0	-7209730.0	-1.0319161	21.6151747	1714004919.9838042	6	126.0	25-04-24 02:28:39.983856
3.0	0.014	250	250	-5649253.0	-5658812.0	-5663979.0	-5662249.0	-6770853.0	-6763244.0	-6762432.0	-6759006.0	-0.967409738	21.5918892	1714004926.7693071	6	126.0	25-04-24 02:28:46.769399
3.6	0.018	250	250	-5272778.0	-5281591.0	-5286437.0	-5284898.0	-6319640.0	-6312441.0	-6311751.0	-6308454.0	-0.9029404	21.6625124	1714004933.5537753	6	126.0	25-04-24 02:28:53.553830
4.2	0.021	250	250	-4895872.0	-4903985.0	-4908474.0	-4907139.0	-5867686.0	-5860966.0	-5860315.0	-5857217.0	-0.838383244	21.7018008	1714004940.3348985	6	126.0	25-04-24 02:29:00.334951
4.8	0.024	250	250	-4519301.0	-4526663.0	-4530799.0	-4529670.0	-5416262.0	-5409958.0	-5409402.0	-5406528.0	-0.773894185	21.7070712	1714004947.1399908	6	126.0	25-04-24 02:29:07.140045
5.4	0.027	250	250	-4142227.0	-4148857.0	-4152650.0	-4151702.0	-4964270.0	-4958400.0	-4957927.0	-4955219.0	-0.709318224	21.8157371	1714004953.9494586	6	126.0	25-04-24 02:29:13.949511
6.0	0.03	250	250	-3765639.0	-3771522.0	-3775016.0	-3774255.0	-4513056.0	-4507564.0	-4507179.0	-4504674.0	-0.644855847	21.8107542	1714004960.7539215	6	126.0	25-04-24 02:29:20.753977
6.6	0.033	250	250	-3388567.0	-3393708.0	-3396885.0	-3396303.0	-4061266.0	-4056228.0	-4055933.0	-4053608.0	-0.580311044	21.8869354	1714004967.5342157	6	126.0	25-04-24 02:29:27.534268
7.199	0.036	250	250	-3012021.0	-3016404.0	-3019256.0	-3018862.0	-3610172.0	-3605557.0	-3605334.0	-3603216.0	-0.515868067	21.9260321	1714004974.3199363	6	126.0	25-04-24 02:29:34.320021
7.8	0.039	250	250	-2634663.0	-2638320.0	-2640847.0	-2640641.0	-3158037.0	-3153875.0	-3153718.0	-3151805.0	-0.451276235	21.9165454	1714004981.1015897	6	126.0	25-04-24 02:29:41.101643
8.4	0.042	250	250	-2258165.0	-2261056.0	-2263265.0	-2263249.0	-2706915.0	-2703198.0	-2703111.0	-2701364.0	-0.38682466	22.0208992	1714004987.8807044	6	126.0	25-04-24 02:29:47.880758
8.999	0.045	250	250	-1881747.0	-1883890.0	-1885778.0	-1885946.0	-2255871.0	-2252576.0	-2252564.0	-2251015.0	-0.322388267	22.0960262	1714004994.662692	6	126.0	25-04-24 02:29:54.662751
9.599	0.048	250	250	-1504839.0	-1506243.0	-1507793.0	-1508160.0	-1804253.0	-1801379.0	-1801444.0	-1800118.0	-0.257871503	22.0796401	1714005001.444449	6	126.0	25-04-24 02:30:01.444502
10.199	0.051	250	250	-1127766.0	-1128438.0	-1129666.0	-1130216.0	-1352398.0	-1349961.0	-1350096.0	-1348951.0	-0.1933201	22.1778611	1714005008.2317028	6	126.0	25-04-24 02:30:08.231755
