# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC1	temp_pt100	time	Delay	a	
0.076	0.0	250	250	-7452770.0	-7465880.0	-7472589.0	-7470215.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	21.8890435	1714104017.892665	6	209.0	26-04-24 06:00:17.892753
0.6	0.002	250	250	-7154093.0	-7166663.0	-7173028.0	-7170589.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	21.8055797	1714104024.6873147	6	209.0	26-04-24 06:00:24.687373
1.2	0.005	250	250	-6778940.0	-6790790.0	-6796854.0	-6794575.0	-8124234.0	-8115354.0	-8114345.0	-8110315.0	-1.16077163	21.8526299	1714104031.4731286	6	209.0	26-04-24 06:00:31.473182
1.8	0.008	250	250	-6403015.0	-6414096.0	-6419840.0	-6417754.0	-7673640.0	-7665221.0	-7664278.0	-7660414.0	-1.09639877	21.7678245	1714104038.256008	6	209.0	26-04-24 06:00:38.256061
2.4	0.011	250	250	-6025854.0	-6036195.0	-6041594.0	-6039703.0	-7221406.0	-7213381.0	-7212566.0	-7208910.0	-1.03177923	21.7315067	1714104045.0365355	6	209.0	26-04-24 06:00:45.036589
3.0	0.015	250	250	-5649266.0	-5658838.0	-5663939.0	-5662233.0	-6770091.0	-6762523.0	-6761760.0	-6758283.0	-0.967303311	21.6098085	1714104051.8184705	6	209.0	26-04-24 06:00:51.818524
3.6	0.018	250	250	-5272794.0	-5281628.0	-5286405.0	-5284870.0	-6319063.0	-6311935.0	-6311203.0	-6307941.0	-0.902864624	21.5522175	1714104058.602204	6	209.0	26-04-24 06:00:58.602259
4.2	0.021	250	250	-4895906.0	-4904024.0	-4908473.0	-4907120.0	-5867281.0	-5860580.0	-5859953.0	-5856866.0	-0.838324906	21.5121625	1714104065.3855345	6	209.0	26-04-24 06:01:05.385589
4.799	0.024	250	250	-4519354.0	-4526723.0	-4530842.0	-4529687.0	-5415946.0	-5409668.0	-5409142.0	-5406255.0	-0.773846455	21.4842773	1714104072.2294855	6	209.0	26-04-24 06:01:12.229539
5.4	0.027	250	250	-4142278.0	-4148893.0	-4152696.0	-4151746.0	-4964317.0	-4958466.0	-4957976.0	-4955279.0	-0.709324284	21.3724492	1714104079.011785	6	209.0	26-04-24 06:01:19.011838
