# 
hvpsu1	hvpsu2	hvpsu3	hvpsu4	VDC	IDC	Delay	a	b	
0.0	-2.700000000000001	0.0	-2.700000000000001	-0.0430686798	0.0004896094251724483	2.0	0.0	-2.700000000000001	18-06-24 15:57:28.654710
0.0	-2.4000000000000004	0.0	-2.4000000000000004	-0.0430237227	0.0004354468379486154	2.0	0.0	-2.4000000000000004	18-06-24 15:57:37.852014
0.0	-2.0999999999999996	0.0	-2.0999999999999996	-0.0429742813	0.0003799043346995901	2.0	0.0	-2.0999999999999996	18-06-24 15:57:42.169594
0.0	-1.8000000000000007	0.0	-1.8000000000000007	-0.0429912454	0.0003261249325202439	2.0	0.0	-1.8000000000000007	18-06-24 15:57:46.505222
0.0	-1.5	0.0	-1.5	-0.0429478544	0.00027200387483754875	2.0	0.0	-1.5	18-06-24 15:57:53.520516
0.0	-1.1999999999999993	0.0	-1.1999999999999993	-0.0429454309	0.00021648587023892832	2.0	0.0	-1.1999999999999993	18-06-24 15:57:58.547957
0.0	-0.9000000000000004	0.0	-0.9000000000000004	-0.0428816139	0.0001623221877436769	2.0	0.0	-0.9000000000000004	18-06-24 15:58:05.652269
0.0	-0.6000000000000014	0.0	-0.6000000000000014	-0.0430002467	0.00010815800679796061	2.0	0.0	-0.6000000000000014	18-06-24 15:58:10.130851
0.0	-0.3000000000000007	0.0	-0.3000000000000007	-0.0428799982	5.264881675497351e-05	2.0	0.0	-0.3000000000000007	18-06-24 15:58:14.614011
0.0	0.0	0.0	0.0	-0.0429330541	-1.5243775487353792e-06	2.0	0.0	0.0	18-06-24 15:58:24.003515
0.0	0.3000000000000007	0.0	0.3000000000000007	-0.0429978233	-5.675376007197841e-05	2.0	0.0	0.3000000000000007	18-06-24 15:58:28.699745
0.0	0.6000000000000014	0.0	0.6000000000000014	-0.0427048186	-0.00011095832610216936	2.0	0.0	0.6000000000000014	18-06-24 15:58:39.588691
0.0	0.9000000000000004	0.0	0.9000000000000004	-0.0430729497	-0.00016518022153353995	2.0	0.0	0.9000000000000004	18-06-24 15:58:44.064862
0.0	1.2000000000000028	0.0	1.2000000000000028	-0.0430187109	-0.00022075765870238927	2.0	0.0	1.2000000000000028	18-06-24 15:58:53.681074
0.0	1.5	0.0	1.5	-0.0430245964	-0.00027498928921323605	2.0	0.0	1.5	18-06-24 15:58:58.068371
0.0	1.8000000000000007	0.0	1.8000000000000007	-0.0430990304	-0.0003291792142357293	2.0	0.0	1.8000000000000007	18-06-24 15:59:02.357107
0.0	2.099999999999998	0.0	2.099999999999998	-0.0430042857	-0.00038438663600919726	2.0	0.0	2.099999999999998	18-06-24 15:59:09.646915
0.0	2.3999999999999986	0.0	2.3999999999999986	-0.0430835666	-0.00043853682495251424	2.0	0.0	2.3999999999999986	18-06-24 15:59:14.120092
0.0	2.6999999999999993	0.0	2.6999999999999993	-0.0432187019	-0.0004927081835449365	2.0	0.0	2.6999999999999993	18-06-24 15:59:26.511255
0.0	3.0	0.0	3.0	-0.0431031849	-0.0005482332760171949	2.0	0.0	3.0	18-06-24 15:59:38.338256
0.0	3.3000000000000007	0.0	3.3000000000000007	-0.0430717957	-0.0006023826931920423	2.0	0.0	3.3000000000000007	18-06-24 15:59:42.886080
0.0	3.6000000000000014	0.0	3.6000000000000014	-0.0431228032	-0.0006565331800459862	2.0	0.0	3.6000000000000014	18-06-24 15:59:47.263283
0.0	3.8999999999999986	0.0	3.8999999999999986	-0.0429271975	-0.0007120225012496251	2.0	0.0	3.8999999999999986	18-06-24 15:59:55.691448
0.0	4.199999999999999	0.0	4.199999999999999	-0.0429687421	-0.0007658056383085074	2.0	0.0	4.199999999999999	18-06-24 16:00:00.066048
0.0	4.5	0.0	4.5	-0.0432260876	-0.0008199982525242427	2.0	0.0	4.5	18-06-24 16:00:09.383920
0.0	4.800000000000001	0.0	4.800000000000001	-0.0429970154	-0.0008755565930220933	2.0	0.0	4.800000000000001	18-06-24 16:00:15.138616
0.0	5.100000000000001	0.0	5.100000000000001	-0.0428264519	-0.0009296999080275918	2.0	0.0	5.100000000000001	18-06-24 16:00:24.376168
0.0	5.400000000000002	0.0	5.400000000000002	-0.0426108817	-0.000983862645206438	2.0	0.0	5.400000000000002	18-06-24 16:00:28.527461
0.0	5.699999999999999	0.0	5.699999999999999	-0.0428848451	-0.0010394584824552635	2.0	0.0	5.699999999999999	18-06-24 16:00:32.846170
0.0	6.0	0.0	6.0	-0.0431629629	-0.001093224588623413	2.0	0.0	6.0	18-06-24 16:00:37.129226
0.0	6.299999999999997	0.0	6.299999999999997	-0.0429960922	-0.0011473898650404878	2.0	0.0	6.299999999999997	18-06-24 16:00:41.345751
0.0	6.599999999999998	0.0	6.599999999999998	0.126873773	-0.0011723032090372888	2.0	0.0	6.599999999999998	18-06-24 16:00:45.543727
0.0	6.899999999999999	0.0	6.899999999999999	0.425394251	-0.0011728148695391383	2.0	0.0	6.899999999999999	18-06-24 16:00:49.994187
0.0	7.199999999999999	0.0	7.199999999999999	0.722947778	-0.0011732639368189544	2.0	0.0	7.199999999999999	18-06-24 16:00:54.243318
0.0	7.5	0.0	7.5	1.02949582	-0.0011737186803958812	2.0	0.0	7.5	18-06-24 16:00:58.363339
0.0	7.800000000000001	0.0	7.800000000000001	1.3277121	-0.0011742041987403778	2.0	0.0	7.800000000000001	18-06-24 16:01:02.629404
0.0	8.100000000000001	0.0	8.100000000000001	1.62421294	-0.00117466611216635	2.0	0.0	8.100000000000001	18-06-24 16:01:06.949005
0.0	8.400000000000002	0.0	8.400000000000002	1.93020717	-0.0011750987463760873	2.0	0.0	8.400000000000002	18-06-24 16:01:11.126188
