# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp	time	Delay	a	
0.093	0.0	250	250	-7448470.0	-7461984.0	-7468694.0	-7466828.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.8841607	9.9e+37	18.1958442	1711459690.6300695	6	32.0	26-03-24 14:28:10.630137
0.6	0.002	250	250	-7154113.0	-7166634.0	-7172780.0	-7170657.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.376952	9.9e+37	18.3143476	1711459698.6403286	6	32.0	26-03-24 14:28:18.640387
1.2	0.005	250	250	-6779094.0	-6790850.0	-6796722.0	-6794727.0	-8126195.0	-8117555.0	-8116434.0	-8112271.0	-10.7803496	-1.16102969	18.3720521	1711459706.6897776	6	32.0	26-03-24 14:28:26.689826
1.8	0.008	250	250	-6403160.0	-6414155.0	-6419754.0	-6417922.0	-7675577.0	-7667345.0	-7666324.0	-7662305.0	-10.1825837	-1.09662763	18.4278952	1711459714.5137115	6	32.0	26-03-24 14:28:34.513766
2.401	0.012	250	250	-6025903.0	-6036185.0	-6041475.0	-6039789.0	-7223109.0	-7215336.0	-7214390.0	-7210551.0	-9.58273968	-1.03197834	18.4781541	1711459722.535697	6	32.0	26-03-24 14:28:42.535751
3.001	0.015	250	250	-5649251.0	-5658779.0	-5663772.0	-5662251.0	-6771604.0	-6764242.0	-6763385.0	-6759751.0	-8.98394208	-0.96748739	18.5097985	1711459730.3599005	6	32.0	26-03-24 14:28:50.359957
3.6	0.018	250	250	-5272783.0	-5281579.0	-5286228.0	-5284891.0	-6320217.0	-6313242.0	-6312484.0	-6309044.0	-8.38530125	-0.902990136	18.4983277	1711459738.3833342	6	32.0	26-03-24 14:28:58.383388
4.2	0.021	250	250	-4895922.0	-4903966.0	-4908294.0	-4907141.0	-5868497.0	-5861939.0	-5861264.0	-5858030.0	-7.78614362	-0.838466108	18.5898403	1711459746.2135787	6	32.0	26-03-24 14:29:06.213632
4.8	0.024	250	250	-4519371.0	-4526689.0	-4530711.0	-4529731.0	-5417349.0	-5411190.0	-5410596.0	-5407552.0	-7.18745019	-0.774018151	18.5777409	1711459754.0157757	6	32.0	26-03-24 14:29:14.015823
5.4	0.027	250	250	-4142291.0	-4148839.0	-4152557.0	-4151742.0	-4965330.0	-4959597.0	-4959063.0	-4956235.0	-6.58780874	-0.709422664	18.490882	1711459761.8543136	6	32.0	26-03-24 14:29:21.854368
