# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC1	temp_pt100	time	Delay	a	
0.103	0.0	250	250	-7444194.0	-7457624.0	-7464649.0	-7462542.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	22.5293484	1714079821.8543348	6	122.0	25-04-24 23:17:01.854395
0.6	0.002	250	250	-7154020.0	-7166561.0	-7172997.0	-7170616.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	22.5846396	1714079828.625452	6	122.0	25-04-24 23:17:08.625514
1.2	0.005	250	250	-6779037.0	-6790837.0	-6796955.0	-6794758.0	-8124657.0	-8115736.0	-8114760.0	-8110732.0	-1.16084965	22.6447221	1714079835.408662	6	122.0	25-04-24 23:17:15.408710
1.8	0.008	250	250	-6403082.0	-6414160.0	-6419975.0	-6417908.0	-7674122.0	-7665591.0	-7664742.0	-7660883.0	-1.09647741	22.6830522	1714079842.1891031	6	122.0	25-04-24 23:17:22.189158
2.4	0.011	250	250	-6025919.0	-6036251.0	-6041736.0	-6039868.0	-7222036.0	-7213944.0	-7213125.0	-7209469.0	-1.03187928	22.6788359	1714079848.9708345	6	122.0	25-04-24 23:17:28.970881
3.0	0.015	250	250	-5649312.0	-5658924.0	-5664027.0	-5662383.0	-6770744.0	-6763080.0	-6762332.0	-6758896.0	-0.967405446	22.7163994	1714079855.7571528	6	122.0	25-04-24 23:17:35.757206
3.6	0.018	250	250	-5272800.0	-5281655.0	-5286464.0	-5284969.0	-6319515.0	-6312278.0	-6311653.0	-6308366.0	-0.902941451	22.6848729	1714079862.541596	6	122.0	25-04-24 23:17:42.541649
4.2	0.021	250	250	-4895962.0	-4904070.0	-4908565.0	-4907256.0	-5867932.0	-5861119.0	-5860591.0	-5857457.0	-0.83842114	22.6605332	1714079869.3243487	6	122.0	25-04-24 23:17:49.324402
4.799	0.024	250	250	-4519427.0	-4526799.0	-4530975.0	-4529854.0	-5416611.0	-5410227.0	-5409721.0	-5406858.0	-0.773935959	22.6586167	1714079876.1078534	6	122.0	25-04-24 23:17:56.107908
5.4	0.027	250	250	-4142335.0	-4148964.0	-4152807.0	-4151874.0	-4964823.0	-4958891.0	-4958462.0	-4955752.0	-0.709394619	22.642039	1714079882.8919315	6	122.0	25-04-24 23:18:02.891987
5.999	0.03	250	250	-3765724.0	-3771595.0	-3775124.0	-3774377.0	-4513535.0	-4508041.0	-4507666.0	-4505179.0	-0.644924866	22.621724	1714079889.6750944	6	122.0	25-04-24 23:18:09.675146
6.6	0.033	250	250	-3388673.0	-3393812.0	-3396997.0	-3396434.0	-4061699.0	-4056631.0	-4056355.0	-4054023.0	-0.580368186	22.5785068	1714079896.460215	6	122.0	25-04-24 23:18:16.460261
7.199	0.036	250	250	-3012150.0	-3016547.0	-3019405.0	-3019047.0	-3610416.0	-3605771.0	-3605568.0	-3603436.0	-0.515899809	22.5199575	1714079903.2421067	6	122.0	25-04-24 23:18:23.242159
7.8	0.039	250	250	-2634831.0	-2638479.0	-2641022.0	-2640832.0	-3158305.0	-3154117.0	-3153996.0	-3152030.0	-0.451307435	22.4979177	1714079910.0258167	6	122.0	25-04-24 23:18:30.025870
8.399	0.042	250	250	-2258381.0	-2261289.0	-2263507.0	-2263495.0	-2707192.0	-2703431.0	-2703369.0	-2701628.0	-0.386855128	22.4940846	1714079916.8070867	6	122.0	25-04-24 23:18:36.807141
8.999	0.045	250	250	-1881856.0	-1884009.0	-1885899.0	-1886087.0	-2256043.0	-2252718.0	-2252736.0	-2251196.0	-0.322410776	22.3258154	1714079923.5881338	6	122.0	25-04-24 23:18:43.588189
9.599	0.048	250	250	-1504957.0	-1506370.0	-1507934.0	-1508303.0	-1804397.0	-1801487.0	-1801580.0	-1800236.0	-0.257881835	22.4016132	1714079930.3709567	6	122.0	25-04-24 23:18:50.371009
10.199	0.051	250	250	-1127913.0	-1128588.0	-1129818.0	-1130374.0	-1352570.0	-1350108.0	-1350286.0	-1349092.0	-0.193325665	22.3032964	1714079937.156807	6	122.0	25-04-24 23:18:57.156858
10.799	0.054	250	250	-750632.6	-750567.5	-751476.1	-752223.2	-900454.8	-898447.5	-898684.9	-897692.7	-0.128743085	22.2901683	1714079943.9402814	6	122.0	25-04-24 23:19:03.940344
