# 
DCA	Source_Voltage	Source_Current	Delay	
4.36782038e-05	345.0	5.295686e-05	3.0	05-12-23 15:14:53.015157
4.42881774e-05	350.0	5.44549e-05	3.0	05-12-23 15:14:56.210919
4.49009875e-05	355.0	5.505098e-05	3.0	05-12-23 15:14:59.261839
4.56197144e-05	360.0	5.942745e-05	3.0	05-12-23 15:15:02.333608
4.62472289e-05	365.0	5.452549e-05	3.0	05-12-23 15:15:05.406097
4.68678763e-05	370.0	5.454902e-05	3.0	05-12-23 15:15:08.477574
4.75011383e-05	375.0	6.047059e-05	3.0	05-12-23 15:15:11.549567
4.82312107e-05	380.0	5.420392e-05	3.0	05-12-23 15:15:14.621850
4.88549185e-05	385.0	6.316078e-05	3.0	05-12-23 15:15:17.654327
4.94810894e-05	390.0	6.291765e-05	3.0	05-12-23 15:15:20.684391
5.01082307e-05	395.0	6.487058e-05	3.0	05-12-23 15:15:23.735043
5.08284505e-05	400.0	6.149019e-05	3.0	05-12-23 15:15:26.807554
5.14585028e-05	405.0	5.904314e-05	3.0	05-12-23 15:15:29.879513
5.20989304e-05	410.0	6.399216e-05	3.0	05-12-23 15:15:32.911591
5.26913632e-05	415.0	6.34902e-05	3.0	05-12-23 15:15:35.941548
5.33950124e-05	420.0	6.157647e-05	3.0	05-12-23 15:15:38.993093
5.39957305e-05	425.0	6.022746e-05	3.0	05-12-23 15:15:42.065452
5.45816694e-05	430.0	6.156079e-05	3.0	05-12-23 15:15:45.136984
5.51831339e-05	435.0	6.76549e-05	3.0	05-12-23 15:15:48.209782
5.58628977e-05	440.0	6.469804e-05	3.0	05-12-23 15:15:51.281834
5.64572712e-05	445.0	6.437647e-05	3.0	05-12-23 15:15:54.353140
5.70462705e-05	450.0	6.779608e-05	3.0	05-12-23 15:15:57.387282
5.76386287e-05	455.0	6.618039e-05	3.0	05-12-23 15:16:00.498172
5.83127197e-05	460.0	6.850196e-05	3.0	05-12-23 15:16:03.621172
5.89393385e-05	465.0	6.915294e-05	3.0	05-12-23 15:16:06.650470
5.95581945e-05	470.0	6.97098e-05	3.0	05-12-23 15:16:09.716736
6.01801109e-05	475.0	7.032941e-05	3.0	05-12-23 15:16:12.785716
6.09025699e-05	480.0	7.103529e-05	3.0	05-12-23 15:16:15.857287
6.15266509e-05	485.0	7.160785e-05	3.0	05-12-23 15:16:18.929698
6.21504333e-05	490.0	7.219608e-05	3.0	05-12-23 15:16:22.003014
6.27736932e-05	495.0	7.287844e-05	3.0	05-12-23 15:16:25.073269
6.34929426e-05	500.0	7.355294e-05	3.0	05-12-23 15:16:28.106247
6.41126197e-05	505.0	7.417255e-05	3.0	05-12-23 15:16:31.136528
6.47442395e-05	510.0	7.476078e-05	3.0	05-12-23 15:16:34.187166
6.53750382e-05	515.0	7.534902e-05	3.0	05-12-23 15:16:37.358715
6.60983929e-05	520.0	7.607843e-05	3.0	05-12-23 15:16:40.434031
6.67158308e-05	525.0	7.671372e-05	3.0	05-12-23 15:16:43.505974
6.73281183e-05	530.0	7.727843e-05	3.0	05-12-23 15:16:46.586334
6.7942048e-05	535.0	7.790588e-05	3.0	05-12-23 15:16:49.650541
6.86621185e-05	540.0	7.856471e-05	3.0	05-12-23 15:16:52.726561
6.92793324e-05	545.0	7.920784e-05	3.0	05-12-23 15:16:55.756749
6.98925903e-05	550.0	7.97804e-05	3.0	05-12-23 15:16:58.866355
