# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	
0.023	0.0	250	250	21.4044548	1714482192.5829916	-11.9538462	-7453993.0	-7466987.0	-7473551.0	-7471179.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	2001.019800198002	30-04-24 15:03:19.014156
0.6	0.003	250	250	21.5164746	1714482219.0527017	-11.3797751	-7155710.0	-7168213.0	-7174697.0	-7172266.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	2001.019800198002	30-04-24 15:03:45.483817
1.2	0.006	250	250	21.6814859	1714482245.5220807	-10.7811164	-6779220.0	-6790995.0	-6797149.0	-6794863.0	-1.16106941	-8126287.0	-8117446.0	-8116472.0	-8112444.0	20	2001.019800198002	30-04-24 15:04:11.965396
1.799	0.009	250	250	21.849276	1714482272.0044017	-10.1826959	-6402882.0	-6413927.0	-6419731.0	-6417643.0	-1.09668745	-7675708.0	-7667249.0	-7666291.0	-7662532.0	20	2001.019800198002	30-04-24 15:04:38.447917
2.4	0.012	250	250	22.0280861	1714482298.485674	-9.58269526	-6025516.0	-6035824.0	-6041305.0	-6039369.0	-1.03211276	-7223696.0	-7215679.0	-7214838.0	-7211215.0	20	2001.019800198002	30-04-24 15:05:04.929190
3.0	0.015	250	250	22.1483469	1714482324.982407	-8.98362906	-5648741.0	-5658339.0	-5663464.0	-5661747.0	-0.967686106	-6772747.0	-6765198.0	-6764405.0	-6761026.0	20	2001.019800198002	30-04-24 15:05:31.423686
3.599	0.018	250	250	22.3115374	1714482351.481645	-8.38489371	-5272180.0	-5281002.0	-5285796.0	-5284300.0	-0.903278305	-6321892.0	-6314757.0	-6314075.0	-6310812.0	20	2001.019800198002	30-04-24 15:05:57.926009
4.199	0.021	250	250	22.4438722	1714482377.9818993	-7.78568332	-4895307.0	-4903384.0	-4907893.0	-4906552.0	-0.838801338	-5870587.0	-5863816.0	-5863266.0	-5860199.0	20	2001.019800198002	30-04-24 15:06:24.424293
4.798	0.024	250	250	22.4851729	1714482404.48117	-7.18680856	-4518679.0	-4526023.0	-4530204.0	-4529051.0	-0.77429506	-5419141.0	-5412754.0	-5412293.0	-5409420.0	20	2001.019800198002	30-04-24 15:06:50.923390
5.399	0.027	250	250	22.4647621	1714482430.9802592	-6.58722302	-4141592.0	-4148196.0	-4152053.0	-4151096.0	-0.709738848	-4967255.0	-4961354.0	-4960946.0	-4958249.0	20	2001.019800198002	30-04-24 15:07:17.420839
5.998	0.03	250	250	22.3075127	1714482457.4795475	-5.98837182	-3764971.0	-3770837.0	-3774350.0	-3773594.0	-0.645240107	-4515833.0	-4510341.0	-4510009.0	-4507502.0	20	2001.019800198002	30-04-24 15:07:43.920620
6.599	0.033	250	250	22.2265403	1714482483.9798	-5.38896897	-3387971.0	-3393083.0	-3396263.0	-3395705.0	-0.580665907	-4063826.0	-4058800.0	-4058508.0	-4056198.0	20	2001.019800198002	30-04-24 15:08:10.422462
7.199	0.036	250	250	22.0013508	1714482510.47782	-4.79035815	-3011476.0	-3015880.0	-3018722.0	-3018353.0	-0.516168345	-3612352.0	-3607760.0	-3607537.0	-3605434.0	20	2001.019800198002	30-04-24 15:08:36.921483
7.799	0.04	250	250	21.9139581	1714482536.980012	-4.19020582	-2634036.0	-2637689.0	-2640200.0	-2640020.0	-0.451525842	-3159886.0	-3155750.0	-3155597.0	-3153675.0	20	2001.019800198002	30-04-24 15:09:03.424086
8.399	0.043	250	250	21.7255655	1714482563.480225	-3.59163735	-2257570.0	-2260481.0	-2262682.0	-2262681.0	-0.387022879	-2708381.0	-2704670.0	-2704590.0	-2702880.0	20	2001.019800198002	30-04-24 15:09:29.921066
