# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp_pt100	time	Delay	a	
0.121	0.0	250	250	-7423764.0	-7437709.0	-7444662.0	-7443068.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.865563	9.9e+37	11.1182512	1711469704.0372603	6	28.0	26-03-24 17:15:04.037326
0.6	0.002	250	250	-7153675.0	-7166228.0	-7172296.0	-7170211.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	-11.3763159	9.9e+37	11.1159585	1711469712.0802288	6	28.0	26-03-24 17:15:12.080291
1.201	0.005	250	250	-6778833.0	-6790634.0	-6796429.0	-6794497.0	-8123104.0	-8114556.0	-8113427.0	-8109147.0	-10.7799736	-1.16060236	11.1972543	1711469720.15495	6	28.0	26-03-24 17:15:20.155002
1.8	0.008	250	250	-6402830.0	-6413915.0	-6419356.0	-6417604.0	-7672624.0	-7664473.0	-7663492.0	-7659369.0	-10.1821327	-1.09623166	11.1938152	1711469728.002596	6	28.0	26-03-24 17:15:28.002651
2.401	0.011	250	250	-6025659.0	-6036037.0	-6041141.0	-6039547.0	-7220536.0	-7212795.0	-7211886.0	-7207943.0	-9.58235527	-1.03163762	11.233078	1711469736.0324724	6	28.0	26-03-24 17:15:36.032527
3.001	0.014	250	250	-5649018.0	-5658650.0	-5663454.0	-5662033.0	-6769331.0	-6761960.0	-6761153.0	-6757417.0	-8.98354017	-0.967182534	11.2521839	1711469744.0761642	6	28.0	26-03-24 17:15:44.076222
3.6	0.018	250	250	-5272555.0	-5281408.0	-5285948.0	-5284677.0	-6318290.0	-6311299.0	-6310568.0	-6307045.0	-8.38495955	-0.902740699	11.3015729	1711469751.8934495	6	28.0	26-03-24 17:15:51.893503
4.2	0.021	250	250	-4895711.0	-4903830.0	-4908038.0	-4906957.0	-5866674.0	-5860164.0	-5859496.0	-5856185.0	-7.78579176	-0.838223055	11.2575336	1711469759.9183412	6	28.0	26-03-24 17:15:59.918395
4.8	0.024	250	250	-4519093.0	-4526489.0	-4530393.0	-4529482.0	-5415678.0	-5409592.0	-5408991.0	-5405931.0	-7.18703308	-0.773797011	11.2418667	1711469767.7334814	6	28.0	26-03-24 17:16:07.733536
5.4	0.027	250	250	-4142028.0	-4148674.0	-4152262.0	-4151527.0	-4963964.0	-4958261.0	-4957754.0	-4954884.0	-6.58744779	-0.709241722	11.1949616	1711469775.7873504	6	28.0	26-03-24 17:16:15.787406
6.0	0.03	250	250	-3765409.0	-3771303.0	-3774596.0	-3774034.0	-4512580.0	-4507292.0	-4506857.0	-4504213.0	-5.98868532	-0.644752789	11.1245561	1711469783.616156	6	28.0	26-03-24 17:16:23.616212
6.6	0.033	250	250	-3388333.0	-3393494.0	-3396459.0	-3396067.0	-4060662.0	-4055812.0	-4055443.0	-4053007.0	-5.38914255	-0.580200416	11.0720147	1711469791.6448119	6	28.0	26-03-24 17:16:31.644898
7.2	0.036	250	250	-3011803.0	-3016227.0	-3018900.0	-3018673.0	-3609600.0	-3605151.0	-3604864.0	-3602627.0	-4.79050671	-0.515773879	11.0723969	1711469799.7019753	6	28.0	26-03-24 17:16:39.702032
7.8	0.039	250	250	-2634408.0	-2638095.0	-2640452.0	-2640402.0	-3157489.0	-3153453.0	-3153261.0	-3151223.0	-4.19048377	-0.451167296	11.0040931	1711469807.5413537	6	28.0	26-03-24 17:16:47.541407
8.4	0.042	250	250	-2257919.0	-2260852.0	-2262911.0	-2263029.0	-2706308.0	-2702693.0	-2702581.0	-2700720.0	-3.59190332	-0.386718207	10.9765805	1711469815.5594943	6	28.0	26-03-24 17:16:55.559552
8.999	0.045	250	250	-1881505.0	-1883687.0	-1885454.0	-1885731.0	-2255467.0	-2252259.0	-2252222.0	-2250581.0	-2.99346515	-0.32230689	10.9879485	1711469823.3887208	6	28.0	26-03-24 17:17:03.388777
9.599	0.048	250	250	-1504541.0	-1505980.0	-1507438.0	-1507884.0	-1803712.0	-1800894.0	-1800934.0	-1799500.0	-2.39408979	-0.257774114	10.9002522	1711469831.1919854	6	28.0	26-03-24 17:17:11.192036
10.2	0.051	250	250	-1127475.0	-1128166.0	-1129321.0	-1129930.0	-1351869.0	-1349480.0	-1349611.0	-1348395.0	-1.79457824	-0.193215965	10.9532712	1711469839.2088764	6	28.0	26-03-24 17:17:19.208929
10.801	0.054	250	250	-750234.1	-750174.3	-751027.2	-751803.5	-899824.1	-897859.7	-898067.2	-897058.9	-1.19480172	-0.128636921	11.037433	1711469847.2456465	6	28.0	26-03-24 17:17:27.245708
11.4	0.058	250	250	-373526.6	-372728.5	-373271.7	-374223.8	-448495.4	-446940.7	-447251.2	-446424.7	-0.595932826	-0.0641679699	11.0740209	1711469855.0450282	6	28.0	26-03-24 17:17:35.045088
12.0	0.061	250	250	3349.3	4892.008	4640.54	3526.408	3080.788	4222.892	3836.716	4460.116	0.00333820846	0.000345414753	11.0779376	1711469863.0525281	6	28.0	26-03-24 17:17:43.052588
12.6	0.064	250	250	380023.6	382301.7	382355.2	381081.3	454416.7	455134.0	454674.0	455088.4	0.602240133	0.0648269334	11.1752825	1711469870.8516235	6	28.0	26-03-24 17:17:50.851685
13.2	0.067	250	250	757046.9	760069.4	760426.1	758992.7	906198.5	906511.6	905964.5	906172.4	1.20169458	0.129372656	11.1858863	1711469878.8594835	6	28.0	26-03-24 17:17:58.859546
13.799	0.07	250	250	1133550.0	1137306.0	1137973.0	1136374.0	1357331.0	1357209.0	1356574.0	1356586.0	1.8003066	0.193822071	11.1503492	1711469886.7175436	6	28.0	26-03-24 17:18:06.717603
14.399	0.073	250	250	1510417.0	1514923.0	1515883.0	1514113.0	1808833.0	1808288.0	1807593.0	1807392.0	2.39951787	0.258327832	11.1948661	1711469894.7312477	6	28.0	26-03-24 17:18:14.731301
14.999	0.076	250	250	1887041.0	1892289.0	1893545.0	1891627.0	2260237.0	2259284.0	2258509.0	2258096.0	2.99825127	0.322815762	11.1750914	1711469902.5271866	6	28.0	26-03-24 17:18:22.527281
15.6	0.079	250	250	2264352.0	2270347.0	2271906.0	2269817.0	2712484.0	2711118.0	2710245.0	2709652.0	3.59812633	0.387419501	11.156081	1711469910.3295767	6	28.0	26-03-24 17:18:30.329627
16.2	0.082	250	250	2641198.0	2647922.0	2649782.0	2647543.0	3164070.0	3162298.0	3161352.0	3160541.0	4.19723629	0.45193244	11.1734674	1711469918.3792892	6	28.0	26-03-24 17:18:38.379348
16.8	0.085	250	250	3017741.0	3025202.0	3027377.0	3024965.0	3615294.0	3613110.0	3612057.0	3611015.0	4.79590684	0.516391503	11.1742316	1711469926.4189136	6	28.0	26-03-24 17:18:46.418969
17.4	0.088	250	250	3394546.0	3402757.0	3405229.0	3402658.0	4066921.0	4064312.0	4063181.0	4061964.0	5.3949699	0.580915662	11.153024	1711469934.4415605	6	28.0	26-03-24 17:18:54.441617
18.0	0.092	250	250	3771304.0	3780247.0	3783033.0	3780298.0	4518335.0	4515341.0	4514146.0	4512670.0	5.99397498	0.645407695	11.167449	1711469942.4790037	6	28.0	26-03-24 17:19:02.479062
18.6	0.095	250	250	4148144.0	4157819.0	4160912.0	4158015.0	4970088.0	4966654.0	4965378.0	4963724.0	6.59308058	0.709947015	11.1652518	1711469950.5823965	6	28.0	26-03-24 17:19:10.582456
19.199	0.098	250	250	4524520.0	4534957.0	4538341.0	4535268.0	5421281.0	5417463.0	5416069.0	5414231.0	7.19150137	0.774389801	11.112997	1711469958.625701	6	28.0	26-03-24 17:19:18.625758
19.8	0.101	250	250	4901678.0	4912862.0	4916571.0	4913313.0	5873313.0	5869077.0	5867606.0	5865534.0	7.79107351	0.838958215	11.1710791	1711469966.6944396	6	28.0	26-03-24 17:19:26.694534
20.4	0.104	250	250	5278486.0	5290395.0	5294419.0	5290984.0	6324612.0	6319967.0	6318424.0	6316165.0	8.39012615	0.903427161	11.1965856	1711469974.7321577	6	28.0	26-03-24 17:19:34.732249
21.0	0.107	250	250	5654919.0	5667608.0	5671905.0	5668304.0	6775686.0	6770607.0	6768962.0	6766519.0	8.98871556	0.967858667	11.2280149	1711469982.7438214	6	28.0	26-03-24 17:19:42.743906
21.6	0.11	250	250	6031331.0	6044772.0	6049381.0	6045609.0	7226484.0	7220992.0	7219241.0	7216581.0	9.58707328	1.03225473	11.2918288	1711469990.7790065	6	28.0	26-03-24 17:19:50.779058
22.199	0.113	250	250	6407263.0	6421452.0	6426340.0	6422417.0	7676848.0	7670959.0	7669102.0	7666280.0	10.184749	1.0965824	11.2938349	1711469998.58251	6	28.0	26-03-24 17:19:58.582567
22.799	0.117	250	250	6783434.0	6798398.0	6803557.0	6799501.0	8127604.0	8121300.0	8119397.0	8116351.0	10.7828646	1.16099881	11.3274614	1711470006.6350067	6	28.0	26-03-24 17:20:06.635062
23.399	0.12	250	250	6840206.0	7487686.0	6861336.0	7489307.0	8388607.0	8388607.0	8388607.0	8388607.0	11.3800576	9.9e+37	11.4024523	1711470014.4238753	6	28.0	26-03-24 17:20:14.423938
23.999	0.123	250	250	6831514.0	7487922.0	6852744.0	7489522.0	8388607.0	8388607.0	8388607.0	8388607.0	11.9652891	9.9e+37	11.4676036	1711470022.267715	6	28.0	26-03-24 17:20:22.267778
