# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	temp_pt100	time	VDC10	ch1a	ch2a	ch3a	ch4a	VDC1	ch1b	ch2b	ch3b	ch4b	Delay	a	
0.023	0.0	250	250	21.4131749	1714477848.9149046	-11.9539366	-7453794.0	-7466788.0	-7473361.0	-7470963.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	1601.0158401584015	30-04-24 13:50:55.350223
0.599	0.003	250	250	21.3800194	1714477875.3895712	-11.3800187	-7155833.0	-7168400.0	-7174818.0	-7172338.0	9.9e+37	-8388608.0	-8388608.0	-8388608.0	-8388608.0	20	1601.0158401584015	30-04-24 13:51:21.820260
1.2	0.006	250	250	21.4382812	1714477901.8591092	-10.7812249	-6779261.0	-6791135.0	-6797225.0	-6794948.0	-1.16105184	-8126233.0	-8117283.0	-8116327.0	-8112246.0	20	1601.0158401584015	30-04-24 13:51:48.300551
1.799	0.009	250	250	21.5762697	1714477928.3390808	-10.18279	-6402914.0	-6413978.0	-6419733.0	-6417677.0	-1.09663802	-7675374.0	-7666831.0	-7665929.0	-7662092.0	20	1601.0158401584015	30-04-24 13:52:14.781011
2.4	0.012	250	250	21.6592544	1714477954.8187294	-9.5827626	-6025533.0	-6035852.0	-6041284.0	-6039420.0	-1.03208476	-7223573.0	-7215459.0	-7214613.0	-7210976.0	20	1601.0158401584015	30-04-24 13:52:41.260490
3.0	0.015	250	250	21.8398851	1714477981.316641	-8.98378532	-5648825.0	-5658423.0	-5663538.0	-5661847.0	-0.967659876	-6772604.0	-6764940.0	-6764164.0	-6760719.0	20	1601.0158401584015	30-04-24 13:53:07.760610
3.599	0.018	250	250	21.9528632	1714478007.8157241	-8.38509173	-5272278.0	-5281116.0	-5285936.0	-5284402.0	-0.903247948	-6321747.0	-6314547.0	-6313838.0	-6310595.0	20	1601.0158401584015	30-04-24 13:53:34.257012
4.199	0.021	250	250	22.1221865	1714478034.3151848	-7.78574737	-4895335.0	-4903478.0	-4907943.0	-4906599.0	-0.838746647	-5870300.0	-5863490.0	-5862868.0	-5859811.0	20	1601.0158401584015	30-04-24 13:54:00.757559
4.799	0.024	250	250	22.3919348	1714478060.8151512	-7.18695952	-4518744.0	-4526120.0	-4530277.0	-4529127.0	-0.774273291	-5419020.0	-5412650.0	-5412100.0	-5409217.0	20	1601.0158401584015	30-04-24 13:54:27.258407
5.399	0.027	250	250	22.577836	1714478087.3141854	-6.58739922	-4141658.0	-4148311.0	-4152100.0	-4151166.0	-0.709707213	-4967066.0	-4961157.0	-4960686.0	-4958037.0	20	1601.0158401584015	30-04-24 13:54:53.755329
5.998	0.03	250	250	22.7206157	1714478113.814162	-5.98860396	-3765073.0	-3770966.0	-3774477.0	-3773696.0	-0.645230018	-4515765.0	-4510233.0	-4509889.0	-4507405.0	20	1601.0158401584015	30-04-24 13:55:20.257028
6.599	0.033	250	250	22.7434221	1714478140.313832	-5.38908408	-3387992.0	-3393162.0	-3396327.0	-3395737.0	-0.580660106	-4063814.0	-4058759.0	-4058443.0	-4056168.0	20	1601.0158401584015	30-04-24 13:55:46.755463
7.199	0.036	250	250	22.6017923	1714478166.8135684	-4.79040932	-3011490.0	-3015897.0	-3018753.0	-3018357.0	-0.516165836	-3612372.0	-3607739.0	-3607517.0	-3605420.0	20	1601.0158401584015	30-04-24 13:56:13.254682
7.799	0.04	250	250	22.4276777	1714478193.3137465	-4.19028182	-2634067.0	-2637722.0	-2640248.0	-2640049.0	-0.451489582	-3159722.0	-3155510.0	-3155378.0	-3153460.0	20	1601.0158401584015	30-04-24 13:56:39.755320
8.399	0.043	250	250	22.1818857	1714478219.813372	-3.59176389	-2257640.0	-2260546.0	-2262742.0	-2262728.0	-0.387015061	-2708371.0	-2704641.0	-2704555.0	-2702841.0	20	1601.0158401584015	30-04-24 13:57:06.253329
8.998	0.046	250	250	21.9155871	1714478246.3117115	-2.99318838	-1881170.0	-1883348.0	-1885207.0	-1885391.0	-0.322521815	-2256992.0	-2253642.0	-2253657.0	-2252117.0	20	1601.0158401584015	30-04-24 13:57:32.754323
9.598	0.049	250	250	21.4725866	1714478272.8117776	-2.39391764	-1504270.0	-1505695.0	-1507244.0	-1507610.0	-0.25795841	-1805013.0	-1802149.0	-1802223.0	-1800857.0	20	1601.0158401584015	30-04-24 13:57:59.253822
10.198	0.052	250	250	21.400526	1714478299.291948	-1.79444747	-1127241.0	-1127923.0	-1129138.0	-1129698.0	-0.193352455	-1352809.0	-1350360.0	-1350496.0	-1349327.0	20	1601.0158401584015	30-04-24 13:58:25.735865
10.799	0.055	250	250	21.2337899	1714478325.7737267	-1.19467599	-750043.3	-749982.0	-750879.4	-751628.6	-0.128727451	-900390.7	-898375.3	-898629.4	-897632.4	20	1601.0158401584015	30-04-24 13:58:52.217119
11.398	0.058	250	250	21.2449057	1714478352.2541175	-0.595806054	-373382.7	-372576.8	-373146.5	-374090.6	-0.0641876559	-448699.6	-447101.0	-447397.4	-446620.3	20	1601.0158401584015	30-04-24 13:59:18.695422
11.998	0.061	250	250	21.4549548	1714478378.732547	0.0034529342	3491.488	5039.46	4788.084	3661.452	0.000379887989	3322.652	4476.792	4064.28	4701.42	20	1601.0158401584015	30-04-24 13:59:45.174631
12.598	0.064	250	250	21.5987886	1714478405.2140076	0.602467056	380211.3	382502.2	382564.0	381261.8	0.064916833	455061.6	455771.1	455300.6	455713.7	20	1601.0158401584015	30-04-24 14:00:11.651246
