# 
VDC	Voltage 1	Current 1	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	a	
-11.9051578	0.066	0.0	-11.83002	-7465906.0	-7472700.0	-7470089.0	-11.82448	-7443301.0	-7442178.0	-7439430.0	7.0	3.0	11-12-23 15:47:23.025031
-11.4885533	0.5	0.002	-11.46931	-7238306.0	-7245020.0	-7242314.0	-11.50401	-7241650.0	-7240551.0	-7237816.0	7.0	3.0	11-12-23 15:47:30.647772
-10.9922838	1.0	0.004	-10.97375	-6925551.0	-6931947.0	-6929402.0	-11.00703	-6928712.0	-6927670.0	-6925062.0	7.0	3.0	11-12-23 15:47:38.223115
-10.4943905	1.5	0.007	-10.47665	-6611683.0	-6617809.0	-6615448.0	-10.50844	-6614758.0	-6613762.0	-6611259.0	7.0	3.0	11-12-23 15:47:45.802787
-9.99459724	2.0	0.009	-9.977654	-6296696.0	-6302535.0	-6300333.0	-10.00783	-6299624.0	-6298710.0	-6296305.0	7.0	3.0	11-12-23 15:47:53.446640
-9.49548612	2.5	0.012	-9.47939	-5982114.0	-5987695.0	-5985642.0	-9.508064	-5984976.0	-5984104.0	-5981796.0	7.0	3.0	11-12-23 15:48:01.153053
-8.9953388	3.0	0.014	-8.979912	-5666845.0	-5672181.0	-5670285.0	-9.007218	-5669616.0	-5668830.0	-5666592.0	7.0	3.0	11-12-23 15:48:08.681689
-8.49645156	3.5	0.017	-8.481777	-5352366.0	-5357435.0	-5355714.0	-8.507638	-5355096.0	-5354376.0	-5352245.0	7.0	3.0	11-12-23 15:48:16.228068
-7.99662529	4.0	0.02	-7.982817	-5037402.0	-5042144.0	-5040621.0	-8.007148	-5039976.0	-5039319.0	-5037249.0	7.0	3.0	11-12-23 15:48:23.846012
-7.49693961	4.5	0.022	-7.483847	-4722443.0	-4726922.0	-4725530.0	-7.506742	-4724920.0	-4724327.0	-4722383.0	7.0	3.0	11-12-23 15:48:31.375794
-6.99696641	5.0	0.025	-6.984654	-4407303.0	-4411497.0	-4410282.0	-7.006098	-4409696.0	-4409154.0	-4407317.0	7.0	3.0	11-12-23 15:48:38.949350
-6.4973127	5.5	0.027	-6.485746	-4092374.0	-4096311.0	-4095246.0	-6.505697	-4094632.0	-4094200.0	-4092426.0	7.0	3.0	11-12-23 15:48:46.628305
-5.99834008	6.0	0.03	-5.987515	-3777872.0	-3781489.0	-3780604.0	-6.006035	-3780034.0	-3779674.0	-3777984.0	7.0	3.0	11-12-23 15:48:54.415887
-5.49857191	6.5	0.032	-5.488511	-3462857.0	-3466212.0	-3465502.0	-5.505507	-3464920.0	-3464624.0	-3463058.0	7.0	3.0	11-12-23 15:49:02.194232
-4.99923788	6.999	0.035	-4.989976	-3148112.0	-3151189.0	-3150650.0	-5.005437	-3150077.0	-3149847.0	-3148358.0	7.0	3.0	11-12-23 15:49:09.975835
-4.49875234	7.5	0.037	-4.490318	-2832667.0	-2835461.0	-2835094.0	-4.504347	-2834531.0	-2834362.0	-2832972.0	7.0	3.0	11-12-23 15:49:17.506694
-3.99963889	8.0	0.04	-3.991874	-2518088.0	-2520589.0	-2520384.0	-4.004426	-2519848.0	-2519732.0	-2518438.0	7.0	3.0	11-12-23 15:49:25.132811
-3.49985966	8.5	0.043	-3.492847	-2203055.0	-2205271.0	-2205250.0	-3.503952	-2204702.0	-2204668.0	-2203462.0	7.0	3.0	11-12-23 15:49:32.915539
-3.00079747	8.999	0.045	-2.994539	-1888512.0	-1890461.0	-1890567.0	-3.004239	-1890075.0	-1890086.0	-1888966.0	7.0	3.0	11-12-23 15:49:40.593725
-2.50074662	9.499	0.048	-2.495253	-1573306.0	-1574981.0	-1575263.0	-2.503405	-1574762.0	-1574861.0	-1573833.0	7.0	3.0	11-12-23 15:49:48.209720
-2.00087092	10.0	0.05	-1.996156	-1258241.0	-1259622.0	-1260080.0	-2.002831	-1259587.0	-1259742.0	-1258818.0	7.0	3.0	11-12-23 15:49:55.849610
-1.50143412	10.5	0.053	-1.497494	-943459.7	-944563.9	-945183.3	-1.502766	-944693.0	-944937.1	-944098.0	7.0	3.0	11-12-23 15:50:03.394019
-1.00172815	11.0	0.055	-0.998571	-628487.4	-629327.5	-630111.3	-1.002336	-629636.1	-629956.4	-629195.4	7.0	3.0	11-12-23 15:50:11.038039
-0.502670022	11.499	0.058	-0.5002793	-313927.1	-314494.0	-315442.4	-0.5026142	-314998.5	-315373.9	-314711.1	7.0	3.0	11-12-23 15:50:18.727071
-0.00292671472	12.0	0.06	-0.001286028	1054.65	785.0	-335.55	-0.002086007	108.45	-339.15	233.75	7.0	3.0	11-12-23 15:50:26.268664
0.496000941	12.499	0.063	0.4968708	315515.0	315530.5	314253.6	0.4975104	314678.6	314171.6	314640.0	7.0	3.0	11-12-23 15:50:33.800470
0.996184411	13.0	0.066	0.9963164	630791.6	631082.2	629646.6	0.998418	630049.2	629469.2	629845.6	7.0	3.0	11-12-23 15:50:41.421750
1.49507174	13.499	0.068	1.494426	945228.8	945805.6	944206.8	1.498013	944588.9	943950.7	944237.6	7.0	3.0	11-12-23 15:50:49.035392
1.99516175	13.999	0.071	1.993784	1260451.0	1261306.0	1259532.0	1.998784	1259908.0	1259207.0	1259392.0	7.0	3.0	11-12-23 15:50:56.563376
2.49452093	14.499	0.073	2.492431	1575247.0	1576361.0	1574432.0	2.498976	1574788.0	1574014.0	1574113.0	7.0	3.0	11-12-23 15:51:04.153970
2.99356684	14.999	0.076	2.990729	1889770.0	1891184.0	1889081.0	2.998707	1889422.0	1888585.0	1888589.0	7.0	3.0	11-12-23 15:51:11.936597
3.49428529	15.5	0.078	3.490743	2205404.0	2207088.0	2204828.0	3.500103	2205154.0	2204248.0	2204139.0	7.0	3.0	11-12-23 15:51:19.484528
3.99305255	15.999	0.081	3.988697	2519763.0	2521732.0	2519294.0	3.999571	2519630.0	2518666.0	2518472.0	7.0	3.0	11-12-23 15:51:27.012602
4.49359542	16.5	0.084	4.488481	2835287.0	2837522.0	2834928.0	4.500885	2835248.0	2834208.0	2833941.0	7.0	3.0	11-12-23 15:51:34.566614
4.99244882	16.999	0.086	4.986666	3149748.0	3152282.0	3149506.0	5.000526	3149794.0	3148684.0	3148342.0	7.0	3.0	11-12-23 15:51:42.246740
5.49233108	17.499	0.089	5.485772	3464828.0	3467635.0	3464711.0	5.50117	3464984.0	3463812.0	3463372.0	7.0	3.0	11-12-23 15:51:49.772979
5.99193989	18.0	0.091	5.984678	3779752.0	3782838.0	3779756.0	6.001438	3780012.0	3778754.0	3778243.0	7.0	3.0	11-12-23 15:51:57.506612
6.4913652	18.499	0.094	6.483397	4094569.0	4097914.0	4094666.0	6.501676	4094936.0	4093618.0	4092974.0	7.0	3.0	11-12-23 15:52:05.082943
6.99134277	19.0	0.097	6.982628	4409706.0	4413373.0	4409948.0	7.002364	4410212.0	4408818.0	4408094.0	7.0	3.0	11-12-23 15:52:12.763343
7.49019295	19.499	0.099	7.480732	4724184.0	4728124.0	4724524.0	7.502007	4724757.0	4723306.0	4722482.0	7.0	3.0	11-12-23 15:52:20.441986
7.98978117	19.999	0.102	7.979561	5039115.0	5043330.0	5039540.0	8.002219	5039730.0	5038234.0	5037307.0	7.0	3.0	11-12-23 15:52:28.058164
8.48875691	20.499	0.104	8.477853	5353660.0	5358171.0	5354218.0	8.502093	5354446.0	5352886.0	5351843.0	7.0	3.0	11-12-23 15:52:35.699613
8.98855954	21.0	0.107	8.976877	5668667.0	5673462.0	5669348.0	9.002649	5669584.0	5667902.0	5666790.0	7.0	3.0	11-12-23 15:52:43.360714
9.48736858	21.499	0.11	9.475129	5983111.0	5988190.0	5983914.0	9.50211	5984101.0	5982402.0	5981178.0	7.0	3.0	11-12-23 15:52:51.090328
9.98636246	21.999	0.112	9.973326	6297662.0	6302998.0	6298554.0	10.00183	6298724.0	6296932.0	6295673.0	7.0	3.0	11-12-23 15:52:58.685038
10.484456	22.499	0.115	10.47054	6611602.0	6617206.0	6612630.0	10.50079	6612807.0	6610930.0	6609572.0	7.0	3.0	11-12-23 15:53:06.253693
10.9950226	22.999	0.118	10.89583	7485598.0	6885675.0	7487285.0	11.88168	6883603.0	7480027.0	7478471.0	7.0	3.0	11-12-23 15:53:13.831439
11.4805681	23.499	0.12	10.89487	7486695.0	6885459.0	7488371.0	11.88364	6883131.0	7481321.0	7479786.0	7.0	3.0	11-12-23 15:53:21.495202
11.9616807	23.999	0.123	10.88185	7486882.0	6877389.0	7488546.0	11.88382	6875005.0	7481406.0	7479878.0	7.0	3.0	11-12-23 15:53:29.091090
