# 
Voltage 1	Current 1	Voltmeter 1	Delay	
23.999	0.0	-10.01206	3.0	04-12-23 12:21:54.964307
1.083	0.0	-10.926	3.0	04-12-23 12:21:58.006865
2.0	0.0	-10.00601	3.0	04-12-23 12:22:01.108320
3.0	0.0	-9.004967	3.0	04-12-23 12:22:04.180362
4.0	0.0	-8.004611	3.0	04-12-23 12:22:07.252276
5.0	0.0	-7.003591	3.0	04-12-23 12:22:10.324124
6.0	0.0	-6.003659	3.0	04-12-23 12:22:13.395976
6.999	0.0	-5.003165	3.0	04-12-23 12:22:16.569836
8.0	0.0	-4.002192	3.0	04-12-23 12:22:19.642330
8.999	0.0	-3.002013	3.0	04-12-23 12:22:22.816569
9.999	0.0	-2.00047	3.0	04-12-23 12:22:25.991092
11.0	0.0	-0.9998964	3.0	04-12-23 12:22:29.063770
12.0	0.0	0.0006724127	3.0	04-12-23 12:22:32.133698
13.0	0.0	1.001151	3.0	04-12-23 12:22:35.309451
13.999	0.0	2.001915	3.0	04-12-23 12:22:38.380605
14.999	0.0	3.001725	3.0	04-12-23 12:22:41.555769
15.999	0.0	4.00274	3.0	04-12-23 12:22:44.628297
16.999	0.0	5.003617	3.0	04-12-23 12:22:47.699565
18.0	0.001	6.004766	3.0	04-12-23 12:22:50.771412
19.0	0.001	7.005555	3.0	04-12-23 12:22:53.946059
19.999	0.001	8.005788	3.0	04-12-23 12:22:57.018598
21.0	0.001	9.006439	3.0	04-12-23 12:23:00.192398
21.999	0.001	10.00677	3.0	04-12-23 12:23:03.264502
22.999	0.001	10.93357	3.0	04-12-23 12:23:06.336371
24.0	0.001	10.92002	3.0	04-12-23 12:23:09.408155
