# 
VDC	Amplitude	Frequency	Offset	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	Delay	
-11.8277011	0.0	1000000.0	-12.0	-11.80793	-7452023.0	-7458961.0	-7456192.0	-11.82694	-7444870.0	-7443827.0	-7441098.0	3.0	08-12-23 17:15:51.938724
-11.6262269	0.0	1000000.0	-11.8	-11.60679	-7325134.0	-7331902.0	-7329185.0	-11.64441	-7330130.0	-7329031.0	-7326302.0	3.0	08-12-23 17:15:55.111332
-11.4314985	0.0	1000000.0	-11.6	-11.41251	-7202502.0	-7209217.0	-7206569.0	-11.44971	-7207474.0	-7206458.0	-7203754.0	3.0	08-12-23 17:15:58.285297
-11.2295684	0.0	1000000.0	-11.4	-11.21104	-7075409.0	-7081999.0	-7079387.0	-11.2476	-7080226.0	-7079213.0	-7076583.0	3.0	08-12-23 17:16:02.417039
-11.0346233	0.0	1000000.0	-11.2	-11.0161	-6952226.0	-6958751.0	-6956250.0	-11.05148	-6957064.0	-6956066.0	-6953396.0	3.0	08-12-23 17:16:05.676387
-10.8392671	0.0	1000000.0	-11.0	-10.82052	-6828915.0	-6835304.0	-6832850.0	-10.85626	-6833726.0	-6832781.0	-6830183.0	3.0	08-12-23 17:16:08.976386
-10.637692	0.0	1000000.0	-10.8	-10.61918	-6701785.0	-6708050.0	-6705658.0	-10.6542	-6706566.0	-6705642.0	-6703059.0	3.0	08-12-23 17:16:12.419354
-10.441962	0.0	1000000.0	-10.6	-10.42443	-6578703.0	-6584859.0	-6582565.0	-10.45905	-6583586.0	-6582703.0	-6580319.0	3.0	08-12-23 17:16:15.694701
-10.240443	0.0	1000000.0	-10.4	-10.22253	-6451161.0	-6457267.0	-6454972.0	-10.25647	-6456054.0	-6455160.0	-6452762.0	3.0	08-12-23 17:16:19.085399
-10.0457408	0.0	1000000.0	-10.2	-10.02707	-6328390.0	-6334357.0	-6332170.0	-10.06097	-6333038.0	-6332206.0	-6329753.0	3.0	08-12-23 17:16:22.775075
-9.85063127	0.0	1000000.0	-10.0	-9.833897	-6205888.0	-6211754.0	-6209587.0	-9.86602	-6210335.0	-6209449.0	-6207155.0	3.0	08-12-23 17:16:25.935303
-9.6490076	0.0	1000000.0	-9.8	-9.632809	-6078950.0	-6084674.0	-6082571.0	-9.664831	-6083406.0	-6082598.0	-6080328.0	3.0	08-12-23 17:16:29.110349
