# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC1	temp_pt100	time	Delay	a	
0.083	0.0	250	250	-7448249.0	-7461659.0	-7468520.0	-7466237.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	22.3137414	1713962534.5179093	6	53.0	24-04-24 14:42:14.517977
0.6	0.002	250	250	-7153700.0	-7166293.0	-7172757.0	-7170234.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	22.2759862	1713962541.291207	6	53.0	24-04-24 14:42:21.291263
1.2	0.005	250	250	-6778781.0	-6790605.0	-6796695.0	-6794406.0	-8123511.0	-8114936.0	-8113960.0	-8109967.0	-1.16075275	22.2612291	1713962548.0696154	6	53.0	24-04-24 14:42:28.069672
1.8	0.008	250	250	-6402845.0	-6413936.0	-6419693.0	-6417614.0	-7673722.0	-7665536.0	-7664590.0	-7660820.0	-1.09646893	22.2979302	1713962554.8572595	6	53.0	24-04-24 14:42:34.857310
2.401	0.012	250	250	-6025780.0	-6036125.0	-6041525.0	-6039643.0	-7222125.0	-7214256.0	-7213408.0	-7209796.0	-1.03193971	22.2544255	1713962561.650602	6	53.0	24-04-24 14:42:41.650657
3.0	0.015	250	250	-5649168.0	-5658754.0	-5663863.0	-5662163.0	-6770770.0	-6763317.0	-6762526.0	-6759173.0	-0.967446296	22.2849938	1713962568.434256	6	53.0	24-04-24 14:42:48.434308
3.6	0.018	250	250	-5272780.0	-5281634.0	-5286439.0	-5284894.0	-6319817.0	-6312747.0	-6312047.0	-6308857.0	-0.903009995	22.2692784	1713962575.217024	6	53.0	24-04-24 14:42:55.217086
4.2	0.021	250	250	-4895893.0	-4904019.0	-4908459.0	-4907137.0	-5867975.0	-5861326.0	-5860711.0	-5857680.0	-0.838454205	22.1903184	1713962582.0004857	6	53.0	24-04-24 14:43:02.000545
4.8	0.024	250	250	-4519304.0	-4526680.0	-4530797.0	-4529673.0	-5416825.0	-5410595.0	-5410065.0	-5407193.0	-0.773994563	22.1696201	1713962588.7819364	6	53.0	24-04-24 14:43:08.781988
5.4	0.027	250	250	-4142308.0	-4148911.0	-4152738.0	-4151777.0	-4965035.0	-4959254.0	-4958754.0	-4956123.0	-0.709452677	22.1972178	1713962595.5652556	6	53.0	24-04-24 14:43:15.565314
6.0	0.03	250	250	-3765720.0	-3771595.0	-3775073.0	-3774306.0	-4513817.0	-4508422.0	-4508040.0	-4505564.0	-0.644981904	22.2247196	1713962602.3530078	6	53.0	24-04-24 14:43:22.353065
6.6	0.033	250	250	-3388648.0	-3393784.0	-3396939.0	-3396370.0	-4062050.0	-4057051.0	-4056743.0	-4054456.0	-0.580442949	22.0608583	1713962609.1338496	6	53.0	24-04-24 14:43:29.133906
7.199	0.036	250	250	-3012151.0	-3016550.0	-3019395.0	-3019004.0	-3610983.0	-3606421.0	-3606190.0	-3604060.0	-0.515992857	22.0892226	1713962615.9339895	6	53.0	24-04-24 14:43:35.934038
7.8	0.039	250	250	-2634749.0	-2638399.0	-2640908.0	-2640717.0	-3158731.0	-3154577.0	-3154437.0	-3152519.0	-0.451379973	22.0976553	1713962622.7401571	6	53.0	24-04-24 14:43:42.740206
8.399	0.042	250	250	-2258303.0	-2261213.0	-2263417.0	-2263399.0	-2707665.0	-2703943.0	-2703862.0	-2702153.0	-0.386937115	22.084623	1713962629.5482602	6	53.0	24-04-24 14:43:49.548315
8.999	0.045	250	250	-1881859.0	-1884028.0	-1885903.0	-1886065.0	-2256475.0	-2253190.0	-2253189.0	-2251635.0	-0.322473434	22.0901809	1713962636.350849	6	53.0	24-04-24 14:43:56.350901
9.599	0.048	250	250	-1504995.0	-1506420.0	-1507968.0	-1508329.0	-1804821.0	-1801961.0	-1802043.0	-1800696.0	-0.257956858	22.0582711	1713962643.1310906	6	53.0	24-04-24 14:44:03.131149
10.199	0.051	250	250	-1127962.0	-1128641.0	-1129862.0	-1130417.0	-1353025.0	-1350576.0	-1350719.0	-1349549.0	-0.193407674	21.9569837	1713962649.9148016	6	53.0	24-04-24 14:44:09.914848
10.8	0.055	250	250	-750695.0	-750622.9	-751528.1	-752275.6	-900882.7	-898857.0	-899093.0	-898122.5	-0.128810565	21.9760529	1713962656.6972632	6	53.0	24-04-24 14:44:16.697323
11.399	0.058	250	250	-374098.0	-373291.3	-373868.1	-374807.9	-449523.4	-447911.9	-448209.1	-447419.1	-0.0643218806	21.9117541	1713962663.479524	6	53.0	24-04-24 14:44:23.479588
12.0	0.061	250	250	2900.264	4446.836	4184.036	3071.816	2328.2	3501.644	3122.424	3712.916	0.000237966156	21.9432807	1713962670.25922	6	53.0	24-04-24 14:44:30.259289
12.599	0.064	250	250	379535.4	381822.3	381889.2	380590.6	453743.1	454470.5	454012.5	454455.1	0.0647338896	21.903034	1713962677.0428586	6	53.0	24-04-24 14:44:37.042923
13.199	0.067	250	250	756559.3	759586.5	759969.7	758490.5	905706.2	906011.3	905472.8	905709.1	0.129295054	21.7644706	1713962683.826373	6	53.0	24-04-24 14:44:43.826436
