# 
Voltage 1	Current 1	ch1a avglen	ch1b avglen	ch1a	ch2a	ch3a	ch4a	ch1b	ch2b	ch3b	ch4b	VDC10	VDC1	temp_pt100	time	Delay	a	
0.022	0.0	250	250	-7453340.0	-7466388.0	-7472989.0	-7470552.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	9.9e+37	22.5537838	1714400318.8956673	20.0	1201.0118801188012	29-04-24 16:18:38.895736
0.6	0.003	250	250	-7155864.0	-7168513.0	-7174926.0	-7172434.0	-8388608.0	-8388608.0	-8388608.0	-8388608.0	9.9e+37	9.9e+37	22.7596166	1714400345.350326	20.0	1201.0118801188012	29-04-24 16:19:05.350393
1.2	0.006	250	250	-6779413.0	-6791280.0	-6797396.0	-6795087.0	-8125756.0	-8116731.0	-8115808.0	-8111867.0	9.9e+37	9.9e+37	22.6959886	1714400371.8519228	20.0	1201.0118801188012	29-04-24 16:19:31.851989
1.799	0.009	250	250	-6402973.0	-6414127.0	-6419925.0	-6417826.0	-7675217.0	-7666652.0	-7665822.0	-7661972.0	9.9e+37	9.9e+37	22.6873643	1714400398.306522	20.0	1201.0118801188012	29-04-24 16:19:58.306590
2.4	0.012	250	250	-6025591.0	-6035985.0	-6041444.0	-6039543.0	-7223291.0	-7215193.0	-7214381.0	-7210838.0	9.9e+37	9.9e+37	22.6062961	1714400424.7613933	20.0	1201.0118801188012	29-04-24 16:20:24.761460
3.0	0.015	250	250	-5648860.0	-5658525.0	-5663648.0	-5661933.0	-6772236.0	-6764572.0	-6763835.0	-6760408.0	9.9e+37	9.9e+37	22.4931264	1714400451.2166734	20.0	1201.0118801188012	29-04-24 16:20:51.216745
3.599	0.018	250	250	-5272321.0	-5281224.0	-5286038.0	-5284517.0	-6321396.0	-6314143.0	-6313486.0	-6310302.0	9.9e+37	9.9e+37	22.3384643	1714400477.67143	20.0	1201.0118801188012	29-04-24 16:21:17.671500
4.199	0.021	250	250	-4895378.0	-4903560.0	-4908019.0	-4906694.0	-5869951.0	-5863112.0	-5862462.0	-5859535.0	9.9e+37	9.9e+37	22.0099751	1714400504.1281981	20.0	1201.0118801188012	29-04-24 16:21:44.128267
4.799	0.024	250	250	-4518826.0	-4526266.0	-4530394.0	-4529259.0	-5418747.0	-5412396.0	-5411804.0	-5408995.0	9.9e+37	9.9e+37	21.7882353	1714400530.5805314	20.0	1201.0118801188012	29-04-24 16:22:10.580598
5.399	0.027	250	250	-4141725.0	-4148383.0	-4152209.0	-4151272.0	-4966769.0	-4960856.0	-4960389.0	-4957783.0	9.9e+37	9.9e+37	21.4185412	1714400557.03853	20.0	1201.0118801188012	29-04-24 16:22:37.038595
5.998	0.03	250	250	-3765150.0	-3771083.0	-3774559.0	-3773794.0	-4515380.0	-4509898.0	-4509493.0	-4507060.0	9.9e+37	9.9e+37	21.1763906	1714400583.4945657	20.0	1201.0118801188012	29-04-24 16:23:03.494638
6.599	0.033	250	250	-3388092.0	-3393272.0	-3396417.0	-3395869.0	-4063462.0	-4058425.0	-4058101.0	-4055804.0	9.9e+37	9.9e+37	21.2057131	1714400609.9506226	20.0	1201.0118801188012	29-04-24 16:23:29.950691
7.199	0.036	250	250	-3011556.0	-3015984.0	-3018815.0	-3018443.0	-3612012.0	-3607377.0	-3607149.0	-3605062.0	9.9e+37	9.9e+37	21.3643999	1714400636.404225	20.0	1201.0118801188012	29-04-24 16:23:56.404295
7.799	0.04	250	250	-2634169.0	-2637860.0	-2640354.0	-2640177.0	-3159647.0	-3155461.0	-3155297.0	-3153378.0	9.9e+37	9.9e+37	21.420266	1714400662.8704643	20.0	1201.0118801188012	29-04-24 16:24:22.870532
8.399	0.043	250	250	-2257696.0	-2260626.0	-2262810.0	-2262817.0	-2708209.0	-2704452.0	-2704374.0	-2702658.0	9.9e+37	9.9e+37	21.5379395	1714400689.3297188	20.0	1201.0118801188012	29-04-24 16:24:49.329816
8.998	0.046	250	250	-1881320.0	-1883505.0	-1885363.0	-1885559.0	-2256908.0	-2253613.0	-2253599.0	-2252079.0	9.9e+37	9.9e+37	21.6820608	1714400715.7858582	20.0	1201.0118801188012	29-04-24 16:25:15.785926
9.598	0.049	250	250	-1504336.0	-1505777.0	-1507308.0	-1507694.0	-1804848.0	-1801967.0	-1802058.0	-1800725.0	9.9e+37	9.9e+37	21.8321233	1714400742.240034	20.0	1201.0118801188012	29-04-24 16:25:42.240102
10.198	0.052	250	250	-1127231.0	-1127922.0	-1129135.0	-1129711.0	-1352656.0	-1350218.0	-1350357.0	-1349227.0	9.9e+37	9.9e+37	21.9385852	1714400768.6945102	20.0	1201.0118801188012	29-04-24 16:26:08.694761
10.799	0.055	250	250	-750031.2	-749982.0	-750865.8	-751634.3	-900303.4	-898302.8	-898541.9	-897576.4	9.9e+37	9.9e+37	22.1530423	1714400795.164549	20.0	1201.0118801188012	29-04-24 16:26:35.164626
11.398	0.058	250	250	-373407.9	-372609.1	-373177.7	-374126.3	-448645.7	-447066.3	-447394.9	-446590.4	9.9e+37	9.9e+37	22.1760404	1714400821.6539383	20.0	1201.0118801188012	29-04-24 16:27:01.654014
11.999	0.061	250	250	3480.6	5025.488	4776.04	3644.912	3314.42	4441.284	4055.684	4661.904	9.9e+37	9.9e+37	22.4497175	1714400848.1071863	20.0	1201.0118801188012	29-04-24 16:27:28.107260
12.598	0.064	250	250	380136.2	382424.7	382492.9	381186.2	454984.8	455690.8	455227.6	455634.3	9.9e+37	9.9e+37	22.5072127	1714400874.5612512	20.0	1201.0118801188012	29-04-24 16:27:54.561324
13.198	0.067	250	250	757091.9	760120.1	760523.7	759024.8	906989.0	907245.5	906701.1	906935.2	9.9e+37	9.9e+37	22.6948387	1714400901.0348864	20.0	1201.0118801188012	29-04-24 16:28:21.034968
13.798	0.07	250	250	1133592.0	1137367.0	1138092.0	1136408.0	1358442.0	1358266.0	1357663.0	1357703.0	9.9e+37	9.9e+37	22.7311565	1714400927.504905	20.0	1201.0118801188012	29-04-24 16:28:47.504975
14.398	0.073	250	250	1510438.0	1514967.0	1516015.0	1514139.0	1810237.0	1809637.0	1808943.0	1808789.0	9.9e+37	9.9e+37	22.690814	1714400953.9608345	20.0	1201.0118801188012	29-04-24 16:29:13.960905
14.997	0.076	250	250	1886973.0	1892238.0	1893615.0	1891556.0	2261708.0	2260654.0	2259896.0	2259580.0	9.9e+37	9.9e+37	22.5845438	1714400980.4147205	20.0	1201.0118801188012	29-04-24 16:29:40.414788
15.598	0.08	250	250	2264404.0	2270412.0	2272130.0	2269880.0	2714261.0	2712798.0	2711977.0	2711431.0	9.9e+37	9.9e+37	22.3241863	1714401006.8692203	20.0	1201.0118801188012	29-04-24 16:30:06.869293
16.198	0.083	250	250	2641320.0	2648065.0	2650107.0	2647669.0	3165987.0	3164049.0	3163193.0	3162440.0	9.9e+37	9.9e+37	22.2692784	1714401033.3205655	20.0	1201.0118801188012	29-04-24 16:30:33.320635
16.798	0.086	250	250	3017880.0	3025378.0	3027730.0	3025108.0	3617398.0	3615032.0	3614044.0	3613196.0	9.9e+37	9.9e+37	22.1472928	1714401059.777653	20.0	1201.0118801188012	29-04-24 16:30:59.777722
17.398	0.089	250	250	3394770.0	3403016.0	3405694.0	3402865.0	4069151.0	4066362.0	4065330.0	4064259.0	9.9e+37	9.9e+37	22.0116999	1714401086.2407322	20.0	1201.0118801188012	29-04-24 16:31:26.240793
17.998	0.092	250	250	3771674.0	3780682.0	3783670.0	3780656.0	4520978.0	4517779.0	4516636.0	4515381.0	9.9e+37	9.9e+37	21.999051	1714401112.7129068	20.0	1201.0118801188012	29-04-24 16:31:52.712978
