# 
A1	f1	A2	f2	Delay	a	
10526316.263157895	8.0	10.0	1.0	0.5	0.0	10-04-24 18:55:18.575615
10526316.263157895	8.0	10.0	1052632.5263157894	0.5	0.0	10-04-24 18:55:19.098317
10526316.263157895	8.0	10.0	2105264.052631579	0.5	0.0	10-04-24 18:55:19.622742
10526316.263157895	8.0	10.0	3157895.578947368	0.5	0.0	10-04-24 18:55:20.148009
10526316.263157895	8.0	10.0	4210527.105263158	0.5	0.0	10-04-24 18:55:20.674358
10526316.263157895	8.0	10.0	5263158.631578947	0.5	0.0	10-04-24 18:55:21.196419
10526316.263157895	8.0	10.0	6315790.157894736	0.5	0.0	10-04-24 18:55:21.719091
10526316.263157895	8.0	10.0	7368421.684210526	0.5	0.0	10-04-24 18:55:22.243475
10526316.263157895	8.0	10.0	8421053.210526315	0.5	0.0	10-04-24 18:55:22.768569
10526316.263157895	8.0	10.0	9473684.736842105	0.5	0.0	10-04-24 18:55:23.290238
10526316.263157895	8.0	10.0	10526316.263157895	0.5	0.0	10-04-24 18:55:23.812163
10526316.263157895	8.0	10.0	11578947.789473685	0.5	0.0	10-04-24 18:55:24.333655
10526316.263157895	8.0	10.0	12631579.315789472	0.5	0.0	10-04-24 18:55:24.857184
10526316.263157895	8.0	10.0	13684210.842105264	0.5	0.0	10-04-24 18:55:25.381090
10526316.263157895	8.0	10.0	14736842.368421052	0.5	0.0	10-04-24 18:55:25.903978
10526316.263157895	8.0	10.0	15789473.894736843	0.5	0.0	10-04-24 18:55:26.428724
10526316.263157895	8.0	10.0	16842105.42105263	0.5	0.0	10-04-24 18:55:26.951422
10526316.263157895	8.0	10.0	17894736.94736842	0.5	0.0	10-04-24 18:55:27.474543
10526316.263157895	8.0	10.0	18947368.47368421	0.5	0.0	10-04-24 18:55:27.997488
10526316.263157895	8.0	10.0	20000000.0	0.5	0.0	10-04-24 18:55:28.521441
